Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,53.209999,54.029999,52.759998,53.840000,47.449604,1138800
2015-01-23,53.570000,55.180000,52.700001,54.939999,48.419037,2560800
2015-01-26,53.759998,55.689999,53.270000,54.849998,48.339710,2473100
2015-01-27,54.299999,55.020000,53.689999,54.650002,48.163460,1517000
2015-01-28,54.790001,55.410000,54.720001,55.049999,48.515968,1146600
2015-01-29,55.060001,55.900002,55.000000,55.770000,49.150520,1301700
2015-01-30,55.340000,55.680000,54.580002,54.919998,48.777496,1307800
2015-02-02,54.680000,54.910000,53.900002,54.700001,48.582096,1364400
2015-02-03,54.990002,56.270000,54.970001,56.150002,49.869930,755500
2015-02-04,56.180000,57.410000,56.180000,56.580002,50.251839,1315400
2015-02-05,56.549999,56.779999,55.889999,56.130001,49.852165,1030100
2015-02-06,56.020000,56.250000,55.259998,55.740002,49.505775,1548900
2015-02-09,58.400002,60.660000,57.200001,59.660000,52.987347,4926600
2015-02-10,60.869999,61.740002,59.840000,61.610001,54.719254,2821000
2015-02-11,62.009998,62.430000,61.110001,61.200001,54.355114,1657200
2015-02-12,61.480000,62.330002,61.389999,62.160000,55.207741,940200
2015-02-13,62.160000,63.090000,62.160000,62.740002,55.722874,1436200
2015-02-17,62.580002,62.990002,62.060001,62.470001,55.483070,1311700
2015-02-18,62.520000,62.730000,61.639999,62.119999,55.172207,1216800
2015-02-19,62.259998,62.410000,61.500000,61.779999,54.870243,1948300
2015-02-20,61.000000,61.970001,60.090000,61.830002,54.914658,1668200
2015-02-23,61.980000,62.020000,61.549999,62.020000,55.083397,1370500
2015-02-24,62.169998,62.290001,61.790001,62.049999,55.110043,576100
2015-02-25,62.189999,62.779999,61.980000,62.080002,55.136688,1040100
2015-02-26,62.000000,62.599998,61.830002,62.500000,55.509712,606900
2015-02-27,62.599998,62.770000,62.000000,62.320000,55.349842,730900
2015-03-02,62.450001,63.470001,62.389999,63.150002,56.087017,697700
2015-03-03,62.799999,63.180000,62.470001,62.720001,55.705109,711600
2015-03-04,63.259998,63.310001,62.110001,62.430000,55.447540,645800
2015-03-05,62.619999,62.849998,62.139999,62.430000,55.447540,782200
2015-03-06,62.250000,62.259998,61.410000,61.650002,54.754780,1158600
2015-03-09,61.919998,62.340000,61.529999,61.970001,55.038998,622100
2015-03-10,61.509998,61.639999,61.000000,61.349998,54.488327,864500
2015-03-11,60.009998,61.570000,60.009998,60.910000,54.097542,726400
2015-03-12,61.180000,61.889999,60.880001,61.700001,54.799187,1182900
2015-03-13,61.820000,62.500000,60.220001,60.730000,53.937675,1278400
2015-03-16,61.070000,61.709999,60.610001,61.500000,54.621555,832700
2015-03-17,61.250000,61.689999,60.820000,61.599998,54.710381,660300
2015-03-18,61.590000,61.700001,60.290001,61.430000,54.559383,930800
2015-03-19,61.209999,61.500000,60.650002,61.099998,54.266293,1309000
2015-03-20,61.320000,61.490002,60.810001,61.080002,54.248524,2512600
2015-03-23,61.279999,62.299999,61.110001,61.380001,54.514984,1128300
2015-03-24,61.570000,62.060001,61.320000,61.490002,54.612671,898600
2015-03-25,61.599998,61.650002,60.680000,60.680000,53.893272,1053800
2015-03-26,60.250000,60.830002,59.740002,60.560001,53.786686,1012700
2015-03-27,60.430000,61.509998,60.060001,61.029999,54.204128,783500
2015-03-30,61.500000,62.650002,61.130001,62.570000,55.571884,1021500
2015-03-31,62.599998,63.590000,62.230000,63.240002,56.166946,1437300
2015-04-01,63.139999,63.950001,62.560001,63.790001,56.655430,1663600
2015-04-02,63.680000,63.880001,62.919998,63.450001,56.353470,997300
2015-04-06,63.259998,64.480003,63.000000,64.150002,56.975170,1053200
