,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1993-12-31,-0.0025384793252168913,0.1178720754381284,-0.008529482341135708,0.0679851668726823,0.06799794529343782,0.1108479705282548,0.8926991150442478,0.9699519230769232,-0.01807228915662651,-0.04635761589403975,0.7825354823189801,0.10500807754442644,0.422073258319368,-4.746611053180397,-0.11663828752128436,0.052002080083203284,0.03512791141657124,-0.1556420233463035,0.06552419354838722,-0.1470588235294118,-0.056726094003241474,inf,0.07024265644955308,0.09207161125319696,0.0,0.046750629722921884
1,1994-03-31,-0.0025384793252168913,0.1178720754381284,-0.008529482341135708,0.0679851668726823,0.06799794529343782,0.1108479705282548,0.8926991150442478,0.9699519230769232,-0.01807228915662651,-0.04635761589403975,0.7825354823189801,0.10500807754442644,0.422073258319368,-4.746611053180397,-0.11663828752128436,0.052002080083203284,0.03512791141657124,-0.1556420233463035,0.06552419354838722,-0.1470588235294118,-0.056726094003241474,inf,0.07024265644955308,0.09207161125319696,0.0,0.046750629722921884
2,1994-06-30,0.05868983485609758,0.093148177622155,0.05421892189218913,0.053282076719576736,0.1075572656766668,0.1108479705282548,0.8926991150442478,0.9699519230769232,-0.01807228915662651,-0.04635761589403975,0.7825354823189801,0.10500807754442644,0.422073258319368,-4.746611053180397,0.4946991601266695,-0.08947108255066727,0.03512791141657124,-0.1556420233463035,0.0993377483443707,-0.1470588235294118,-0.056726094003241474,1.0769230769230769,0.04653937947494025,0.09207161125319696,0.0,0.03782847242275489
3,1994-09-30,0.02256294060805697,0.029774687875368636,0.016576488205492183,0.042776971076488264,0.08484420801215943,-0.09327253345967068,-0.3430742255990649,-0.3581452104942038,-0.361963190184049,-0.35416666666666663,-0.5655870445344129,-0.30311890838206623,-0.6304713804713804,-1.4511550236571111,-0.14931834929992627,0.016829533116178075,0.03512791141657124,-0.1556420233463035,0.006024096385542244,-0.07471264367816087,-0.056726094003241474,0.5185185185185184,0.06043329532497155,0.09207161125319696,0.0,-0.0125208681135226
4,1994-12-31,0.02111079560001672,-0.0504754162101021,0.014684295348861063,-0.04139851718038468,0.08376282211658738,0.0986545620795507,0.3959074733096086,0.42395437262357416,0.40384615384615374,0.3333333333333333,-0.427461944703324,0.4085314685314685,1.396355353075171,0.8599629858112277,-0.3264753654574987,-0.054991991457554734,0.03512791141657124,-0.1556420233463035,0.15141146278870846,-0.062111801242236024,-0.056726094003241474,0.41463414634146334,0.06129032258064515,0.09207161125319696,0.0,-0.009392317084624737
5,1995-03-31,0.057765073807635174,0.07921676655622978,0.054518323680416765,0.10097758234855324,0.08740015697862312,0.03388520643224435,-0.01210962396430848,-0.013351134846461998,-0.013698630136986356,0.032258064516129004,5.2653282691264245,0.22738556250620603,0.13707224334600765,-2.826865671641791,0.8855305466237942,-0.031638418079095953,0.03512791141657124,-0.1556420233463035,0.0846953937592867,-0.1589403973509934,-0.056726094003241474,0.2758620689655173,0.028368794326241176,0.09207161125319696,0.0,-0.01981606143927173
6,1995-06-30,0.033543799159573284,0.0075195750405299125,0.02923639991749538,-0.0060977784117248746,0.07167119565217384,0.04617198056521854,0.014193548387096744,0.01691474966170503,0.006944444444444421,0.015625,-0.7272884731965013,-0.15306204999595507,0.033940812573148404,-1.2000726216412492,-0.0939631650750341,0.056009334889148166,-0.09774990778310587,-0.1556420233463035,0.024657534246575352,-0.02362204724409456,-0.056726094003241474,0.2702702702702702,0.03743842364532024,-0.044496487119437884,-0.016393442622950838,0.013735732249951615
7,1995-09-30,-0.005137443287963728,-0.07042349960628569,-0.004413519257298382,-0.03038892078071187,-0.011291600633914434,-0.13660721646651466,-0.7729007633587787,-0.7990685296074518,-0.8068965517241379,-0.7923076923076923,0.11432200698634487,-0.5653835132295348,-1.1230595084087969,0.8711433756805809,-0.19405232448710708,0.0707182320441988,-0.18070318887980386,-0.1556420233463035,-0.026069518716577592,0.04838709677419351,0.10137457044673526,0.2127659574468084,-0.006647673314340019,-0.13970588235294126,-0.01666666666666672,-0.04131679389312992
8,1995-12-31,0.01972956206827181,0.0047510312315850465,0.02394427514148889,0.06479185938945431,-0.01634942897214986,0.09959259023489707,0.8487394957983194,0.8410596026490067,0.6785714285714284,-0.11111111111111116,-0.15474494157879734,0.7861538461538462,-7.66622864651774,-0.9398642095053348,-0.014479215319944004,-0.012899896800825594,-0.22055888223552889,-0.1981566820276498,-0.08236101578586141,0.007692307692307666,0.14664586583463324,0.19298245614035106,-0.03537284894837467,-0.20227920227920226,-0.016949152542372947,-0.056434756643774286
9,1996-03-31,0.01940538385337232,0.058392287672739185,0.02161509765196401,0.006046705587990031,-0.00028516723021143614,0.049613569919240375,-0.01060606060606062,0.17446043165467628,0.14893617021276606,1.2083333333333337,1.0276466621712743,0.03949796973052777,-0.5643603390498719,1.4193548387096775,-0.035545023696682436,0.033455305802404516,-0.2227912932138285,-0.2298850574712643,-0.0052356020942406776,0.1297709923664121,0.3673469387755104,0.1617647058823528,-0.018830525272547027,-0.225,-0.017241379310344862,0.05210970464135012
