,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,2000-12-31,0.003263871453678125,0.007925072046109483,0.06272032902467695,0.1600158040300277,0.1465486725663716,0.1387347391786904,0.15625,0.15625,0.16666666666666674,0.13333333333333353,-0.1406685236768802,1.6896551724137931,-1.1352272727272728,-4.253731343283582,-0.1687657430730478,0.059006211180124175,-0.004804679339878937,0.1704545454545454,0.6452575064625172,0.05089921954530041,inf,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,-0.13110867979576954
1,2001-03-31,0.003263871453678125,0.007925072046109483,0.06272032902467695,0.1600158040300277,0.1465486725663716,0.1387347391786904,0.15625,0.15625,0.16666666666666674,0.13333333333333353,-0.1406685236768802,1.6896551724137931,-1.1352272727272728,-4.253731343283582,-0.1687657430730478,0.059006211180124175,-0.004804679339878937,0.1704545454545454,0.6452575064625172,0.05089921954530041,inf,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,-0.13110867979576954
2,2001-06-30,0.1561561561561562,0.20764832022873486,-0.006910850034554272,-0.02043596730245234,-0.20808891633220128,0.1387347391786904,0.15625,0.15625,0.16666666666666674,0.13333333333333353,-0.1406685236768802,1.6896551724137931,-1.1352272727272728,-4.253731343283582,0.6606060606060606,0.1187683284457477,-0.004804679339878937,-0.21359223300970875,0.6452575064625172,0.05089921954530041,1.0,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,0.2328436516264429
3,2001-09-30,0.02489177489177496,0.0245634803196213,0.0704244954766875,0.178720445062587,0.15243664717348926,-0.0721247563352827,-0.10090090090090087,-0.10090090090090087,-0.08571428571428563,-0.08823529411764708,0.6985413290113451,-0.2948717948717948,-8.554621848739496,-0.8425076452599388,0.06265206812652058,0.10747051114023587,-0.004804679339878937,0.1728395061728394,0.6452575064625172,0.05089921954530041,0.7500000000000002,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,-0.13081964422504033
4,2001-12-31,0.06737064413938754,0.07221259387637202,0.052528929918086,0.05988200589970494,0.02875507442489855,0.1601890756302522,0.17835671342685375,0.17835671342685375,0.1875,0.19354838709677424,-0.35114503816793896,1.5090909090909093,-0.2547274749721913,-2.116504854368932,-0.06582713222667425,0.07337278106508882,-0.004804679339878937,0.03157894736842115,0.6452575064625172,0.05089921954530041,0.2857142857142856,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,0.01165295730513094
5,2002-03-31,0.04887218045112785,0.06869612068965525,-0.03471278567016678,-0.09657667687169492,-0.17362709634988496,0.04843820733363513,0.23469387755102036,0.23469387755102036,0.2368421052631577,0.2432432432432432,-0.44852941176470573,-0.7826086956521741,-0.7104477611940299,-2.269565217391304,0.0894607843137254,0.07221609702315313,-0.004804679339878937,-0.17346938775510198,0.6452575064625172,0.05089921954530041,0.22222222222222232,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,0.1829445358629369
6,2002-06-30,0.2518392756083758,-0.21451978825308796,0.03186588175070382,0.0671595810227974,-0.4321528054118583,0.17227979274611396,0.08402203856749302,0.08402203856749302,0.08510638297872353,0.06521739130434767,1.1626666666666663,68.9,-2.391752577319588,-7.801369863013699,-0.5584926884139483,0.1784061696658099,-0.004804679339878937,-0.4320987654320988,0.6452575064625172,0.05089921954530041,0.18181818181818188,-0.3425238600212088,0.01826647564469908,-0.023255813953488413,-0.26397185173062765
7,2002-09-30,-0.044002411091018656,-0.09563543003851094,0.010666005208979312,-0.0640877598152425,0.2648913805185704,-0.08545119705340698,-0.13850063532401524,-0.13850063532401524,-0.13725490196078427,-0.12244897959183675,0.5363748458692972,-0.9709108249880782,-5.707407407407408,-0.9133937562940584,-0.10955414012738852,0.01876090750436288,-0.004804679339878937,0.3043478260869563,0.6452575064625172,-0.07491120439134646,0.15384615384615374,-0.3425238600212088,0.0052761167780512866,-0.005952380952380931,-0.03368538076709282
8,2002-12-31,-0.005674653215636871,-0.033711852377572786,0.17535893974720818,0.42504626773596543,0.8116343490304709,0.09504631494160297,0.02949852507374628,0.02949852507374628,0.04545454545454541,0.046511627906976834,-0.2648475120385233,-0.21311475409836067,-0.07867820613690013,2.488372093023256,-0.4291845493562232,-0.033404710920770915,-0.013434089000839644,0.8500000000000003,0.6452575064625172,-0.09982547993019196,0.13333333333333353,-0.3425238600212088,-0.012246326102169358,-0.0059880239520958565,-0.3219052001840772
9,2003-03-31,0.08576410906785026,0.21593830334190225,-0.0010440593025683453,-0.02121212121212124,-0.1685015290519878,0.02317028319235015,0.31661891117478497,0.31661891117478497,0.3478260869565217,0.3555555555555554,-0.15829694323144106,-0.35416666666666663,-0.5029888983774551,-1.596666666666667,0.4486215538847118,-0.011962782454585708,0.0036170212765958,-0.1711711711711712,0.6452575064625172,-0.055060100814269035,0.17647058823529416,-0.3425238600212088,0.020545518951470054,-0.012048192771084376,0.24228028503562934
10,2003-06-30,0.05256241787122207,0.11356085774690428,-0.10075250836120396,-0.2262273330384785,-0.4869437293122472,0.12401150251617545,0.09793253536452662,0.09793253536452662,0.09677419354838723,0.08196721311475419,0.3307392996108949,0.4838709677419355,0.30584192439862545,0.3072625698324023,0.4048442906574394,0.12376681614349773,0.04897180411278357,-0.4891304347826088,0.6452575064625172,0.0385720147722608,0.09999999999999988,-0.3425238600212088,0.032280458174245075,0.012195121951219523,0.4390876809614861
11,2003-09-30,0.0916909418782077,0.18822891239490105,0.01952580195258013,0.028865390111460387,-0.35340501792114704,-0.02462424048608891,-0.15163528245787905,-0.15163528245787905,-0.16176470588235306,-0.1515151515151515,0.4844054580896686,-0.15217391304347827,-0.3407894736842105,3.217948717948718,1.2155172413793105,0.0638467677573824,-0.0030315278900565623,-0.3617021276595744,0.6452575064625172,-0.020150138285262686,0.09090909090909084,-0.3425238600212088,0.002689979825151401,-0.0060240963855421326,0.1548827939641264
12,2003-12-31,0.1961880559085134,0.2987902305409724,0.10978112175102606,0.20027777777777775,-0.6441241685144123,0.1498360655737705,-0.0011682242990653788,-0.0011682242990653788,0.0,0.0,-0.10439921208141822,0.4102564102564104,-0.1337325349301397,-0.09625126646403236,0.4958310172317954,0.0851462865716428,-0.058585039529698076,-0.6333333333333333,0.6452575064625172,0.02338709677419337,0.08333333333333348,-0.3425238600212088,-0.02112676056338036,-0.036363636363636265,0.08209384501602424
13,2004-03-31,0.12226471213086887,0.195079086115993,-0.017051874678993273,-0.048831289053459785,-4.102803738317757,-0.055603079555175405,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.2142857142857142,-0.21994134897360704,0.7090909090909091,-1.0161290322580645,0.10986547085201792,0.3678929765886288,0.12927756653992395,-0.07751937984496116,-4.0,0.6452575064625172,0.07722616233254542,0.15384615384615374,-0.3425238600212088,-0.010277492291880795,-0.06918238993710701,0.2564550425273391
14,2004-06-30,-0.052247988641741634,-0.0372058823529412,-0.018497230640610263,0.04598540145985397,-0.3765060240963856,0.07971014492753614,0.0,0.0,0.014492753623188468,0.0,0.15695488721804507,-0.4574468085106384,-219.14285714285717,-1.3616161616161615,-0.09725618038576478,0.01591674318947045,-0.06746031746031744,-0.3636363636363637,0.6452575064625172,-0.013167520117044584,0.13333333333333353,-0.3425238600212088,-0.026652821045344388,-0.04054054054054057,-0.07954064672106388
15,2004-09-30,0.1325277139718366,0.2058958301512144,0.05036201022146503,0.09467317980925792,1.3752012882447664,0.0008389261744965459,-0.07729468599033817,-0.07729468599033817,-0.07142857142857129,-0.07352941176470595,0.2087733549959383,-0.3137254901960784,-0.8244924688932548,-4.315642458100559,0.35720734276256394,0.04700210906899671,-0.06007509386733423,1.380952380952381,0.6452575064625172,0.03854707190511486,0.08823529411764698,1.098387096774193,-0.012446657183499354,-0.049295774647887265,0.10158250705890093
16,2004-12-31,0.21340388007054667,0.2952501583280558,0.07298530157121141,0.7790055248618784,1.152542372881356,0.09416037999441174,0.28376963350785345,0.28376963350785345,0.2615384615384615,0.26984126984127,-0.04973118279569888,0.9428571428571428,-1.6156716417910446,0.3066554338668914,0.3439024390243903,0.14474820143884906,-0.00852197070572569,1.12,-0.5192168237853516,0.1134903640256959,0.10810810810810813,0.7732513451191392,0.06445804825351087,-0.06666666666666676,-0.27187649022412963
17,2005-03-31,0.1329941860465116,0.17866223352239394,0.0053849787435049645,-0.002269469660774015,0.5584251968503937,-0.0028089887640448947,-0.031810766721043986,-0.031810766721043986,-0.036585365853658465,-0.025000000000000026,0.10678925035360676,-0.19117647058823528,0.2969696969696969,0.10186976144422943,0.2819666721663092,0.06611362493715434,-0.06688154713940375,0.5566037735849054,-0.4971091000502765,-0.02564102564102566,0.09756097560975617,0.3758127438231471,-0.005412719891745521,-0.0634920634920636,0.1813344248874336
18,2005-06-30,0.1060295060936498,0.13722724632871475,0.016914113888366833,0.00945767987549373,0.297696038803557,0.1441741357234314,0.22493681550126365,0.22493681550126365,-0.3924050632911393,-0.3974358974358975,0.2083067092651758,1.5454545454545454,-1.7710280373831775,-0.10005851375073138,0.19794079794079789,0.020985616599858536,-0.04173862982153143,0.290909090909091,-0.34416395901024743,-0.014144736842105262,0.1333333333333333,0.17328292375551355,0.033673469387755166,-0.06779661016949146,0.12654192654192653
