,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
84,0.11580997079162203,0.14391303008838663,0.23954149933065594,0.2185799109351807,0.06319160291763026,0.2788127565519418,0.5947467166979361,0.5947467166979361,0.26666666666666683,0.19999999999999996,-0.3120969317959742,1.356140350877193,-22.88888888888889,-0.4768620537681798,0.21092261213107144,0.3333333333333335,-0.022095509622238163,-0.0149732620320856,0.16666666666666674,0.12359550561797761,-0.21097091531223255,-0.04717787913340943,-0.011867088607595111,-0.006756756756756799,-0.06126920108546818
83,0.11580997079162203,0.14391303008838663,0.23954149933065594,0.2185799109351807,0.06319160291763026,0.2788127565519418,0.5947467166979361,0.5947467166979361,0.26666666666666683,0.19999999999999996,-0.3120969317959742,1.356140350877193,-22.88888888888889,-0.4768620537681798,0.21092261213107144,0.3333333333333335,-0.022095509622238163,-0.0149732620320856,0.16666666666666674,0.12359550561797761,-0.21097091531223255,-0.04717787913340943,-0.011867088607595111,-0.006756756756756799,-0.06126920108546818
82,0.15623321997494188,0.14061490415679523,0.28673641579480247,0.3146888640747132,0.09152973461396874,0.0,0.0,0.0,0.0,0.0,-0.3120969317959742,1.356140350877193,-22.88888888888889,-0.4768620537681798,0.09077649406978083,0.3125,-0.022095509622238163,-0.0149732620320856,0.0,0.12359550561797761,-0.21097091531223255,-0.055946148092744896,-0.011867088607595111,-0.006756756756756799,-0.13241924362170476
81,0.04198997658623416,0.03210045554322938,-0.03567119550962594,-0.17635703806655856,0.08738042678440028,0.2608641975308641,0.6229411764705883,0.6229411764705883,0.5789473684210527,0.6111111111111112,-1.615625,-0.09233060312732688,-0.6192893401015229,-2.396798652064027,-0.11668660708001966,0.7619047619047619,-0.022095509622238163,-0.0149732620320856,0.1428571428571428,0.7633333333333334,-0.21097091531223255,0.04357471082237363,-0.011867088607595111,-0.006756756756756799,0.2531103842509095
80,0.04687180820442349,0.030576074279049514,-0.00810531469292286,-0.03168650979656884,0.07536795804432406,0.05248213061784002,-0.07393983327292497,-0.07393983327292497,-0.06666666666666654,-0.06896551724137923,-3.8389478541762805,0.6636587366694011,0.8799999999999999,-2.283775633293124,0.16958808063102548,-0.29729729729729726,-0.022095509622238163,-0.0149732620320856,0.125,-0.3856332703213611,-0.21097091531223255,0.027178864257515922,-0.011867088607595111,-0.006756756756756799,0.06430366160076084
79,0.08294751033296088,0.08168382744541103,0.09613908083799494,0.10649627263045791,0.07664070898555275,0.06409898595218166,0.11937377690802342,0.11937377690802342,0.10714285714285698,0.11111111111111094,-0.03738621586475943,-0.18343195266272194,-0.7730496453900709,0.01620859760394655,0.14734834292721133,0.0769230769230771,-0.022095509622238163,-0.0149732620320856,0.0,-0.043076923076923124,-0.21097091531223255,-0.0057649667405764715,-0.011867088607595111,-0.006756756756756799,-0.0224392032822206
78,0.13066553096692823,0.16342188942455627,0.1790163606344124,0.15530667599964998,0.10713068043446494,0.053680713411435654,0.06993006993007,0.06993006993007,0.06451612903225823,0.0,0.46116176967240796,-0.3834541062801933,40.78125,1.0702727693018956,0.26587501855425266,1.75,-0.022095509622238163,-0.0149732620320856,0.11111111111111116,1.7524115755627014,-0.21097091531223255,-0.020814748736247446,-0.011867088607595111,-0.006756756756756799,0.00703399765533419
77,0.05480543563294993,0.0675882985664158,-0.002673456397199181,-0.12890033323235384,0.08459998680187408,0.12305011616329242,0.1310457516339869,0.1310457516339869,-0.4242424242424243,-0.43333333333333324,-1.2173812550560499,-0.22331047992164543,-0.7090501121914734,-1.2546895935685574,-0.053493116953167164,1.935064935064935,-0.022095509622238163,-0.0149732620320856,0.09999999999999987,1.6401869158878504,-0.21097091531223255,0.028241724870938345,-0.011867088607595111,-0.006756756756756799,0.22556461001164152
76,0.14062821903885503,0.1143135570824525,0.2093438856267551,0.26560598156842286,0.10787514957308297,0.17476911710380505,0.1606472117885005,0.1606472117885005,0.1578947368421053,0.17647058823529416,-5.458266879319511,4.0895334174022695,0.35732647814910035,-3.125822007891276,0.12014370664023777,-0.1769911504424777,0.025510204081632626,0.017372421281216077,0.09090909090909083,-0.25176991150442485,-0.21097091531223255,-0.028647371529828658,0.013610888710968716,0.006802721088435382,-0.1195524146054181
75,0.1484683556497448,0.1490698880901209,0.24009570051368656,0.36154427423232804,0.10079449346465053,0.1668500990534889,0.19118745332337572,0.19118745332337572,0.18181818181818188,0.19999999999999996,0.27450512759360834,-0.1375123885034688,-0.16666666666666663,0.5729016292018974,0.16870534628060785,-0.10215053763440873,0.03944562899786774,0.021344717182497197,0.08333333333333348,-0.17681845062093438,-0.1893210462122239,-0.041501976284585185,0.00789889415481837,0.013513513513513598,-0.15604703851548163
