,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
48,0.1738723126332966,0.2155756598472558,-0.11968597704214934,-0.12590890047025938,-5.305891861798815,0.015637961851382665,0.14095669402773847,0.14243759177679882,-0.18918918918918926,-0.03703703703703709,-4.50765176245096,7.679313291962394,-1.0372577043635054,-1.5562477679457163,1.9508102250051609,0.28382978723404273,0.058879392212725534,-0.005988023952095856,-3.516377649325626,0.07792207792207795,0.022525192649673897,-0.026006074411541458,0.007067137809187329,-0.011299435028248594,0.39068553141317164
47,0.1738723126332966,0.2155756598472558,-0.11968597704214934,-0.12590890047025938,-5.305891861798815,0.015637961851382665,0.14095669402773847,0.14243759177679882,-0.18918918918918926,-0.03703703703703709,-4.50765176245096,7.679313291962394,-1.0372577043635054,-1.5562477679457163,1.9508102250051609,0.28382978723404273,0.058879392212725534,-0.005988023952095856,-3.516377649325626,0.07792207792207795,0.022525192649673897,-0.026006074411541458,0.007067137809187329,-0.011299435028248594,0.39068553141317164
46,0.022415988255322095,0.06914872333253985,0.05000678135672931,0.09616323605169441,-0.004221496138733016,0.0,0.0,0.0,0.0,0.0,-4.50765176245096,7.679313291962394,-1.0372577043635054,-1.5562477679457163,-0.36774097641026837,0.28382978723404273,0.058879392212725534,-0.005988023952095856,-0.018376722817764146,0.07792207792207795,0.022525192649673897,-0.026006074411541458,0.007067137809187329,-0.011299435028248594,-0.02464724762308479
45,0.015785243001002147,-0.00456020851742156,-0.007989116349212844,-0.032597812849915364,0.03731291333101283,-0.018539852596996753,0.21942446043165464,0.22054067501451202,0.0,0.1153846153846152,-1.3049503090741437,-1.0754851885310122,-1.3862314762708685,-0.8871768044260554,-0.06562138388555672,0.056015909844216116,0.058879392212725534,-0.005988023952095856,0.032761310452418035,0.07792207792207795,0.022525192649673897,0.021048528551939283,0.007067137809187329,-0.011299435028248594,0.028995405438966726
44,0.0674703840736739,0.025451259627063294,0.0894453641684183,0.12225037253102489,0.04595800447749143,0.07764036102754002,0.2148306377784559,0.2158168291605802,0.19999999999999996,0.2068965517241379,-2.0914690483523253,-2.4804038341557484,-0.6216610004856726,-2.0536743009695098,0.07399951647202196,-0.16886377903327054,0.058879392212725534,-0.005988023952095856,0.034743202416918306,-0.19678714859437763,0.022525192649673897,-0.020041992746707482,0.007067137809187329,-0.011299435028248594,-0.086284921257467
43,0.08107454922087265,0.031038755566382026,0.12592131537875884,0.1268157265729397,0.044417354293516675,0.13493614495400386,0.07326467386753754,0.07342833193629494,0.05555555555555558,0.05714285714285716,1.2763954442848346,5.037316577908892,14.218870346598203,-3.9715295372716364,-0.20474101297806357,0.12235649546827787,0.058879392212725534,-0.005988023952095856,0.03138686131386881,0.08499999999999996,0.022525192649673897,-0.03389170237631467,0.007067137809187329,-0.011299435028248594,-0.08498976424750715
42,0.23115408435014007,0.268863438289932,0.4629877264499622,0.23104385922423343,-0.017779452783811656,0.23289759408660138,0.129921464607063,0.1300171794471341,0.07894736842105265,0.08108108108108114,-0.28763958847458393,1.2544421880949357,12.382902450339504,-1.4804900486907353,0.12370312175058351,-0.10901749663526239,0.058879392212725534,-0.005988023952095856,-0.023354564755838636,-0.13824884792626724,0.022525192649673897,-0.20221774193548392,0.007067137809187329,-0.011299435028248594,0.03074480369515009
41,-0.016924856584329517,-0.007428571428571451,-0.0295253544611479,-0.029983467643186046,0.0035460469587693666,-0.10729887753022271,-0.05857307249712318,-0.05859995853776523,-0.04878048780487798,-0.050000000000000044,-1.1987598272616542,-1.160087824238927,-0.9622055829725011,1.2681423367890163,0.24968898119492922,-0.10196374622356497,0.058879392212725534,-0.005988023952095856,-0.013768115942029091,-0.0802139037433156,0.022525192649673897,0.02072276977508203,0.007067137809187329,-0.011299435028248594,0.023246043971432595
40,0.0068378437625959965,-0.001801292202232907,-0.04988685690371941,-0.023243892323906667,0.08643041261478146,0.030691933584938935,0.06094609460946088,0.061024248207687926,0.0512820512820511,0.05263157894736836,-2.9372065260644646,-1.4206815304543536,-1.1538397398482447,-1.03893349804406,-0.007778947888042342,0.08788898233809928,0.017937219730941756,-0.02008032128514048,0.04408523144746512,0.10465116279069764,0.022525192649673897,0.07922753156721973,-0.01403508771929829,-0.011428571428571455,0.02196523881209811
39,0.04936031728060608,0.07635651128774068,0.04312464071741551,0.08704287775347352,0.07401778319201524,0.022172358713014484,0.17795750956265266,0.17745543435647892,0.12195121951219523,0.1499999999999999,2.8452405406515755,-0.38708463949843264,25.568021680216802,-19.617133791644633,0.1401528186035712,0.10552763819095468,0.037885462555065974,0.016393442622950616,0.06263194933145666,0.05789473684210522,0.06956521739130439,0.0233998623537508,0.039145907473309594,-0.017341040462427793,-0.009842651489789245
