,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
28,0.07435691318327975,0.026573075958886916,0.15132798023471272,0.044487427466150864,0.06499361334435338,0.06587837837837829,-0.6242038216560509,-0.6242038216560509,-0.75,-0.75,1.745967741935484,-2.3753213367609254,-3.591715976331361,-1.2473684210526317,0.1811248808388941,-0.2847419171866137,0.17314487632508846,0.20806794055201694,0.0531400966183575,-0.10098522167487678,-0.22179363548698172,-0.008637128435221464,0.133051742344245,0.08163265306122458,-0.017151250702034715
27,0.07435691318327975,0.026573075958886916,0.15132798023471272,0.044487427466150864,0.06499361334435338,0.06587837837837829,-0.6242038216560509,-0.6242038216560509,-0.75,-0.75,1.745967741935484,-2.3753213367609254,-3.591715976331361,-1.2473684210526317,0.1811248808388941,-0.2847419171866137,0.17314487632508846,0.20806794055201694,0.0531400966183575,-0.10098522167487678,-0.22179363548698172,-0.008637128435221464,0.133051742344245,0.08163265306122458,-0.017151250702034715
26,-0.05829903978052131,-0.08286528286528283,0.796137339055794,-0.025925925925925908,-0.17066459714971072,0.0,0.0,0.0,0.0,0.0,1.745967741935484,-2.3753213367609254,-3.591715976331361,-1.2473684210526317,-0.037933817594834496,-0.05471847739888969,0.17314487632508846,0.20806794055201694,-0.24617737003058104,-0.10098522167487678,-0.22179363548698172,-0.11937089839330173,0.133051742344245,0.08163265306122458,-0.058452747252747184
25,0.003972720651526096,-0.019969823378006568,-0.0026881720430107503,0.010456273764258617,0.005869842620161547,0.15530903328050716,-4.711864406779661,-4.677966101694915,-5.5,-5.5,0.05580029368575623,-1.6093457943925233,-0.6621004566210046,-0.37234042553191493,-0.024748322147650992,0.20008389261744974,0.17314487632508846,0.20806794055201694,-0.008113590263691739,0.5890410958904109,-0.22179363548698172,0.0019272773994605252,0.133051742344245,0.08163265306122458,-0.030111763662337365
24,0.03699795554969332,0.034323492120992505,0.010781671159029615,0.015992474129821188,0.044401217861975706,0.24348422496570654,0.5205479452054795,0.5253456221198156,0.5555555555555558,0.44444444444444464,0.8386648122392211,0.5276073619631902,-0.6644144144144144,-12.457627118644067,0.29075268817204303,-0.09577070954211808,0.17314487632508846,0.20806794055201694,0.03680981595092048,-0.08793103448275863,-0.22179363548698172,0.007181328545780907,0.133051742344245,0.08163265306122458,0.018040740883360717
23,-0.05030526583566519,-0.07635058226074776,-0.4414814814814815,-0.0888888888888889,0.05660377358490565,0.11196911196911197,0.27627627627627627,0.2749244712990937,0.2142857142857142,0.3076923076923077,-0.2813918305597579,-2.473895582329317,9.731543624161073,-0.8535502958579881,0.03298900366544477,0.4642442984151527,0.17314487632508846,0.20806794055201694,0.04930966469428011,0.4120982986767485,-0.22179363548698172,0.11255411255411252,0.133051742344245,0.08163265306122458,0.013758865248227004
22,0.19835264180004009,0.23897999810408566,0.28647214854111414,0.11788617886178865,0.18562231759656656,0.2822420634920635,0.23058823529411754,0.2345971563981042,0.2941176470588234,0.23529411764705865,0.2957894736842106,-4.452316076294277,-1.9537210756722951,1.2525252525252526,0.07193548387096782,0.34794086589229134,0.17314487632508846,0.20806794055201694,0.14097744360902253,0.285140562248996,-0.22179363548698172,-0.010643167772945716,0.133051742344245,0.08163265306122458,0.10832517140058773
21,0.0633137747974295,0.07574598316755932,-0.055257731958762935,-0.05727272727272725,0.08190045248868771,-0.0321083172147002,0.22753346080305925,0.22648752399232253,0.13636363636363646,0.19047619047619047,0.04386677497969127,-0.26124704025256507,-0.8281967213114754,-2.4573991031390134,-0.09780318988865488,0.21856639247943588,0.17314487632508846,0.20806794055201694,0.07413509060955503,0.06770833333333348,-0.22179363548698172,0.017466743782533323,0.133051742344245,0.08163265306122458,0.14109815011193572
20,0.09149674164389321,0.10647226173541968,0.05761676123963344,0.1706846673095468,0.09613431319830323,0.1630695443645085,0.2320872274143302,0.23317683881064166,0.24,0.19999999999999996,0.04357976653696505,-0.7745726495726496,0.7938931297709924,-5.264615384615385,0.4623082054703136,-0.014304082288653208,0.12274096385542177,0.15202108963093153,0.08282208588957052,-0.08195121951219508,-0.22179363548698172,0.004206457480673054,0.10298229263746506,0.037735849056603765,-0.05484463391428118
19,0.1646203476334922,0.035868097962332035,0.2174989682212134,0.016474464579901094,0.1576365420255097,0.10068728522336778,0.01896333754740831,0.017766497461928932,0.0,0.0,-0.06935123042505598,-8.101895734597157,-0.06808510638297871,2.3297258297258296,1.0526916058394162,0.15701940322843622,0.02749832327297108,0.02898550724637672,0.07932011331444766,0.0680127523910734,-0.054522924411400275,-0.006000226423638622,0.037177862272919304,0.0,0.01907965071363349
18,0.6613196626426328,-0.1517219981383804,0.3857627118644067,0.15397082658022687,0.699595065448724,0.2023103340618171,-0.13027295285359797,-0.13216957605985036,-0.19354838709677413,-0.16666666666666663,0.2684294871794872,-3.207540874207541,-0.08447488584474883,-2.0149512459371612,-0.5205022780308923,0.07454904171364163,-0.17362924281984338,-0.16308376575240913,0.6929133858267718,-0.003980099502487677,-0.05727391874180854,0.02312072892938488,-0.04439918533604881,-0.12727272727272743,-0.26490902964959573
17,0.04536631495122445,0.09758595464520847,0.10225048923679059,0.226123595505618,0.03892398049645385,-0.07997922617501951,-0.26961483594864477,-0.2686781609195402,-0.28,-0.28,0.07391029690461148,-0.5701330108827085,-0.07481296758104738,-0.8087105038428694,-0.2076477404403244,0.046032786885245924,-0.21958925750394942,-0.2170062001771479,0.0348837209302324,-0.38261738261738265,0.008063394967329218,-0.00623399755092946,-0.11807331628303497,-0.125,-0.10482619248518177
16,0.050539195848311014,0.12976539589442826,0.038171327119396414,0.07731958762886593,0.05202527932588463,0.1408410951171324,0.404296875,0.4047151277013752,0.44444444444444464,0.38888888888888884,0.10588235294117654,-0.8016877637130801,-0.07816711590296499,-2.9017857142857144,0.49839134249780637,0.04175025075225669,-0.17914979757085014,-0.17647058823529416,0.048689138576779145,0.006472491909385036,0.1125362019031857,0.0014562563011089047,-0.10149830836152729,-0.0714285714285714,0.04867689156794741
