,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,Equity to assets ratio,Asset turnover,Current ratio
20,0.04554349410666636,0.13425102439223702,0.09655184739298606,0.07306243405027457,-0.053868538604505356,0.2086665354880266,-1.0484308052880214,-1.0484308052880214,-1.0410557184750733,-1.0381231671554252,-1.7868698444580329,-1.083293990797742,1.3476689908400226,-0.22383413437368027,0.37066303011677926,-0.11315320257852146,0.3675143560295324,-0.07886089813800667,-0.061570035915854304,0.09337349397590367,-0.0950545921644188,-0.11538461538461542,0.05698502689344376
19,0.04554349410666636,0.13425102439223702,0.09655184739298606,0.07306243405027457,-0.053868538604505356,0.2086665354880266,-1.0484308052880214,-1.0484308052880214,-1.0410557184750733,-1.0381231671554252,-1.7868698444580329,-1.083293990797742,1.3476689908400226,-0.22383413437368027,0.37066303011677926,-0.11315320257852146,0.3675143560295324,-0.07886089813800667,-0.061570035915854304,0.09337349397590367,-0.0950545921644188,-0.11538461538461542,0.05698502689344376
18,0.06300430861323125,-0.05791055736312545,0.13236379709906276,0.040676213736108524,-0.11282964955517194,0.06296786904954055,-12.913232514177693,-12.913232514177693,-12.714285714285712,-13.615384615384615,0.4658641771995553,17.09240899397658,-1.1252173406653745,-2.8621296286700315,-0.5035684157719353,0.025518094648933065,0.3675143560295324,-0.07886089813800667,-0.11427009294696555,0.09337349397590367,-0.16536550745209366,-0.11538461538461542,-0.09469123916930267
17,0.030224799941904967,0.10933042831082185,0.05484879252774144,0.36846750819955876,-0.0465584061803791,0.047149114195131014,-0.7878365941511559,-0.7878365941511559,-0.7865853658536586,-0.7865853658536586,-0.6293573472361191,-0.5936553954573276,-0.6728565259276484,-0.5829000368713607,-0.4230963023390715,-0.0021112954305534393,0.3675143560295324,-0.07886089813800667,-0.17407407407407394,0.12396694214876036,-0.07440476190476186,-0.11538461538461542,-0.18936574249905058
16,0.2966246474669685,0.6108583836839738,0.17697761181301486,0.11059951697913517,0.7431669850852107,-0.10729201694591084,0.4157395808013762,0.4157395808013762,0.2857142857142858,0.22857142857142865,-1.8506801045731822,1.3675835220477852,-102.22471567831032,-0.8956153928266439,-0.0765547898119402,0.23666314039594982,0.3675143560295324,-0.07886089813800667,0.7309417040358743,0.5,0.34405144694533774,-0.11538461538461542,0.4504310344827587
15,0.14041300391632006,0.41462806236414607,-0.0025969519569384314,0.013196320765131997,0.4861032399764422,0.02945970470279846,2.3072585118465887,2.3072585118465887,2.0,2.1395348837209305,-1.137203812577944,-1.0259467116038534,1.126221208373083,-69.78032724018918,5.701977157905055,0.06782353660026885,0.3675143560295324,-0.07886089813800667,0.2754749568221071,-0.38398692810457513,0.3031442241968556,-0.11538461538461542,0.39621422572517595
14,0.33157534809570643,-0.36320738632707406,0.5115071419009425,0.1355758748102478,0.039694271823039085,0.01436546303827968,3.1947376197493,3.1947376197493,2.718518518518518,2.718518518518518,-9.111183249472488,-210.3424595120739,0.6296586015785448,-1.7868998092250337,-0.6694867248941094,-0.15106431677729448,0.8002399520095982,-0.07886089813800667,-0.044008124576845,-0.3342175066312998,-0.2189876737477051,-0.17391304347826086,-0.43924671478808075
13,-0.0991823930318615,-0.2759309557960077,-0.11285827029252282,-0.12270497733100516,-0.06692146920356024,0.43979901492101003,-0.8872255679037967,-0.8872255679037967,-0.898406374501992,-0.898406374501992,-3.3958737718367917,-0.9437543961354569,-1.1491194040307597,-0.6683425600959836,-0.6742681294708477,-0.19452682663790788,-0.1202932355881372,-0.07886089813800667,-0.04886685552407932,-0.15537848605577675,0.03559435862995297,-0.052631578947368474,-0.1746843798993316
12,-0.036874605174814556,-0.1137357445084416,-0.05004393843836219,-0.07694904775391498,-0.007353180195139752,-0.10259691514458924,0.13004904484944668,0.13004904484944668,0.17647058823529416,0.17647058823529416,-1.2080740672685815,-1.109295960939094,-0.9328413699646074,-0.9103084726269932,-0.18498391763479083,-0.27096234309623424,-0.03712121212121222,-0.022592152199762183,-0.00930752047654504,-0.23584905660377353,0.030804150453956014,0.05555555555555558,-0.03979204159168159
11,-0.03762797261332418,-0.13944822288234404,-0.08170260906967186,-0.08360765795220215,0.05695200624697638,-0.04426598196855547,-3.5665239898706944,-3.5665239898706944,-3.566666666666667,-3.566666666666667,-13.13296537882589,2.4095590601866754,6.605746993524514,-9.84982135768162,2.0086408851726376,-0.4501836547291094,-0.3851298190401259,-0.3965936739659367,0.056369785794814,-0.4444444444444444,0.09814407046240947,0.0,-0.06091211995002077
10,-0.014052159581523505,-0.15204405648019026,-0.0035425741500533237,-0.09409767118999335,-0.033646206411268254,-0.03969216635700146,-1.6371740914726787,-1.6371740914726787,-1.6363636363636362,-1.6363636363636362,-1.1841495388941732,-0.6048425921555671,-0.8600483470037781,-1.2382954958349595,-0.1590917939211347,-0.15699373695198326,-0.8650031989763276,-0.8608870967741935,-0.03415154749199578,-0.20000000000000007,-0.019765110283586407,0.10526315789473673,-0.06397605055992917
9,-0.19274423131798213,0.15218364393913775,-0.005082336848528213,-0.010350816699232435,-0.5535199040268814,0.4038944517631893,14.24699089617621,14.24699089617621,14.285714285714286,14.285714285714286,-1.7281693809904513,-2.2662143761496383,0.6151381005404524,-0.6933220386841734,-0.0789330759628688,-0.1158989598811293,29.30331753554502,27.318840579710145,-0.5535911602209944,-0.08333333333333326,-0.44710695499707775,0.09523809523809534,0.16417910447761197
8,-0.0740070706290229,-0.09914735085591242,-0.04691079291347833,-0.21845795323646122,-0.1900866490054557,-0.16424556166548399,-0.9479222590788817,-0.9479222590788817,-0.9479305740987984,-0.9479305740987984,1.069564037403469,-0.8656541835675879,-0.10554724151267003,-4.079489304238407,0.1939855002416626,-0.22464985994397768,0.23177979355645917,0.09877175025588536,-0.19059405940594054,0.7272727272727271,-0.12526427061310785,0.13043478260869557,0.15262515262515275
7,-0.07115401345825789,-0.02473763471928281,0.03974281718387496,0.08148112534989926,-0.6302164527093266,-0.1560032767925983,7.033907080562395,7.033907080562395,7.0256410256410255,7.0256410256410255,0.03254591298438858,15.38239011374807,-0.12792796180020305,-1.0105143563320345,-0.0017082558141418014,-0.12210982658959535,0.0,0.6623195156031672,-0.6309887869520897,0.08771929824561409,-0.6018126888217523,0.0769230769230771,-0.0981638418079096
6,-0.031162745997137975,-0.034521091069729226,-0.029514122611035143,-0.08299523967117317,-0.054531791878937974,-0.10145124473154432,-0.9307778345857339,-0.9307778345857339,-0.9313099041533546,-0.9313099041533546,-0.5204101072028542,-1.4626989773613694,-0.22891202655802023,-116.50616113744076,0.1976517110167484,-0.17942386831275714,0.0,0.08573830204539101,-0.0524861878453039,1.217741935483871,-0.024279210925645,0.10714285714285698,0.05285826155050888
5,-0.021847894883691432,0.03396253731540333,0.001816003199141214,0.08755015006456524,-0.366156677786725,-0.02318884414153488,2.8110789283128166,2.8110789283128166,2.837209302325581,2.837209302325581,0.5639053396889595,2.2306680499462743,-0.1154598825831703,1.3362328592881938,0.775496246578719,-0.2497492477432297,0.0,-0.5713548387096774,-0.3673469387755103,-0.20727272727272716,-0.3514774494556765,-0.09677419354838701,-0.049274823354406805
4,-0.06031800735330772,-0.027574142136087887,-0.018820522478409374,-0.060024971757059786,-1.0146283616564924,-0.08861495628642801,0.3720566640518761,0.3720566640518761,0.36969696969696964,0.36969696969696964,-0.6240388537826251,-1.0894400321128537,-0.2601137800252844,-0.9676421102177448,0.007026622141334871,-0.022727272727272818,0.0,0.21974714027694153,-1.0138248847926268,0.5458715596330275,0.0,-0.0357142857142857,0.034519851359280374
3,-0.006924434400107149,0.04548159028895338,-0.0018943704312228693,0.031359949875431115,7.751868038911603,0.020226201131433807,-0.8795878842071736,-0.8795878842071736,-0.8805309734513274,-0.8805309734513274,2.4861810588379805,-1.4237353337180227,-0.25745407945322507,16.27409900130265,0.12053163625015717,0.050615595075239384,0.0,-0.5508390918065154,8.333333333333334,0.0,0.0,-0.03703703703703709,0.013706399470649444
2,-0.03097917809253703,-0.014422031635871302,-0.016390949103818664,-0.06112121040413998,2.5352707121800346,0.04305327020159622,1.8456306372911429,1.8456306372911429,1.8518518518518516,1.8518518518518516,-1.1300165603748986,-1.7102436072022997,0.26646723810619566,-1.3044511057066908,-0.03274873171077941,0.7486979166666667,0.0,0.10769230769230775,2.4999999999999996,0.0,0.0,0.03846153846153855,0.04970160387914957
1,-0.036996911704633706,0.02968493130819616,-0.010282446310771465,-0.03530701450628948,1.2705061082024431,0.05489586379526368,0.685332409572472,0.685332409572472,0.7012987012987013,0.7012987012987013,-4.174254742547426,-0.10140605027694927,-0.14767204178968885,-1.9480256775445333,0.03209780083695102,-0.055100521221146725,0.0,-0.03571428571428581,1.2653061224489797,0.0,0.0,0.03703703703703698,0.06742471351159285
0,-0.03247692820442316,-0.030308345603141107,-0.031315223980111884,-0.10194780154412908,-0.007692415755705118,-0.08389995282233098,-0.9363737890020143,-0.9363737890020143,-0.9389312977099237,-0.9389312977099237,-2.288923987592134,2.8826458036984355,0.7997761671285439,-4.052406975984672,-0.09492855338808548,-0.22379826635145783,0.0,-0.45781893004115226,-0.013513513513513598,0.0,0.0,0.03571428571428559,0.07972703062583242
