,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
58,0.014755965292841733,0.04051657339647008,-0.029516046785862282,0.0,0.0,0.0,0.0,0.0,-0.6399026763990268,1.2901214960692449,4.005314751387741,0.5687117363553471,-0.23986127601074803,0.009672619047619069,-0.3866666666666666,-1.1785714285714286,-0.02857142857142858,0.01775147928994092,-0.42497858755742435,-0.009009009009009028,-0.043491037320011694,9.425,0.0
57,0.014755965292841733,0.04051657339647008,-0.029516046785862282,0.0,0.0,0.0,0.0,0.0,-0.6399026763990268,1.2901214960692449,4.005314751387741,0.5687117363553471,-0.23986127601074803,0.009672619047619069,-0.3866666666666666,-1.1785714285714286,-0.02857142857142858,0.01775147928994092,-0.42497858755742435,-0.009009009009009028,-0.043491037320011694,9.425,0.0
56,0.06502343403466204,0.11806819686238157,-0.03173554126112965,0.26144870101276974,-0.8739413039196375,-0.9201995012468828,-0.9622641509433962,-0.9622641509433962,-0.6399026763990268,1.2901214960692449,4.005314751387741,0.5687117363553471,-0.49500595996547325,-0.010316875460574804,-0.3866666666666666,-1.1785714285714286,-0.03196930946291565,0.01775147928994092,-0.42497858755742435,2.0909090909090913,-0.09093701996927805,9.425,0.0
55,0.13141391928525636,0.05960396002967627,0.30968390171106863,0.07413386857491933,0.90625,0.90625,1.0,1.0,-0.6348280098280099,-0.6718736455209002,1.3712364322793769,-7.871709706883667,6.735796841933909,0.0029784065524944836,-0.3866666666666666,-1.1785714285714286,0.09247027741083214,0.03488372093023262,-0.42497858755742435,0.6764705882352939,0.15748563703954055,9.425,0.0
54,0.5850306571609141,0.9065297520415843,-0.024756978276139985,0.7522443839623025,1.3434426229508198,1.3434426229508198,1.0,1.0,-15.388561816652649,27.60990172249815,3.6832117659936516,-2.062750737106675,-0.9253698364933398,0.1521900519673347,-0.3866666666666666,-1.1785714285714286,-0.038694074969770176,0.05617977528089879,-0.42497858755742435,0.38596491228070184,-0.3848175182481752,9.425,0.0
53,-0.006549590606867217,-0.17224347972620258,0.5936536387021825,0.02139793671032808,-0.913606155998601,-0.913606155998601,-1.0,-1.0,-2.60357727379004,-1.0059873936000265,-1.0193697809319422,-1.2451420709729502,3.039616523332864,-0.06894329896907214,-0.3866666666666666,-1.1785714285714286,0.16603773584905657,-0.031914893617021156,-0.42497858755742435,0.2911392405063291,0.6046511627906976,9.425,0.0
52,0.005686555057344389,0.02199420465596913,-0.02288348107171423,0.02977892777702129,-3.9878542510121457,-3.9878542510121457,-inf,-inf,-0.4521396806881971,-15.202344231955584,-2.4723562966213253,-1.8159554730983303,-0.6139671238613758,0.08858131487889276,-0.3866666666666666,-1.1785714285714286,-0.02265372168284785,-0.06593406593406603,-0.42497858755742435,0.22549019607843146,-0.028393966282165062,9.425,0.0
51,0.034798091114552676,0.06319529548298819,-0.017112126205128142,0.06967158915582994,3.1897018970189706,3.1897018970189706,5.0,5.0,0.4127744510978044,0.34232473286421694,1.5153479362241096,-0.6128353797180537,-0.6157671096645874,0.00445009535918639,-1.184782608695652,-1.1785714285714286,-0.020971302428256178,0.0235294117647058,-0.42497858755742435,0.18399999999999994,-0.05022831050228316,9.425,0.08333333333333348
50,0.12893842834321956,-0.00016291918597433064,0.4119857822269162,0.05474851126084368,0.3929495472186286,0.3929495472186286,0.3333333333333335,0.16666666666666674,0.15154940190260913,-0.18622787431640941,4.1325493913094995,-22.64674790779621,34.690823529411766,0.06772151898734169,8.0,9.6,0.144306651634724,0.09195402298850563,-0.42497858755742435,0.15540540540540548,0.25064102564102564,9.425,0.0
49,0.0007725335263968347,0.009359195536916332,-0.011565310212952262,0.019281862936625815,0.5646621778500116,0.5646621778500116,0.375,0.714285714285714,-0.43546540160314084,0.6230316526165103,-1.0753520313942753,-1.548610922705445,-0.5332397188929763,0.06579727326615292,0.7450980392156865,0.7924528301886793,-0.012807881773399088,-0.06842105263157894,-0.42497858755742435,0.1286549707602338,-0.012301383905689356,0.8081534772182253,0.0
48,0.16875121644483704,0.29186106111115606,-0.01084444996931111,0.030685194058457155,-0.03991690161745065,-0.03991690161745065,-0.09090909090909083,-0.16666666666666663,0.8590263691683571,3.111733143865151,-22.00765872711955,-0.5587562588860728,-0.5040889252976652,0.06785317018909898,0.2921348314606742,0.2842105263157897,-0.012974051896207484,0.0847457627118644,-0.42497858755742435,0.11917098445595875,-0.15360664244940325,0.3289124668435013,-0.07692307692307698
47,0.016565297369863785,0.02228402683892816,-0.008341502035892012,0.051584349895864356,0.3438948995363216,0.3438948995363216,0.30000000000000004,0.30000000000000004,0.022640480087288584,-1.387368947918808,-1.5307531617188668,-1.2992154665172317,0.30414969667625535,-0.05572916666666672,0.18550724637681149,0.180327868852459,-0.015166835187057637,-0.04687499999999989,-0.2985781990521327,0.1064814814814814,-0.024524831391784185,0.22455089820359286,0.0
46,0.017962245815017486,0.012205566306647375,-0.006298454217398053,0.12866489832007066,0.30396779758481896,0.13030477285796427,0.15384615384615374,0.15384615384615374,0.026826201272720285,-1.118274111675127,-0.8933330585778657,-1.3708212379436278,-0.08648176457741863,-0.16050744622173185,0.22249388753056243,0.20833333333333326,-0.013347022587269053,-0.14754098360655743,-0.30038610038610036,0.09623430962343105,-0.023884349465744803,0.14262428687856543,0.0
45,0.017082802074694037,0.03342549213631041,-0.011747357681455184,0.013912825494312608,-0.1540836126300935,-0.02411477411477414,0.0,0.0,-0.16576984450959287,1.118090779034985,-0.07521411552579049,5.175,-0.5845804446569447,-0.02365308804205002,0.09999999999999987,0.034482758620689724,-0.02913631633714875,-0.0064102564102563875,-0.17991169977924948,0.09160305343511443,-0.028332260141661236,0.032810271041369576,0.0
44,-0.0023324367415989977,0.003342165922177731,-0.011348220176441881,0.01534443860679291,-0.3014284224794078,-0.3014284224794078,-0.33333333333333326,-0.33333333333333326,0.0764679715302492,-0.9392115927790741,0.29419956827518967,-1.1485707275180959,0.20906945963054602,0.0006729475100941684,0.016363636363636358,-0.005555555555555536,-0.011789924973204635,0.02580645161290329,-0.05585464333781964,0.0874125874125875,-0.008946322067594603,-0.04143646408839785,0.0
43,0.09759164664341302,-0.014836054356403117,0.3631703122603551,0.024791879099639313,0.32850746268656716,0.32850746268656716,0.19999999999999996,0.19999999999999996,0.0053307987933386425,23.775252525252526,-11.198751748628,44.36939168731076,7.8451689671584965,0.10894418291862817,-0.06976744186046513,-0.022346368715083664,0.10629067245119295,0.12578616352201255,0.10869565217391308,0.08038585209003224,0.2417251755265799,-0.03530259365994248,0.0
42,-0.0024856876231784675,0.0012206592890176005,-0.007570607132768692,0.037305453249376175,0.38490057296932934,0.38490057296932934,0.25,0.25,0.06330154554422895,0.5880542248496585,-1.1146216909165725,-1.447505566442391,-0.39691234791779895,-0.04790782292298357,-0.0038461538461538325,0.0,-0.0490196078431373,-0.13966480446927376,-0.02957248473159746,0.07440476190476186,-0.0051157781367797694,0.04705003734129942,0.0
41,0.021091186556407626,0.0016435193897650358,0.05224671739374265,0.0073302027259192215,0.5380871258213678,0.5380871258213678,0.4666666666666668,0.5333333333333334,-0.139129426318231,0.2042951400477524,-2.0790260965618814,-0.34783964425644986,-0.42920875120453983,-0.3152866242038216,0.14864864864864868,0.2114285714285713,0.04845360824742273,-0.27922077922077915,-0.3153362040410732,0.06925207756232687,0.03058186738836266,0.22396576319543526,0.0
40,0.00555563315361618,-0.0048237386590198605,0.013231506665612125,-0.015719158612848227,0.6224683544303797,0.4566983122362869,0.4545454545454546,0.3913043478260869,-0.1639498854910414,-0.6413976145048339,-0.7640760962293124,-0.8026359554299018,-0.14840867879697373,-0.28279069767441856,0.3327731092436974,0.47169811320754707,0.005899705014749346,-0.3153153153153153,-0.37832607643928406,0.06476683937823835,0.007615546218487257,0.42773892773892763,0.0
