,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/E ratio,Cumulative dividends per share,Net margin,Asset turnover,Current ratio
33,0.0028560628333822446,-0.013598625823074695,-0.0058866348071019425,0.0025779235997187566,-0.02788353863381854,0.0009931719428926122,-0.04583333333333328,-0.04583333333333328,-0.18518518518518523,-0.17307692307692313,-0.18518518518518523,0.9743589743589745,-0.5566600397614314,-1.0985915492957747,-0.025316455696202556,0.018170619032953583,-0.507563025210084,-0.03060046189376453,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.01612509161983877
32,0.0028560628333822446,-0.013598625823074695,-0.0058866348071019425,0.0025779235997187566,-0.02788353863381854,0.0009931719428926122,-0.04583333333333328,-0.04583333333333328,-0.18518518518518523,-0.17307692307692313,-0.18518518518518523,0.9743589743589745,-0.5566600397614314,-1.0985915492957747,-0.025316455696202556,0.018170619032953583,-0.507563025210084,-0.03060046189376453,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.01612509161983877
31,-0.005067638313020928,-0.028733130169786625,0.044793225303237705,-0.0016362786348761427,0.1742886764197673,-0.001612303112985214,-0.7336244541484715,-0.7336244541484715,-0.7272727272727273,-0.7441860465116279,0.17647058823529416,-0.20593692022263455,1.8340807174887894,11.857142857142858,-0.33395176252319114,-0.21415607985480944,-0.507563025210084,0.39070875521143544,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.02712937670722626
30,0.1322613234551271,0.08068130883012103,0.03333536473886278,0.30039803324748293,-0.18991563664900923,0.03577639751552786,30.721311475409838,30.721311475409838,35.916666666666664,37.63636363636363,0.5761363636363637,3.100467289719626,-1.6044303797468356,-1.0777777777777777,0.03899721448467974,-0.14780600461893767,-0.507563025210084,-0.19186295503211992,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.16897453895730963
29,0.008959773960889317,0.006774505737591641,0.016247935833923144,0.010983075261073116,0.04298861709857116,0.10326217318301745,-0.7209302325581395,-0.7209302325581395,-0.7223476297968396,-0.7223529411764706,-0.4253785147801009,-0.750997150997151,-1.6858638743455496,6.0,0.2627345844504021,0.12059620596205956,-0.507563025210084,0.040275569687334256,-0.004282655246252598,inf,0.025547445255474477,0.0,-0.00414651002073263
28,-0.00025793139025021006,-0.019912112057127174,-0.01125845109247603,-0.029919857524488003,-0.04295831882038781,-0.005000543537341029,-0.2759259259259259,-0.2759259259259259,-0.2764227642276422,-0.2796610169491526,0.8318695106649938,0.027459954233409523,2.6793893129770994,-0.5204081632653061,0.0997876857749469,0.1180975413139862,-0.507563025210084,-0.046867040244523595,-0.004282655246252598,0.0,0.025547445255474477,0.0,0.010332330943018109
27,0.006265664160401085,0.018915510718789497,-0.006162876008804163,0.0760051404442812,-0.0465849811961665,-0.028405987108051978,-0.07928388746803072,-0.07928388746803072,-0.07865168539325851,-0.08235294117647052,-0.5513698630136986,0.011135857461024523,-0.7437759336099585,-1.978723404255319,-0.08880308880308885,0.03568853640951697,-0.507563025210084,-0.048637092463923004,-0.032258064516129115,0.0,0.07591933570581255,-0.007575757575757569,-0.053117606654964566
26,0.028312944106658744,0.06751925192519259,0.0753285102613317,0.05306261730080197,0.22916401577808876,0.07252895535814696,-0.12777777777777777,-0.12777777777777777,-0.13414634146341464,-0.1282051282051282,0.9282442748091604,0.5925110132158591,0.2429149797570851,-6.065217391304348,0.4936440677966101,0.08318830490776197,-0.507563025210084,0.22359550561797747,-0.020000000000000018,2.25,-0.5192943770672547,0.022900763358778553,0.013782542113323304
25,-0.006874443455031187,0.0030915883034909886,-0.014334358523725887,-0.029325988334413466,-0.0348861283643892,-0.03606626127070667,0.09554140127388533,0.09554140127388533,0.08450704225352124,0.08823529411764697,-0.4140934283452098,-0.4840940525587828,0.5570032573289903,-1.4763948497854078,-0.1574468085106383,0.14974293059125965,-0.1279863481228669,-0.04040404040404055,1.3242630385487528,0.0,-0.12155963302752293,-0.007462686567164201,0.03339163619017338
24,0.0018650025105801937,0.0005136766405546833,-0.013233409483479175,0.004840594224670314,-0.05363080553469912,0.03034587774635633,0.22965116279069764,0.22965116279069764,0.23376623376623362,0.22972972972972983,0.10000000000000009,0.11796246648793574,0.10669456066945604,0.18918918918918926,-0.2222222222222222,0.0790944661822246,0.013698630136986356,-0.05598086124401902,0.23512195121951218,0.0,0.01305483028720622,0.0,-0.004308355131558694
23,0.016431588744898695,-0.002567064561673771,0.000508201812586373,-0.0998338870431894,-0.050663039782386954,-0.00654491713290406,-0.1371158392434988,-0.1371158392434988,-0.13684210526315788,-0.13186813186813184,0.10565110565110558,1.1199040767386093,-1.011342155009452,-1.1666666666666667,0.04761904761904767,0.01424501424501412,-0.00579150579150578,-0.052204764318297014,-0.005529225908372903,0.0,-0.010309278350515538,0.007518796992481258,0.10802039870190083
22,0.01542633747754718,0.03422982885085579,0.009086547958348623,0.05093190625576671,-0.012655205348615084,0.058548507066199074,0.16164383561643825,0.16164383561643825,0.1707317073170731,0.17721518987341778,0.3622222222222222,-0.23981900452488691,-105.0,-4.181818181818182,-0.14462809917355368,0.1762002042900921,0.06990291262135928,0.0037433155080213165,0.17235901509134233,0.0,0.06510416666666674,0.00746268656716409,-0.01589958158995808
