Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
1993-12-31,-0.0043155677009231175,-0.006630564938430505,-0.001915715910817295,0.07503069822585418,0.17383576253110555,0.17383576253110555,0.19047619047619047,-0.01851851851851849,0.005905136834084779,-0.3010025461489497,-0.05945005221023325,-0.42292560801144496,-0.7249268700376097,0.01091405184174632,0.004846526655896577,-0.008968609865470878,-0.0019762845849802257,0.05119453924914663,0.023076923076923217,inf,0.0024439918533605276,0.018225039619651273,0.0
1994-03-31,-0.0043155677009231175,-0.006630564938430505,-0.001915715910817295,0.07503069822585418,0.17383576253110555,0.17383576253110555,0.19047619047619047,-0.01851851851851849,0.005905136834084779,-0.3010025461489497,-0.05945005221023325,-0.42292560801144496,-0.7249268700376097,0.01091405184174632,0.004846526655896577,-0.008968609865470878,-0.0019762845849802257,0.05119453924914663,0.023076923076923217,inf,0.0024439918533605276,0.018225039619651273,0.0
1994-06-30,-0.0028925604733347487,-0.005962361915728076,0.000274729354460268,0.07503069822585418,0.17383576253110555,0.17383576253110555,0.19047619047619047,-0.01851851851851849,0.005905136834084779,-0.3010025461489497,-0.05945005221023325,-0.42292560801144496,-0.7249268700376097,0.04858299595141702,0.004846526655896577,-0.008968609865470878,0.0,0.05119453924914663,0.023076923076923217,1.0,0.003047541649735974,0.018225039619651273,0.0
1994-09-30,0.008429802650989693,0.019757251504961104,-0.00318450061240394,-0.03403048564338884,-0.05988794669897035,-0.05988794669897035,-0.07999999999999996,-0.01851851851851849,0.09436939780330755,0.44029595902105867,-0.13973799126637554,0.07514719553765103,-0.7249268700376097,-0.04826254826254828,0.004846526655896577,-0.008968609865470878,-0.005940594059405946,-0.04870129870129869,0.023076923076923217,0.5208333333333333,-0.011342920802106637,0.018225039619651273,0.0
1994-12-31,0.0427834405206049,0.0114833996542556,0.003094142352888518,0.038328236493374135,0.05500523475879837,0.05500523475879837,0.06521739130434767,-0.01851851851851849,-0.04302935917402084,1.1636765984351536,-1.9533683214316442,-1.0425133304510736,0.11203949867071783,-0.03380662609871532,0.004846526655896577,-0.008968609865470878,-0.05976095617529875,-0.027303754266211677,0.023076923076923217,0.3561643835616439,-0.03810694529809466,0.018225039619651273,0.0
1995-03-31,0.002044173669370153,-0.1654699486920329,0.17945234462867887,0.04959748674651476,0.05007633587786264,0.05007633587786264,0.020408163265306145,-0.01851851851851849,0.021758784883370463,-0.8391715673740732,-2.210540564930963,-3.9322033898305087,0.0,0.02099370188943328,0.004846526655896577,-0.008968609865470878,0.18008474576271194,0.08421052631578929,0.023076923076923217,0.26262626262626254,0.17699680511182114,0.018225039619651273,0.0
1995-06-30,0.05596009732190832,0.03642197513835388,0.07475106058889436,-0.030567195450463935,1.752689735388194,1.752689735388194,1.6600000000000001,-0.01851851851851849,-0.11898301085417651,0.1530774471950942,-0.29431936782466084,-1.453179190751445,0.0,0.06648389307745028,0.3810289389067525,-0.008968609865470878,0.07360861759425497,-0.09708737864077666,0.023076923076923217,0.21599999999999997,0.017734346724574745,0.46225680933852153,0.0
1995-09-30,0.05246090095787714,0.13335389134818643,-0.0021669106881405664,0.014009494037281467,-0.6132678392225215,-0.6132678392225215,-0.6165413533834587,-0.01851851851851849,0.6418480080348175,6.440023636005515,-2.359285865201775,-1.9821428571428572,0.0,0.06876606683804609,-0.02949165696546374,-0.008968609865470878,-0.0016722408026756952,-0.0035842293906810374,-0.2506265664160401,0.17763157894736836,-0.05192034139402557,0.011708355508248891,-0.05555555555555547
1995-12-31,0.04507150692691564,0.10858038901200406,-0.003815001760770098,0.019372763949151217,-0.04397705544933084,-0.04397705544933084,-0.05882352941176472,-0.01851851851851849,-0.3982300884955752,-0.11645884626585123,0.44151705914354555,-0.8181818181818181,0.0,0.0036079374624173877,-0.041583366653338616,-0.02714932126696823,-0.00670016750418756,0.007194244604316502,-0.013377926421404673,0.15083798882681565,-0.04669917479369845,-0.0013150973172014746,0.0
1996-03-31,0.13168900515250126,0.2817065609135416,0.002062098627231501,0.08064817234813138,0.04292857142857143,0.04292857142857143,0.0625,-0.01851851851851849,0.7908647329899703,1.109426499670402,2.563187405650205,-316.9428571428571,0.0,0.0035949670461352667,-0.006257822277847325,-0.058139534883721034,0.0,0.0071428571428571175,0.006779661016949268,0.13592233009708732,-0.11449931143025771,-0.010271266789570577,-0.05882352941176472
1996-06-30,-0.004828143751397618,-0.007072613339447642,-0.0013552445907808464,0.05676674843658214,0.06780357509759605,0.06780357509759605,0.05882352941176472,-0.01851851851851849,-0.2778702792704155,-0.8414488636363636,-1.2582085035557573,-1.4134563212154097,0.0,-0.03164179104477616,-0.27371956339210746,-0.3119341563786009,-0.001686340640809414,-0.028368794326240954,-0.03535353535353536,0.12393162393162394,0.0035547656076426737,-0.30468334220329973,0.0
1996-09-30,0.008918694690265516,0.02235863132999727,-0.004789534264157402,-0.023180540116393145,-0.03611057661471362,-0.03611057661471362,-0.03703703703703709,-0.01851851851851849,0.5081486139495885,-0.1251567819387207,-0.01681804863756231,-1.2446412948381451,4.877390710382514,0.03514180024660907,0.00867052023121384,-0.03468899521531099,-0.005067567567567655,0.03649635036496335,0.43630017452006986,0.11026615969581743,-0.013725924286030478,-0.024684270952927467,0.0
1996-12-31,-0.006830197829306939,-0.009044719735310403,-0.003744764428879055,0.037152324530575376,0.026151184455682763,0.026151184455682763,0.05769230769230771,-0.01851851851851849,-0.4337734537873523,0.37941628264208904,0.026582429371796445,-7.436298614215467,-0.8366552385379743,0.04228707564026202,0.025787965616045794,-0.004956629491945419,-0.003395585738539819,0.045774647887323994,0.037059538274605064,0.09931506849315075,0.003142536475869928,-0.011771630370806418,0.0
1997-03-31,0.01844880866924159,0.03233870099162672,0.0028681199266047397,-0.003872591732016706,0.1101095908177161,0.1101095908177161,0.09090909090909083,-0.01851851851851849,0.4772336769759451,-0.3629547141796585,-0.5679865304226661,-1.55917488540075,2.864105300604767,0.0040000000000000036,0.043575418994413306,0.03735990037359893,0.0017035775127767216,0.006734006734006703,-0.028705330990041134,0.09345794392523366,-0.015215931975833596,0.025213420686916788,0.0
1997-06-30,0.06388059779273725,0.1242569524983379,-0.005725755835297219,0.02863899957883831,-0.1007652316139962,-0.1007652316139962,-0.09999999999999987,-0.01851851851851849,-0.2614132015120675,6.199860156158956,-5.9047171079156024,-1.9323065457707118,-0.6910329589394218,-0.03585657370517925,0.0,-0.02400960384153661,-0.005102040816326592,-0.03678929765886296,-0.07539203860072363,0.08547008547008561,-0.06543967280163598,-0.012587141750580844,0.0
1997-09-30,0.012858365713963815,-0.09709150630062136,0.16624979901023718,0.01751125948789012,0.014616084188644907,0.010328699493309168,0.0,-0.01851851851851849,0.4390326209223847,-0.7347933054935094,-1.2613163086365629,-0.9552358113509193,-0.10011918951132304,0.10153482880755593,0.011241970021413472,-0.012300123001230068,-0.008547008547008517,0.10763888888888884,0.10176125244618395,0.08398950131233596,-0.018477996596158563,-0.01117866248283983,0.0
1997-12-31,0.13768167633712936,0.19197233124112634,0.12918495369838467,0.03934131921874506,0.06645751968756008,0.07098309007908443,-0.01851851851851849,-0.01851851851851849,-0.2142187133588681,6.231614281354898,-11.427702631854881,-4.166666666666666,0.35231788079470205,0.044480171489817755,-0.015352038115405087,-0.03735990037359904,0.09655172413793123,0.053291536050156685,0.0349319123741858,0.07506053268765145,0.012137726034183949,-0.0009916699722331002,-0.0625
1998-03-31,0.026807614318932416,0.05431576414441697,-0.004210107423310294,0.08207755077729462,0.04928858738068076,-0.021612535270456812,0.018867924528301883,-0.01851851851851849,0.3579209151952252,-0.7365769263228965,-0.9697030638819898,-1.8449248120300752,-0.22012732615083253,-0.03694202154951254,-0.04354838709677422,-0.05045278137128051,-0.028301886792452935,-0.12202380952380942,-0.02803203661327247,0.072072072072072,-0.03083700440528636,-0.05300774270399056,0.0
1998-06-30,0.1478944595726095,0.23403235561506475,0.045058321053025985,0.04442120328067367,0.014246481290765445,0.01527888568448188,0.0,-0.01851851851851849,-0.1189333724039412,3.7591708582962227,39.95519415864587,0.2191323692992213,-0.3441130298273155,-0.06180074587107087,-0.026981450252951067,-0.043596730245231696,0.05177993527508096,-0.03389830508474578,-0.03590347263095939,0.06932773109243695,-0.08358585858585865,-0.027044025157232587,0.0
1998-09-30,0.11740239459084667,-0.0037159079700137543,0.2881471197238028,0.11115210287762212,0.4044113499182038,0.3801523026713405,0.37037037037037024,0.35849056603773577,0.6188575704664505,-0.684304063333064,-0.27961555292630347,-74.8485401459854,38.74485399712781,-0.03861442362294154,0.061813980358174314,0.027065527065527117,0.006153846153846176,-0.08771929824561409,-0.03418803418803407,0.06483300589390972,-0.09947643979057597,0.03900021547080379,-0.06666666666666654
1998-12-31,0.09466695500334055,0.1775499248941479,0.0042977308723144425,0.06960584357064925,0.0871625964010283,0.005254860746190193,0.0,0.04166666666666674,-0.43461736004108886,3.070005970658478,0.016131572434584962,-1.970162346487435,-0.9457525865080034,-0.04843473124630837,0.07127312295973876,0.03467406380027738,0.004587155963302836,-0.05384615384615388,-0.12199747155499363,0.06088560885608851,-0.08078335373317003,0.009539610120282038,0.0
1999-03-31,0.0675963355771585,0.1262150335066139,-0.007342728397985332,0.10021950732799723,-0.284046405083869,-0.33485798919672416,-0.33783783783783783,-0.3466666666666667,0.6548873546511629,-0.6527372463547916,-0.6723607297847843,-0.9967907492072386,-0.055950266429840134,-0.09993792675356916,-0.02590147282884714,-0.07372654155495983,-0.0121765601217656,-0.10162601626016265,-0.17782577393808496,0.05913043478260871,-0.0732356857523303,-0.088126540673788,0.0
1999-06-30,0.044658823984301765,0.04843531828473502,0.039181317221811396,0.04415469256967808,0.015378264010733833,0.0194511755845177,0.0,0.0,-0.28643574682988415,0.005838777326835798,0.4135495860787295,-5.619047619047619,0.2737535277516463,0.0386206896551724,-0.02711157455683011,-0.05209840810419675,0.024653312788905923,0.04977375565610864,0.05954465849387036,0.05747126436781613,0.012212643678160884,-0.08515431403469254,0.0
1999-09-30,-0.0055538885150899775,-0.013432518644531655,0.0059752037186282525,0.007836022543040277,0.5334925797926409,0.6744186046511629,0.653061224489796,0.6326530612244898,0.33641049311485505,-1.1866262674746504,-2.0614093799302005,1.390893470790378,0.513847858197932,-0.11620185922974768,0.026795284030010746,0.010687022900763177,0.009022556390977376,-0.13793103448275856,-0.10165289256198351,0.05434782608695654,0.01419446415897796,-0.010588524993843995,0.0
1999-12-31,0.6412367214744739,0.4312733727597111,0.9425563423022456,0.36240376881535097,-0.10522652702747493,-0.17315070595457338,-0.3950617283950618,-0.4125000000000001,-0.22458553994934383,-9.83724481594599,-2.8581852577528544,-1.1807402084081926,-0.06134894499329191,-0.07813673929376419,-0.25052192066805845,-0.16163141993957697,0.34575260804769004,-0.08499999999999996,-0.10763569457221711,0.05154639175257736,0.31105668299510136,-0.13140866102538584,-0.07142857142857151
2000-03-31,-0.0061606307630629464,-0.0006902349871920066,-0.011944941791632968,0.15616654015911835,0.22801689014001036,0.2495475847988493,0.08163265306122458,0.1063829787234043,1.1159199732749343,-0.9634843978790938,-1.6754293471015282,4.4453280318091455,-0.35589916839916835,0.013039934800326058,-0.06824512534818938,-0.0018018018018018944,-0.012181616832779518,-0.24590163934426235,0.13917525773195893,0.050420168067226934,-0.008807045636509137,0.002865329512893977,0.0
2000-06-30,-0.008381628545944375,-0.0031499924699804893,-0.013976490825688082,-0.0018966104167680298,0.04077939313506662,0.050206097515689496,0.037735849056603765,0.05769230769230771,-0.22148934304008416,-0.9880448318804483,-0.24436110463134098,-1.810514786418401,0.4478515230986484,0.0860820595333871,-0.027653213751868577,0.016245487364620947,-0.015695067264574036,0.09420289855072483,0.07149321266968323,0.04933333333333345,-0.009962304792676346,0.02114285714285713,0.0
