,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
81,0.012573934242496199,0.016287750254496025,0.008379352995488087,0.002754315093646653,0.0573012939001849,0.0573012939001849,0.05617977528089879,4.424242424242424,-9.322852760736197,-6.409836065573771,-11.902654867256636,0.07019117951549458,0.11111111111111116,0.18014705882352944,0.1875,0.00821149386837372,0.021164021164021163,-0.02656152728781902,-0.0040459965928449915,0.1234567901234569,0.0
80,0.012573934242496199,0.016287750254496025,0.008379352995488087,0.002754315093646653,0.0573012939001849,0.0573012939001849,0.05617977528089879,4.424242424242424,-9.322852760736197,-6.409836065573771,-11.902654867256636,0.07019117951549458,0.11111111111111116,0.18014705882352944,0.1875,0.00821149386837372,0.021164021164021163,-0.02656152728781902,-0.0040459965928449915,0.1234567901234569,0.0
79,0.011246303747151964,0.01874336014569744,0.002712321194112466,0.002754315093646653,0.0573012939001849,0.0573012939001849,0.05617977528089879,4.424242424242424,-9.322852760736197,-6.409836065573771,-11.902654867256636,-0.7150780343092996,0.027272727272727337,0.18014705882352944,0.1875,0.0024411793888861055,0.021164021164021163,-0.02656152728781902,-0.008552490912978383,0.1234567901234569,0.0
78,0.011392870268283728,0.06200372439478574,-0.04713909133198946,0.29115546603186226,-0.26573426573426573,-0.26573426573426573,-0.26595744680851063,-3.6681564245810057,-0.9030682760527043,-1.2878787878787878,-1.1033549783549783,0.2593933906745134,-0.13138189244383935,0.18014705882352944,0.1875,-0.04727942404870045,-0.13471502590673579,-0.02656152728781902,-0.0577959887858529,0.1234567901234569,0.0
77,0.038106673407482194,0.033217837754429214,0.04440828134888353,-0.1391292015316976,-0.9428571428571428,-0.9428571428571428,-0.9378623188405797,-0.6348408710217756,0.8982889733840305,-1.1,-1.9650959860383943,-0.19877785765636236,-0.06818181818181823,0.18014705882352944,0.1875,0.0439330503683375,-0.02395209580838331,-0.02656152728781902,0.005951018539711583,0.1234567901234569,0.0
76,0.021192244475558564,0.05779648360600098,-0.025484323332352288,0.06655683690280068,32.625,32.625,29.962099125364436,-0.6834862385321101,-0.31246870305458185,2.3157894736842106,-0.06509945750452084,-0.2319425751458053,-0.16904962153069802,0.18014705882352944,0.1875,-0.025528523609204656,-0.2024539877300613,-0.02656152728781902,-0.04573378839590447,0.1234567901234569,0.0
75,0.004441099544712834,-0.009023000308039819,0.02307733304908588,0.0122026567809701,-0.20693928128872363,-0.20693928128872363,-0.20715630885122416,1.4166666666666665,-0.33576110706482154,-0.46031746031746035,-0.7959381044487428,-0.061623831775700966,0.13967611336032393,0.037383177570093684,0.1875,0.020195290305271785,0.1692307692307693,-0.02656152728781902,0.01859799713876975,-0.006868131868131844,0.05263157894736836
74,-0.0320110981698406,-0.07923946690152706,0.03130860595957485,0.285823287044102,0.24531250000000004,0.24531250000000004,0.24228028503562937,0.40929535232383807,-0.7203947368421053,-7.617647058823529,-3.1800947867298577,0.1431683784624962,0.030195381882770933,0.18018018018018012,0.1875,0.03089162705471682,0.013157894736842035,-0.007034747388616425,0.06554307116104852,0.13969571230982014,0.04999999999999982
73,0.040695268312870736,0.041875905529532575,0.03928204610126107,0.4897934963209114,0.36010037641154335,0.36010037641154335,0.35665391969407256,0.13191489361702136,-2.0549019607843135,-3.6577777777777776,3.197826086956522,0.5257282875034033,0.07586206896551717,0.4402035623409668,0.45614035087719285,0.038622492520527185,0.038961038961039085,-0.1021897810218978,-0.0015377855887521719,0.18810679611650483,0.19047619047619047
72,0.0802550960292212,0.19214775611600143,-0.05401464584278404,-0.35194774157571895,-0.44095940959409596,-0.44095940959409596,-0.44047468042225135,-0.31109022556390975,-3.7472118959107807,0.40802675585284276,-0.5670636975660279,0.14917915774446833,0.10256410256410264,-0.06713780918727907,-0.0843373493975903,-0.05418503793472085,0.0625,-0.24701099952175998,-0.12409240924092413,-0.10418794688457611,0.040000000000000036
