,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
22,0.030996714129244207,0.1331355093966371,0.0355723499902274,-0.22820557796877738,0.006870491240123622,0.042796005706134066,-0.026881720430107503,-0.33333333333333337,-0.30000000000000004,-0.288135593220339,-0.3417553191489362,0.252016129032258,13.856,-2.685164212910532,0.3389635316698656,0.09427609427609429,0.024748646558391485,0.03858520900321549,0.0918660287081341,-0.005364806866952843,-0.02321204516938513,0.027348394768133222,0.007575757575757569,0.4681402954776137
21,0.030996714129244207,0.1331355093966371,0.0355723499902274,-0.22820557796877738,0.006870491240123622,0.042796005706134066,-0.026881720430107503,-0.33333333333333337,-0.30000000000000004,-0.288135593220339,-0.3417553191489362,0.252016129032258,13.856,-2.685164212910532,0.3389635316698656,0.09427609427609429,0.024748646558391485,0.03858520900321549,0.0918660287081341,-0.005364806866952843,-0.02321204516938513,0.027348394768133222,0.007575757575757569,0.4681402954776137
20,-0.07781791139912886,-0.2463337988826816,-0.0010695187165775666,-0.049090909090909074,-0.494029341521665,0.042796005706134066,-0.026881720430107503,-0.33333333333333337,-0.30000000000000004,-0.288135593220339,-0.3417553191489362,0.252016129032258,13.856,-2.685164212910532,-0.42660550458715596,0.1344615384615384,0.024748646558391485,-0.47058823529411764,0.0918660287081341,-0.005364806866952843,-0.45150931278098905,0.027348394768133222,0.007575757575757569,-0.20740513135658323
19,0.08179252347215016,0.28630993745656697,0.14013099886635594,0.009082217973231277,-0.5428186109238031,0.030266757865937022,-0.11786372007366486,0.2876344086021505,0.3333333333333335,0.30952380952380976,0.34444444444444455,0.06763285024154597,-1.1723209477652128,-1.663978494623656,0.494,0.028749660970979196,0.024748646558391485,-0.5263157894736842,0.943908851884312,-0.005364806866952843,-0.5772833723653397,0.027348394768133222,0.007575757575757569,0.2747625508819538
18,-0.046429902561099023,-0.23410768953718708,0.0,0.05400284225485552,-1.2861356932153392,0.09892116182572619,0.29018789144050094,0.29018789144050094,0.375,0.4363636363636363,0.037565740045078844,0.9894419306184012,-5.8375,-2.504048582995951,-0.4973226238286479,0.1036119166886369,0.024748646558391485,-1.308641975308642,1.3300270513976558,-0.005364806866952843,0.0,0.027348394768133222,0.007575757575757569,-0.2733977039458678
17,0.14986878105980228,0.6313190688925465,0.1873722587416451,-0.0730337078651685,3.6494845360824746,-0.04561244524996222,0.09061488673139162,0.09061488673139162,0.10389610389610393,0.07594936708860756,-0.0521361332367849,-0.5875663381349507,-2.310077519379845,-2.879542395693136,1.859520639147803,0.04634495938843752,0.024748646558391485,3.6799999999999997,0.0,-0.005364806866952843,0.0,0.027348394768133222,0.007575757575757569,0.7598618813435178
16,-0.06876122954401986,-0.2334966849236091,-0.03233310072109796,-0.01866666666666672,1.0476718403547673,0.04446906156037356,0.0400593471810089,0.0400593471810089,0.08235294117647074,0.07058823529411762,-0.16348357524828117,0.2058823529411764,-2.0877712031558184,-1.6326530612244898,-0.4114086146682189,0.10456621004566213,0.024748646558391485,1.1367521367521367,0.0,-0.005364806866952843,0.0,0.1192129629629628,0.007518796992481258,-0.21891907961234314
15,-0.049277780674766625,-0.18277547950357276,-0.004663461538461533,0.04817193675889331,0.45912290200324857,0.036969696969696875,-0.2567760342368046,-0.26390870185449355,-0.23913043478260876,-0.23076923076923084,0.102283105022831,0.47865853658536595,-0.3345421577515866,-0.30333899264289754,-0.48694620253164556,-0.0324514262091774,0.024748646558391485,0.528,0.0,-0.18554476806903986,0.0,-0.016546018614270852,0.03731343283582067,-0.22029382659663554
14,0.010476086002632723,-0.024160147261850007,0.02714582427667489,0.11784115012962526,0.15287569573283855,0.09044418468731741,0.420345489443378,0.43410852713178305,0.47142857142857153,0.4571428571428573,0.304059652029826,-0.12164948453608249,-0.2193460490463215,-0.6555645816409423,-0.32690824980724753,-0.055543687246314866,0.04150943396226414,0.20157068062827221,0.0,-0.09933774834437081,0.0,0.015772870662460692,0.021582733812949728,-0.1270135702430928
13,0.18938283667155176,0.7559537844847912,0.18923113096637678,0.3149905123339658,0.1721918249114902,-0.0558756532225646,0.0013513513513514486,-0.012162162162162149,0.04854368932038833,0.0490196078431373,0.12007623888182972,-0.07746478873239437,-3.3350785340314135,-9.61556603773585,4.184421534936999,0.03935761140013572,0.007971014492753614,0.21132897603485845,0.0,-0.02941176470588236,0.0,-0.0041407867494824835,0.014084507042253502,0.3352717512860657
