,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
22,-0.00101015202788024,-0.010073656845753898,-0.014442916093535096,-0.059123343527013206,-0.30414746543778803,0.1248677248677248,0.2219101123595506,0.2219101123595506,0.21621621621621623,0.21621621621621623,-72.88888888888889,-1.4265734265734267,23.235294117647058,-0.44545454545454544,-0.09674582233948992,0.11612175873731667,-0.45515911282545807,-0.30000000000000004,2.4112157117351076,0.010043942247332183,inf,-0.7478991596638656,0.0628778718258769,0.0,0.05211985973860367
21,-0.00101015202788024,-0.010073656845753898,-0.014442916093535096,-0.059123343527013206,-0.30414746543778803,0.1248677248677248,0.2219101123595506,0.2219101123595506,0.21621621621621623,0.21621621621621623,-72.88888888888889,-1.4265734265734267,23.235294117647058,-0.44545454545454544,-0.09674582233948992,0.11612175873731667,-0.45515911282545807,-0.30000000000000004,2.4112157117351076,0.010043942247332183,inf,-0.7478991596638656,0.0628778718258769,0.0,0.05211985973860367
20,-0.004954749987360341,-0.028777765619870888,-0.013408433855049307,-0.05222101841820148,-0.30132450331125826,0.1248677248677248,0.2219101123595506,0.2219101123595506,0.21621621621621623,0.21621621621621623,-72.88888888888889,-1.4265734265734267,23.235294117647058,-0.44545454545454544,-0.05939629990262907,0.06969696969696981,-0.45515911282545807,-0.3015873015873016,2.4112157117351076,0.010043942247332183,1.0,-0.7478991596638656,0.0628778718258769,0.0,0.024743725698126662
19,0.012245312738173864,0.0522757999098693,0.003486080937705305,0.061271147690900696,-0.2725118483412322,0.028598306679209706,0.38620689655172424,0.38620689655172424,0.3999999999999999,0.37777777777777777,0.6723338485316848,-3.081967213114754,-0.5776699029126213,-5.770491803278689,0.3012422360248448,-0.008498583569405138,-0.45515911282545807,-0.2727272727272727,2.4112157117351076,0.010043942247332183,0.5,-0.7478991596638656,0.0628778718258769,0.0,-0.00847582910363176
18,0.011896395944182236,0.04261241970021423,0.005638908468432291,0.14454976303317535,-0.8436482084690554,0.03822937625754519,-0.406301824212272,-0.406301824212272,-0.4126984126984127,-0.4193548387096775,-0.22458410351201474,0.09448818897637801,-0.15517241379310343,-0.32817869415807566,0.15552903739061263,-0.03847619047619055,-0.45515911282545807,-0.84375,2.4112157117351076,0.010043942247332183,0.3333333333333335,-0.7478991596638656,0.0628778718258769,0.0,-0.08906117986183604
17,-0.043900987152140525,-0.071986034093243,-0.03579653549614503,-0.09260304912478823,3.125,-0.19186046511627908,0.2681564245810055,0.2681564245810055,0.2702702702702702,0.3055555555555556,-0.9475566150178785,0.03597122302158273,0.58843537414966,-2.557544757033248,-0.2096385542168675,0.1360935023771792,-0.45515911282545807,3.1999999999999993,2.4112157117351076,0.010043942247332183,0.3125,-0.7478991596638656,0.0628778718258769,0.0,0.02269627366468452
16,0.032271453771920644,0.02157795728671008,-0.004673139830728479,-0.0064302012030699185,-3.388888888888889,0.13254850664922602,0.4074889867841409,0.4074889867841409,0.4255319148936172,0.4042553191489364,5.545454545454546,2.6180555555555554,-0.873661670235546,-0.5303776683087028,-0.12456445993031362,0.06608544027898855,-0.45515911282545807,-3.3333333333333335,2.4112157117351076,0.010043942247332183,0.23809523809523814,-0.7478991596638656,0.11717861205915803,-0.009345794392523366,0.02816751133635642
15,0.2107961399276237,-0.051451473136915116,0.24210965621576497,0.07974947807933197,-0.6934460887949261,0.04812319538017329,-1.4272300469483568,-1.4272300469483568,-1.4179104477611941,-1.4242424242424243,2.204861111111111,7.980806142034549,-60.91525423728814,-0.09790209790209792,-0.12835820895522387,-0.012430487405953539,-0.45515911282545807,-0.6938775510204082,2.4112157117351076,-0.11062771908017399,0.1923076923076923,-0.7478991596638656,-0.4256619144602851,-0.05660377358490576,-0.12146526228402432
14,-0.05134910751349109,-0.16055726847093754,-0.05266694666106675,-0.13553750966744005,0.7655172413793103,0.0016528925619834212,-3.6336996336996337,-3.6336996336996337,-3.642857142857143,-3.642857142857143,0.4247020585048753,-1.0012823252831802,-1.2995756718528995,-1.949612403100775,0.13984018264840192,0.04421994037760846,0.2654867256637168,0.8000000000000003,2.4112157117351076,0.820754716981132,0.16129032258064502,0.8666666666666667,0.31914893617021267,-0.040000000000000036,-0.028939286557996602
13,-0.006694963462127501,-0.03360087062984629,-0.028063486433764884,-0.09170208007157232,1.87890625,-0.07902456912357902,-0.1974965229485396,-0.1974965229485396,-0.18918918918918926,-0.18918918918918926,-1.006083650190114,-5.666666666666667,-0.29367327667610954,-4.0285714285714285,-0.371557336004006,-0.06137985725614592,0.03776223776223797,1.8518518518518516,-0.47852877501011104,-0.2857417002494723,0.16666666666666674,1.9017857142857144,0.05779569892473124,-0.02083333333333337,0.06392166403113975
12,0.03325991189427313,0.16539977477477485,0.00474387629430284,0.1566116720019699,0.8887381275440978,0.16444355962572166,0.6464471403812826,0.6464471403812826,0.6500000000000001,0.6333333333333333,-128.5,11.75,-0.7299465240641712,-1.587601078167116,0.3474103585657371,0.12166272389320709,0.1428571428571428,0.883116883116883,-0.6066882613257905,0.03680816765180017,0.1428571428571428,0.8246153846153845,0.1512071156289707,0.0,0.0076030412164864725
11,-0.016584949904071666,-0.030921608889962537,-0.02342579561447311,-0.07962529274004682,0.09051724137931028,-0.0064968370661651065,-0.9831578947368421,-0.9831578947368421,-0.9797979797979798,-0.9795918367346939,-0.2431372549019608,-0.6974789915966386,0.03960396039603964,0.041284403669724856,0.2684801892371378,0.04941247363663748,0.15919811320754707,0.08965517241379328,-0.44275606078181184,-0.11505571391552227,0.12500000000000022,0.1096121416526139,0.1280353200883002,0.02127659574468077,0.052933166912515706
10,-0.025665481661319656,0.03365324691511895,-0.00934405652921766,-0.006245662734212343,-0.2536231884057971,-0.01961796592669074,45.75,45.75,38.0,37.0,1.5790155440414506,0.36111111111111116,2.8095238095238093,1.1563876651982379,0.45641025641025634,-0.05670399081251798,0.016276703967446737,-0.24683544303797478,-0.13426311407160696,-0.17774524158125915,0.11111111111111094,-0.23404255319148937,0.001956947162426781,0.02083333333333326,0.04014224904359054
9,-0.02758743436860367,-0.10502833715181481,-0.04720788362271233,-0.0723929236499069,0.33627537511032646,-0.036685975074600696,-0.08556149732620322,-0.08556149732620322,-0.07692307692307698,-0.06578947368421062,-1.2054244098442994,0.8911564625850341,-0.30000000000000004,-2.254341164453524,-0.39308578745198464,0.06604778572515602,0.05705705705705699,0.33613445378151274,0.4154844914642941,0.056980056980056926,0.13333333333333353,0.375,0.025390625,0.030612244897959107,-0.0351740571902196
8,0.06827125469021689,0.13069253570466177,0.017139479905437405,0.0961104140526976,0.7523117569352709,0.14249271137026231,0.5423976608187135,0.5423976608187135,0.541666666666667,0.5492957746478875,-3.56479217603912,-1.0683453237410072,-0.0267857142857143,-1.455211726384365,0.2948312236286921,0.11848679514632399,0.04450757575757569,0.7547169811320753,-0.1629013079667062,0.06873315363881405,0.11764705882352944,0.6392496392496394,0.024761904761904763,0.01980198019801982,0.03151677852349
7,0.04827379422599165,0.10176358436606292,0.004842146039124584,-0.010531135531135494,0.38409347908028657,-0.028070175438596467,-0.14881516587677723,-0.14881516587677723,-0.14414414414414423,-0.14545454545454561,0.01048617731172552,-6.368421052631579,-0.8495412844036697,0.5992844364937389,0.36415478615071284,0.044543714103382426,0.33182230281051694,0.38351254480286734,-0.4048295454545455,-0.003783102143757766,0.10526315789473673,0.3204225352112675,0.3355018587360594,-0.009708737864077666,0.11352279825109313
6,0.03869570547133572,0.11691542288557222,0.02953932151117966,0.06617306802406286,0.09368191721132901,0.022317033147358112,-0.8930957683741648,-0.8930957683741648,-0.9052631578947369,-0.8936170212765957,0.6716981132075472,0.38235294117647056,2.926829268292683,0.4686800894854586,0.3920573305464319,0.02908113391984357,-0.21715452688904013,0.0932642487046631,-0.2560518240709171,-0.24082278481012664,0.09523809523809534,0.053333333333333455,-0.21016005567153784,-0.009803921568627416,0.04758565886037491
5,0.03387096774193554,-0.2228139827636293,0.014275684530774546,-0.01888020833333337,0.1354581673306774,-0.015890850722311445,6.520833333333333,6.520833333333333,7.444444444444445,6.5,-1.056997742663657,19.20567375886525,-0.3509316770186336,-3.3945163747143945,-0.6743886743886744,-0.023034908572785562,-0.03130434782608704,0.13744075829383884,-0.10632447296058667,0.20341809087119644,0.11413043478260865,0.09810126582278467,-0.012334801762114544,-0.01980198019801982,-0.20784436214359014
4,0.0013698108899966588,0.062172937951657126,-0.02030456852791873,0.04644990046449893,0.10964912280701755,0.1494046648181373,0.577562326869806,0.577562326869806,0.5789473684210527,0.5866666666666667,-13.752475247524753,-0.9424359424359424,2.325358851674641,-1.1202290076335877,0.24901185770750978,-0.02236266407389409,0.0,0.11041666666666683,-0.14051282051282044,-0.036023553862140734,0.102439024390244,0.10835734870317015,-0.000892060660124927,0.010101010101010166,0.01498338309018199
3,0.03739028004711775,0.024398826979472155,0.0038153556288271773,0.02916930881420421,0.17964426877470352,0.009649496239534594,0.01843722563652328,0.01843722563652328,0.016666666666666607,0.01680672268907557,0.10015527950310554,5.548780487804878,-0.618705035971223,-0.8174603174603174,0.03639240506329111,0.040900049726504406,0.0628366247755836,0.178236397748593,-0.06264916467780435,0.009701760689903027,0.09292035398230114,0.1367654706188246,0.049107142857142794,0.010000000000000009,-0.004606248959431736
2,0.029339584630599713,0.06675827321653505,0.011777955046689437,0.06962415280345047,0.09063494722734133,-0.01278988053408292,0.14482758620689662,0.14482758620689662,0.14754098360655732,0.14876033057851235,0.3930839802399435,-0.6731843575418994,1.509433962264151,12.63768115942029,0.47888040712468194,0.009912815000597153,0.36064189189189166,0.09713375796178325,-0.14322087842138764,-0.07402135231316731,0.08502024291497978,0.05992680695333941,0.35489361702127664,0.0,-0.002676181980374781
1,-0.0033449576542594617,-0.08737655646200082,0.0033392078656895308,-0.0679723502304147,-0.026574500768049125,-0.06748291571753984,-0.39608433734939763,-0.39608433734939763,-0.3928571428571428,-0.39568345323741005,-1.0638297872340425,-0.49572649572649574,0.4917293233082707,-2.381509032943677,-0.44735030970406053,0.01797540208136228,0.0024829298572315306,-0.020319303338171224,-0.07206537890044584,-0.27132974634896234,0.10074626865671643,-0.023305999136814748,0.003140703517587884,0.0,-0.020851967799642157
0,0.01731648100542693,0.03881439661256181,0.010307848756586857,0.06530696332921293,0.04229130503392775,0.11633587786259536,0.3628428927680798,0.3628428927680798,0.3764705882352941,0.38095238095238093,-10.492063492063492,0.04519774011299438,0.022177419354838745,-1.0046153846153847,0.0037359900373599153,0.1719330855018586,-0.029721362229102155,0.04740740740740734,0.1969575660528422,0.1492616033755274,0.09152542372881367,0.024304021210782123,-0.020037570444583652,-0.00990099009900991,-0.02483585498144436
