Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
1996-03-31,-0.0364098706693492,-0.027186824035953183,-0.05067933539558178,0.3603009347566235,1.569774011299435,1.569774011299435,1.7307692307692304,1.7307692307692304,0.9216305545354389,8.406501675386515,0.12206631069166773,-1.0018691588785047,0.0012396950350213043,-0.10052910052910047,-0.0414767547857795,-0.1755485893416927,0.019073569482289,-0.07526881720430112,0.004629629629629539,0.3333333333333335,-0.014773306164034716,-0.019099590723055893,-0.016129032258064502
1996-06-30,-0.0364098706693492,-0.027186824035953183,-0.05067933539558178,0.3603009347566235,1.569774011299435,1.569774011299435,1.7307692307692304,1.7307692307692304,0.9216305545354389,8.406501675386515,0.12206631069166773,-1.0018691588785047,0.0012396950350213043,-0.10052910052910047,-0.0414767547857795,-0.1755485893416927,0.019073569482289,-0.07526881720430112,0.004629629629629539,0.3333333333333335,-0.014773306164034716,-0.019099590723055893,-0.016129032258064502
1996-09-30,0.05265193668629453,0.0036304243834841543,0.1303725988901785,0.06257435974138104,6.01500494668572,6.01500494668572,6.450704225352113,6.450704225352113,0.9851316745021594,-0.9202132313422575,-0.8888151099306478,-257.1636363636364,-0.317171592105041,-0.05294117647058816,-0.0414767547857795,-0.1755485893416927,0.16310160427807463,-0.07526881720430112,0.004629629629629539,1.0,0.07368148914167527,-0.019099590723055893,-0.016129032258064502
1996-12-31,0.01877125924526979,0.01458678955453152,0.024661627007564357,0.18085262935640123,-0.790505441467982,-0.790505441467982,-0.782608695652174,0.0,-1.529295107534128,0.3934362027101119,-2.6885202388852023,-2.257630066008943,0.5841651075193486,0.10869565217391286,-0.0414767547857795,-0.1755485893416927,0.02298850574712663,-0.04651162790697683,0.004629629629629539,0.5,0.0057789549723092914,-0.019099590723055893,-0.016129032258064502
1997-03-31,-0.05373673708819671,-0.09543131222596357,0.004378533968910192,-0.4152276507783419,-0.9163363003964395,-0.9163363003964395,-0.9217391304347826,-0.9829867674858223,-3.6730083666787925,-0.8821810005621136,-3.1995205533286173,-2.8013121693121694,-0.6642386655705976,0.1204481792717087,-0.0414767547857795,-0.1755485893416927,0.11685393258426946,0.09756097560975618,0.004629629629629539,0.3333333333333335,0.06152741201819478,-0.019099590723055893,-0.016129032258064502
1997-06-30,0.050145703994642465,0.14933786805564853,-0.0743723166175213,0.3349895760945101,5.201609298167188,5.201609298167188,6.111111111111112,6.111111111111112,-0.5443039697336727,-0.05629770992366412,-1.9108971037538638,-1.1540949963969045,0.30484705736510986,-0.01749999999999996,-0.0414767547857795,-0.1755485893416927,-0.08249496981891347,-0.12222222222222223,0.004629629629629539,0.0,-0.11862877762742452,-0.019099590723055893,-0.016129032258064502
1997-09-30,0.021876519202722378,0.0160139268904822,0.031014619454471593,0.16236953749251715,0.4207453326605637,0.4207453326605637,0.4375,0.4375,-1.1589965656263999,0.004044489383215444,-1.6407751755521556,-2.295328622985818,-0.3026232973505766,0.1959287531806615,-0.6314788397527342,-0.1755485893416927,0.026315789473684292,0.30379746835443044,0.20737327188940102,0.25,0.0089559877175025,-0.639777468706537,0.008196721311475308
1997-12-31,0.0669440395908758,0.09581079620098487,0.02260369620189473,0.263018909046397,-0.14048706240487063,-0.14048706240487063,-0.08695652173913049,-0.11956521739130432,11.484598046581517,-0.03877139979859012,-4.685288355577324,-8.400384570105562,3.2113616238675844,0.02127659574468077,-0.1522580645161291,-0.1755485893416927,0.019230769230769162,0.0,1.6164122137404582,0.19999999999999996,-0.04159269591681458,-0.1930501930501931,0.024390243902439046
1998-03-31,-0.03514377442444894,-0.06493847202540048,0.013898235439577578,-0.38472966664105857,-0.33528127029100996,-0.33528127029100996,-0.36904761904761896,-0.3580246913580247,0.6595504603719082,-0.0785751702462022,-1.4509722487561363,-0.5658274296865058,0.3310770375402332,0.1395833333333334,0.17503805175038067,0.14448669201520903,0.012578616352201255,0.11650485436893199,0.29759299781181614,0.16666666666666674,0.05080709182323373,0.12918660287081352,0.007936507936507908
1998-06-30,0.060185651454645495,0.07375673936589022,0.03958458211892735,0.3056758828286632,1.1173963235947073,1.1173963235947073,0.037735849056603765,0.03846153846153855,-1.2383438947664247,-24.611142694712907,-1.8250603208516751,-1.3018148953320794,-0.0750700212038179,0.24314442413162718,0.13082901554404147,0.12956810631229243,0.02898550724637672,0.22608695652173916,0.057897695334457655,0.1428571428571428,-0.01939058171745145,0.1186440677966103,0.015748031496062964
1998-09-30,0.042202652182312006,0.049586918361847365,0.03062478625794718,0.11716544283702879,0.19761784935413518,0.19761784935413518,0.19999999999999996,0.18518518518518512,-1.114221596744133,1.7049022440527786,-1.364460319232057,4.354726448688896,-0.434605253650558,0.10441176470588243,0.09392898052691856,0.08823529411764697,0.028169014084507227,0.07092198581560294,-0.04144527098831041,0.125,-0.011042629686697558,0.08712121212121215,0.0
1998-12-31,0.024822017650824924,0.013098531911890587,0.04354158290817045,0.19436111118427468,0.3489984591679507,0.3489984591679507,0.36363636363636354,0.390625,-73.04895104895105,-1.9563735089905645,-5.893054024255789,-0.6461844233181688,-0.27196946813207246,-0.17177097203728364,0.2282722513089006,0.23783783783783785,0.043052837573385405,-0.1920529801324503,-0.2522172949002217,0.11111111111111116,0.018177096857959096,0.24041811846689898,0.0
