,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,Book value of equity per share,P/B ratio,Cumulative dividends per share,Equity to assets ratio,Current ratio
10,0.04689463292048113,0.23508322663252246,0.332591393497909,0.40365901128843906,-0.5210512201662645,0.0,0.0,0.0,0.0,0.0,-0.7603305785123967,-1.1118881118881119,-2.673684210526316,-1.0729064039408867,4.14344262295082,-0.003984063745019917,-0.5218427323272439,1.2436974789915967,inf,-0.542575440693158,-0.12006578947368429
9,0.04689463292048113,0.23508322663252246,0.332591393497909,0.40365901128843906,-0.5210512201662645,0.0,0.0,0.0,0.0,0.0,-0.7603305785123967,-1.1118881118881119,-2.673684210526316,-1.0729064039408867,4.14344262295082,-0.003984063745019917,-0.5218427323272439,1.2436974789915967,inf,-0.542575440693158,-0.12006578947368429
8,-0.0026576364181919443,0.027161517727555484,-0.011742673482816213,-0.06627842484747648,0.04759238521836506,-0.013026487190620939,-0.029787234042553234,-0.03404255319148941,-0.025316455696202556,-0.03797468354430378,-0.7603305785123967,-1.1118881118881119,-2.673684210526316,-1.0729064039408867,-0.05896414342629486,0.0715555555555556,0.04485049833887045,1.2436974789915967,inf,0.05029392553886347,0.10003738317757027
7,-0.00872480336957926,-0.027250706499798105,-0.03897567221510878,-0.025245025245025254,0.14911811865312674,0.041575010998680106,0.8179824561403508,0.8171806167400881,0.805194805194805,0.8157894736842104,0.6336206896551724,-8.75,-0.16981132075471694,-0.7702702702702703,-0.014394580863674844,0.115927001244297,0.14785373608903019,0.06741573033707882,1.0,0.15920398009950265,-0.0020390131176510895
6,0.0026881720430107503,0.0033201909109774608,-0.02616712854402048,-0.11669713589274833,0.12860465116279074,-0.07201689545934531,-0.39686369119420994,-0.3975757575757576,-0.39568345323741005,-0.39855072463768115,0.3403693931398417,0.27419354838709675,0.09090909090909083,-4.9411764705882355,0.05756013745704469,0.021743170414421087,0.12742382271468156,-0.10994152046783634,0.0,0.1260729613733904,0.13587141592317642
5,0.0009513102136122775,0.015098241985522343,-0.01707437202429818,0.17626767850983094,0.06882340820111277,0.03390987710514337,0.8600000000000001,0.8651911468812876,0.8452380952380953,0.8554216867469882,0.8188976377952757,0.012658227848101333,0.04513888888888884,5.791044776119403,0.36961819658813977,-0.020916696980720184,0.0687960687960687,-0.13140604467805517,1.0499999999999998,0.0676512625059551,-0.13700683535196068
4,0.00920165889061697,0.050733496332518335,0.00517788541840658,0.036363636363636376,0.023134759976865205,-0.039841514417785606,-0.4483870967741935,-0.44875943905070115,-0.44516129032258067,-0.44805194805194803,-0.7283549783549783,-0.525,0.2491694352159468,-1.4483516483516483,-0.12099644128113884,-0.005201560468140465,0.024137931034482918,-0.0680786686838124,0.2585365853658539,0.013833110218652411,0.013895643715695183
3,-0.0006849021874063554,-0.008919914679076935,-0.009526974631660523,0.35710243350311255,0.02939513849632558,0.08826226501604761,-0.060428849902534165,-0.0606653620352251,-0.05813953488372081,-0.05882352941176461,0.549800796812749,0.44736842105263164,0.04521276595744683,-0.4509803921568627,-0.07557354925775983,0.0836601307189544,0.032547699214365844,0.05681818181818166,0.20155038759689914,0.029929577464788526,-0.26971835811690537
2,-0.023216962947097852,-0.09567599295636864,-0.037132311821943875,-0.10529608006672231,0.02233205198608812,-0.07309879924162632,-0.07468879668049788,-0.07499999999999996,-0.07407407407407418,-0.07500000000000007,-0.38303341902313626,0.2727272727272727,0.35114503816793885,2.8839285714285716,-0.3175182481751825,-0.013958297432362654,0.03152173913043499,-0.044546850998463894,0.0,0.04658119658119664,0.010697194332363491
1,0.006314958558084394,0.03656425789701423,0.07921942153560235,0.11232812864134245,-0.2184422560429723,0.06727272727272737,-1.89237668161435,-1.894144144144144,-1.9066666666666667,-1.9189189189189189,3.75,0.4928571428571429,0.06591337099811678,-1.8229885057471265,0.3828877005347593,0.03198182453687526,-0.21812434141201265,0.0,0.3548387096774195,-0.2233564720293998,-0.06805310556122912
0,0.008149213404802458,0.044458359423919847,0.0018835432138628594,0.023255813953488413,0.034822451317296776,-0.0732538330494037,-2.077889447236181,-2.0780856423173804,-2.0735294117647056,-2.0588235294117645,-0.7070175438596491,-0.32057416267942584,-0.4823321554770318,-1.3212290502793296,-0.0889404485692189,0.27112616426756997,0.028301886792452935,0.6270096463022508,0.13095238095238093,0.02681388012618302,0.020721259214983023
