Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
1994-04-01,0.031038162874241104,0.08683082223446625,0.016088173443194576,0.03536676288975138,0.05196179064457329,0.10004737976088784,0.32612885462555075,0.32612885462555075,0.32000000000000006,-0.39682539682539686,1.7656527750345643,-0.31205198633348963,-2.3290203327171906,0.20221306140160555,0.48707805907172985,0.05020920502092041,0.017757483510908223,-0.013530135301353052,0.04761904761904767,0.05685618729096986,-0.005675954592363253,-1.0,0.020398368130549516,0.03400309119010836,-0.007751937984496138,0.049693556402186534
1994-07-01,0.031038162874241104,0.08683082223446625,0.016088173443194576,0.03536676288975138,0.05196179064457329,0.10004737976088784,0.32612885462555075,0.32612885462555075,0.32000000000000006,-0.39682539682539686,1.7656527750345643,-0.31205198633348963,-2.3290203327171906,0.20221306140160555,0.48707805907172985,0.05020920502092041,0.017757483510908223,-0.013530135301353052,0.04761904761904767,0.05685618729096986,-0.005675954592363253,-1.0,0.020398368130549516,0.03400309119010836,-0.007751937984496138,0.049693556402186534
1994-09-30,0.043187617679775636,0.12145015281788019,0.03244391823838,0.061925072471795906,0.05771145517001042,0.02610647568865887,0.19889961590366445,0.19889961590366445,0.19696969696969702,-0.39682539682539686,-0.489662560257097,-0.1556139838348427,-0.9449398674629796,-0.14744630933044578,0.27924572914819423,0.10756972111553798,0.017757483510908223,-0.013530135301353052,0.05681818181818188,0.05685618729096986,-0.005675954592363253,inf,0.013875823142050603,0.03400309119010836,-0.007751937984496138,0.05609910052075118
1994-12-31,0.15148087123441112,0.009831048342049842,0.1750099427334224,0.37790196269352205,0.12043301759133973,0.08786222448266767,0.0718676941726557,0.0718676941726557,-0.4683544303797469,-0.39682539682539686,5.433459277917716,18.009802790912236,-79.71025260029718,-5.162362404741744,-0.908599417771822,0.08273381294964022,0.017757483510908223,-0.013530135301353052,0.09677419354838701,0.025316455696202445,-0.005675954592363253,0.0,-0.026907909997680335,0.03400309119010836,-0.007751937984496138,-0.26709002614867394
1995-03-31,0.04420582215286961,0.12495401183986088,0.03522701228369218,0.02968692821179353,0.05663095988237776,0.06038646662704927,-0.1175377655707246,-0.1175377655707246,-0.11904761904761907,-0.39682539682539686,-0.6517341511957976,-0.8989771527718796,-1.045439099901835,-1.7003509128820626,6.962082912032356,0.12292358803986714,0.017757483510908223,-0.013530135301353052,0.05882352941176472,0.021604938271604812,-0.005675954592363253,0.0,0.011918951132300348,0.03400309119010836,-0.007751937984496138,0.09245667686034675
1995-06-30,0.030530447755148904,0.09118249076625773,0.015481269701634881,0.061698831857018854,0.0509340796959421,0.03980834200964667,0.24588062980593195,0.24588062980593195,0.21621621621621623,-0.39682539682539686,-1.1151395915308226,-0.1932500600528465,-10.208973826339841,-0.6496260257061941,0.3063686583275129,0.0798816568047338,0.017757483510908223,-0.013530135301353052,0.04629629629629606,0.02114803625377637,-0.005675954592363253,0.0,0.01978798586572439,0.03400309119010836,-0.007751937984496138,0.02780628907343452
1995-09-29,0.23482633993125335,0.15925176840450606,0.37711176147003567,0.23954512190335908,0.0484239197253562,0.0332676018922482,0.058045554739162286,0.058045554739162286,0.06666666666666665,-0.39682539682539686,-13.084892866829401,11.354399285395266,4.039474871424704,-3.0899481865284972,-0.49013317779721977,0.10684931506849327,-0.0074775672981056696,-0.013530135301353052,0.04424778761061954,0.059171597633136175,0.025947067981318073,1.0,-0.15107415107415112,0.004484304932735439,-0.0546875,-0.06482069904675436
1995-12-31,-0.014651021228232364,-0.15663848651619572,-0.05674145523170471,-0.24732416400495405,0.05777703207369478,-0.2231283805832155,0.057222222222222285,0.057222222222222285,0.0625,-0.39682539682539686,1.272684426689409,-0.5718598051443342,-1.3068439192516002,-0.5861761205870686,-0.24327931363203048,-0.017326732673267342,0.0015067805123052391,-0.013530135301353052,0.06779661016949157,-0.06145251396648055,-0.06575619625695506,0.0,0.0737414965986396,0.08482142857142883,-0.09090909090909083,0.12047374041355186
1996-03-29,0.011769250284826782,0.09335862970823428,-0.08445002667615154,0.22421796515051784,0.15941539558357265,0.3032549792049182,2.5056161324224906,2.5056161324224906,2.5098039215686274,-0.39682539682539686,-0.6590792384262917,-2.6580821300909117,3.2125393861594116,-2.900071890726096,0.9988662131519275,0.05037783375314864,0.649949849548646,0.6845386533665836,0.1587301587301586,-0.014880952380952328,-0.0021656740660530582,0.0,0.1457171819564116,0.7434842249657061,-0.036363636363636376,-0.10682723964650842
1996-06-28,0.011972889562880784,0.007966369880337831,-0.02548373076670929,-0.043356988234533156,0.057359902791793704,0.061871729698186106,-0.6952847600221099,-0.6952847600221099,-0.6983240223463687,-0.39682539682539686,-0.1864843727370159,-1.1837633678492616,-0.9090720207218002,-1.8447471307857233,-0.42213398878174824,0.1942446043165469,-0.04954407294832841,-0.023686158401184376,0.0547945205479452,0.030211480362537735,-0.3309820944112859,0.0,0.04490157044901566,-0.0007867820613689513,-0.018867924528301883,0.05364244834610554
1996-09-27,0.1782618383009713,0.14962009951719768,0.2981172551516049,0.0724378937760668,0.04440919904837437,0.0825252875968332,0.032344350499615704,0.032344350499615704,0.03703703703703698,-0.39682539682539686,2.0009257610824283,8.948870721906609,-11.964734557087365,-2.908032248432368,1.393827025847966,-0.004016064257028162,-0.04924848097217771,-0.021986353297952843,0.038961038961039085,-0.055718475073313734,-0.03081914030819144,0.5,-0.11367485182049109,-0.017322834645669305,-0.009615384615384581,0.0719020438225002
