,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
69,-0.002716745650383934,0.1502050552576868,-0.005392301115289766,0.272376152702825,0.1766963524870926,0.1766963524870926,0.16666666666666674,0.16666666666666674,-0.2997409437496702,1.8275605772443795,-0.9752237768317036,-0.011361764064235613,-0.009714285714285786,0.5221238938053097,-0.46830652790917693,-0.005392912172573205,0.05970149253731338,-0.12693935119887156,inf,-0.002645502645502673,0.3376817502378042,0.0
68,-0.002716745650383934,0.1502050552576868,-0.005392301115289766,0.272376152702825,0.1766963524870926,0.1766963524870926,0.16666666666666674,0.16666666666666674,-0.2997409437496702,1.8275605772443795,-0.9752237768317036,-0.011361764064235613,-0.009714285714285786,0.5221238938053097,-0.46830652790917693,-0.005392912172573205,0.05970149253731338,-0.12693935119887156,inf,-0.002645502645502673,0.3376817502378042,0.0
67,0.03936300853402974,1.9429410437336445,0.0008472287541581025,0.35616647383569866,0.5794124454554619,0.5794124454554619,0.5714285714285714,0.5714285714285714,1.4996332355687323,0.1671817153661963,17.20565879900006,-0.20922557148766052,0.05654933641084825,0.5221238938053097,-0.46830652790917693,0.0,0.05970149253731338,-0.12693935119887156,1.0,-0.037135278514588865,0.3376817502378042,0.0
66,0.25556044000789924,4.464133369089583,0.005170637173291581,0.2697820934710369,0.25262859315985886,0.25262859315985886,0.27272727272727293,0.2272727272727273,0.3132286317479249,0.0007177429656930467,-2.1378750458486024,0.30106253839935193,-0.05133806663025653,0.5221238938053097,-0.46830652790917693,0.004647560030983877,-0.04929577464788726,-0.12693935119887156,0.9285714285714288,-0.19940665395210844,0.3376817502378042,0.0
65,0.002826603264838967,0.00930341884568997,0.0007318889065330847,-0.12593783667836966,-0.13436291635041708,-0.13436291635041708,-0.14285714285714302,-0.11111111111111116,-0.1913323189737608,0.0,-1.1782792583243933,-0.04125336367084076,-0.08175014392630986,0.5221238938053097,-0.46830652790917693,0.0007710100231301809,-0.08888888888888902,-0.12693935119887156,0.28395061728395055,-0.002117522498676583,0.3376817502378042,0.0
64,0.15244686489316606,0.5929834759830372,0.00874933916546139,0.19282154593266054,1.5181518261271876,1.5181518261271876,1.5,1.5,0.377560724192717,0.09523910836764626,-3.117007093672229,0.0910914940608214,0.013166144200627006,0.5221238938053097,-0.46830652790917693,0.009244992295839749,0.008130081300812941,-0.12693935119887156,0.24038461538461542,-0.12466843501326252,0.3376817502378042,0.0
63,5.3435943421442644e-05,0.008251157695789102,-0.004169246909534796,0.051939824211325814,0.39032476865151944,0.39032476865151944,0.3999999999999999,0.3833333333333333,-0.015013379964923246,0.5842490004429046,-1.5096962393465798,-0.04255279434583681,0.1373762376237624,0.4563953488372092,-0.46830652790917693,-0.004580152671755711,0.12903225806451601,-0.2557889068389876,0.22480620155038755,-0.00424242424242427,0.34833401056481095,0.0
62,0.07359859755230724,0.22275742698857326,-0.004192061907795308,-0.01461643886905184,-1.6936369614031572,-1.6936369614031572,-1.6904761904761905,-1.6987951807228916,-0.5213061862258449,-0.2218687209703446,-3.2220500480314676,0.09875681725493868,0.06855277475516885,-0.43845642049234856,-0.46830652790917693,-0.005368098159509116,0.07857142857142874,-0.26772793053545596,0.2088607594936709,-0.07242848447961048,-0.4494839147140812,0.0
61,0.04494937780711994,0.13713865698912886,-0.014087533971667288,-0.008113178540672727,-1.2357661871019419,-1.2357661871019419,-1.2413793103448276,-1.2241379310344829,1.6802584559157436,1.3095353653352273,-0.88040751925327,0.010749032525392055,0.07942973523421593,-0.09004739336492906,-0.14768683274021355,-0.013878180416345476,0.07947019867549665,0.9219367588932808,0.17277486910994777,-0.05643044619422566,-0.13493909949363625,0.0
60,0.08955734572897378,0.2165250616992247,-0.00422294720151295,0.10080043871531608,2.0481038669904725,2.0481038669904725,1.9999999999999996,2.1538461538461537,-0.4395515754249555,-3.605696676781868,-1.404066802827561,-0.004297137139149809,0.0575471698113208,-0.1796874999999999,-0.2275574112734864,-0.006254886630179701,0.07361963190184051,0.17634961439588692,0.14732142857142838,-0.08605702364395007,-0.2108843537414966,-0.12499999999999989
59,-0.09724985853965107,-0.22447052672124113,0.017548293324269215,0.5361567977435484,1.332624724532189,1.332624724532189,1.3095238095238098,1.3170731707317072,1.4610853983244283,-0.45232461194593676,94.38479009918115,-0.4116504424498014,-0.06958073148974142,0.16825396825396832,0.14324324324324333,0.016522423288748866,-0.06285714285714294,0.15428321678321688,0.13618677042801552,0.12706867034430291,0.005412991178828985,0.1428571428571428
58,-0.023579474199233674,-0.29775868914273995,0.16498289661458387,-0.2026169146369271,-1.492893360693718,-1.492893360693718,-1.4948453608247423,-1.5052631578947369,-0.6406339010025646,1.8998305473896235,-1.1444092494429863,0.10103879685840833,0.04889741131351877,0.06385869565217384,0.1063829787234043,0.04489164086687314,0.030487804878048808,-0.08973873532752752,0.11986301369863006,0.19308016877637124,0.033499501495513506,0.125
57,-0.09867537378387548,-0.3513328585423834,0.006066296339494626,0.1360883496199925,-2.0216853709025493,-2.0216853709025493,-1.9166666666666667,-1.8958333333333335,1.1143789841820073,-1.1654261169481528,-8.033713211677096,-0.6454612883603387,0.09597806215722127,0.27969348659003845,0.38247863247863223,0.005185185185185182,0.053254437869822535,-0.012479201331114798,0.11009174311926606,0.11628235959824584,0.21165348253907013,0.11111111111111116
56,0.10133883148491951,0.45625951314023805,0.006472101256840723,-0.03156619643883318,0.8645951383108579,0.8645951383108579,0.8636363636363635,0.8372093023255816,-3.1809039276904523,-4.27625584075279,-0.9011220847023309,-0.180013816554069,-0.046288573811509526,0.2954091816367266,0.40340030911901104,0.005158437730287346,-0.050561797752809,-0.26453243470935117,0.09917355371900838,-0.08617412241794453,0.26894904458598723,0.09999999999999987
