,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Asset turnover
44,-0.08492531082097232,-0.05528405337866238,-2.0654155081865926,0.0,29.809987819732033,23.027540360873694,10.926380368098162,10.926380368098162,-0.08912147161433559,-2.236360307579641,-2.4373384756073317,-1.7324581258488003,0.1521594379262048,-0.6334349151066608,-0.37370242214532867,-2.0654672663668165,0.0,0.0,0.0,0.0,0.0
43,-0.08492531082097232,-0.05528405337866238,-2.0654155081865926,0.0,29.809987819732033,23.027540360873694,10.926380368098162,10.926380368098162,-0.08912147161433559,-2.236360307579641,-2.4373384756073317,-1.7324581258488003,0.1521594379262048,-0.6334349151066608,-0.37370242214532867,-2.0654672663668165,0.0,0.0,0.0,0.0,0.0
42,0.057898531806710674,0.07763204537398094,1.2276911924610365,0.0,0.0,0.0,0.0,0.0,-0.08912147161433559,-2.236360307579641,-2.4373384756073317,-1.7324581258488003,-0.09673176564368269,-0.8562945368171021,-0.37370242214532867,1.226547842401501,0.0,0.0,0.0,0.0,0.0
41,0.11279808875356512,0.08094147005444641,-0.8013732062087143,-0.544595392793857,-0.6105554457402649,-0.5957076795383582,-0.838477366255144,-0.838477366255144,0.6915041782729805,0.13783772868624045,0.35278903472981016,-2.7362999587968684,0.18594184353351273,-0.23140495867768585,-0.37370242214532867,-0.8015588792921845,0.0,0.0,0.0,0.0,0.0
40,-0.05772216062094093,-0.07230119270733859,-2.333060288335518,8.688715953307392,-1.077860115724292,-0.9634372861472285,-0.964968152866242,-0.964968152866242,-1.7006998764923837,-1.6806038664489718,-1.695464583674137,-1.8414807783578548,-0.1319343676749637,-0.15053763440860213,-0.37370242214532867,-2.3322717622080678,0.0,0.0,0.0,-0.38095238095238093,0.0
39,-0.028789967387284454,-0.031517162901076645,0.2671746343861374,-0.5475234270414993,-7.534550195567145,15.858288770053477,16.636363636363637,16.636363636363637,0.12896592244418326,-0.30393213503459304,-0.4865337684866661,-2.263113367174281,0.19197634049119205,0.9240506329113924,-0.37370242214532867,0.26693227091633465,-0.7142857142857143,0.0,0.0,0.3076923076923077,0.0
38,-0.028637169816328356,-0.021937759505720078,-0.5851032877509457,-0.1952662721893491,1.3068635275339187,0.387787470261697,0.3917525773195878,0.3917525773195878,-1.2864949258391882,-0.1379801208730833,-0.3027457268016148,0.011721366376423292,0.1629449838187702,-0.052631578947368474,-0.37370242214532867,-6.968553459119497,-0.25,0.0,2.0,0.0,0.0
37,1.803819031960693,1.8310258271913944,-3.4810659186535764,0.0,-0.42155336446981495,-0.08799999999999997,-0.09259259259259256,-0.09259259259259256,-2.8728428701180744,0.7554538343424979,1.9521208885968875,-2.019309279488028,-0.1428195971120696,-0.08333333333333326,-0.37370242214532867,0.24067439409905145,0.0,0.0,0.0,0.0,0.0
36,-0.0070476779608593665,-0.010722834901412459,-0.8362540041454682,-0.8128676470588235,-0.29530502392344493,-0.24699248120300754,-0.24489795918367352,-0.24489795918367352,1.231328806983511,0.20938062152393844,0.1635207878374807,-0.3756224290972072,-0.10403102173324918,-0.21212121212121215,-0.03314917127071826,0.02242228639374888,0.0,0.0,0.0,0.0,0.0
35,-0.023402697416256224,-0.024101676790399873,-0.9666283084004603,2.208251473477407,-0.4672183322724379,-0.3228490597437178,-0.32432432432432434,-0.32432432432432434,-0.383394914149098,0.521110807860262,0.6265705507537449,2.772018030513176,-0.43796928155887027,-0.6730769230769231,-0.25714285714285723,0.0015783352716398635,0.0,0.0,0.0,0.0,0.0
34,-0.011775089241631842,-0.011624929875549861,5.913793103448276,0.0,-0.9549980087614496,-0.5782747603833867,-0.568,-0.568,-0.8727529080014099,0.2672808992796074,-0.025958944885014823,-1.4178884956565703,0.3256446991404012,0.17647058823529416,-0.5307692307692307,0.005556937878410828,0.0,0.0,0.0,0.0,0.0
33,-0.007456074419262659,-0.008178832728238827,-4.084788029925187,1.0134721371708513,-6.982300884955753,-0.4586247086247086,-0.462962962962963,-0.462962962962963,9.861495844875346,-0.3165793572136486,-0.22149114533422876,-1.2985041794984602,-0.07332756943693941,0.40000000000000013,-0.5245901639344264,-0.015176509402837213,0.0,0.0,0.0,0.0,0.0
32,-0.021880996883624992,-0.020682994314249026,-2.1948261924009698,-0.7858880778588808,-4.164201183431953,3.0430570505920347,3.0,3.0,-0.01224177505738333,-0.11660451626268908,0.027051126726435726,5.193809874723655,-0.49011604175170564,-0.2142857142857143,-0.3793103448275862,0.03492462311557776,0.0,0.0,0.0,0.0,0.0
31,-0.0106836020666774,-0.008622506170148148,3.053450608930988,0.0,1.067321178120617,0.6080937167199147,0.6034482758620692,0.6034482758620692,-0.5858507616834495,-0.04111018608632433,-0.21960817620746276,-1.0408090422367637,0.03922689844464777,-0.2727272727272727,0.5000000000000002,0.07461357934773805,0.0,0.0,0.0,0.0,0.0
30,-0.011563588689779136,-0.01421503750355202,-0.9756301118344183,0.0,-1.1399819086386251,-0.8279801324503311,-0.8279569892473119,-0.8279569892473119,-0.4251870324189526,0.34619758611834617,0.21823568534977933,13.96793002915452,0.5649829426653461,-0.28125,-0.11111111111111127,0.0017320581369080212,0.0,0.0,0.0,0.0,0.0
29,-0.015029694264573235,-0.015088280411034605,-0.8767123287671232,3.2386363636363633,-0.06785137318255252,0.1809432146294514,0.1875,0.1875,0.5227765726681128,-0.07382275997383914,0.2233030910643028,-2.935430463576159,-0.6987202025174039,0.3913043478260869,0.04166666666666674,-0.00030070666065273866,0.0,0.0,0.0,0.0,0.0
28,-0.02298358727228711,-0.02350538685801451,-61.333333333333336,0.21816353887399464,4.233968804159446,-1.9877750611246943,-1.973684210526316,-1.973684210526316,2.6766381766381766,0.2826080560214199,0.01693471169606786,-1.5340411613747296,1.2385342513712216,-0.09375000000000011,-0.96,-0.01255827944051724,0.0,0.0,0.0,0.0,0.0
27,-0.024116128314140783,-0.025978949753758473,3.5184162062615103,0.020357634112792233,-0.030463576158940353,-0.07673267326732669,-0.05405405405405406,-0.05405405405405406,-1.0761332816737699,-0.04689698415611432,0.0823778176740475,-2.074060114953359,-0.5942550307580023,-0.1724137931034483,-35.0,-0.044703373695834325,0.0,0.0,0.0,0.0,0.0
26,-0.013214460876081024,-0.01519539708768558,0.7988587731811698,-0.13723375572930707,0.5221994535519126,-3.840035746201966,-3.8000000000000003,-3.8000000000000003,-6.8346055979643765,0.09927553091629693,0.02160723632315764,-1.0640407053250285,0.09379416677373764,0.16666666666666674,0.5882352941176472,-0.04807079081632659,0.0,0.0,0.0,0.0,-0.5
25,-0.00526168727787335,-0.005862609785116768,0.1296023564064801,0.45843750000000005,0.027821404532196503,-0.2479546884833228,-0.24489795918367352,-0.24489795918367352,-0.14522459659834275,0.022953356152886073,-0.11313320825515949,25.328767123287673,2.257723481733819,2.035714285714285,0.37037037037037046,-0.014739134075873017,0.0,0.0,0.0,0.0,0.0
24,-0.005995798697171706,-0.004698857274876067,-0.2621602647678267,0.0332119134347546,0.08884523029906144,-1.2640167364016737,-1.2567567567567568,-1.2567567567567568,1.2698979591836737,-0.28154564004509064,-0.03162682462449762,-1.721436004162331,-0.4999819709371507,2.3294117647058825,0.14864864864864868,0.03416914577135577,0.0,0.0,0.0,0.0,0.0
23,0.007251267841005715,-0.006026035616462089,3.544787277422863,0.23703857320613864,5.1118684843624695,-0.9207606973058637,-0.8947368421052632,-0.8947368421052632,-0.3364801078894134,-0.1934359483614697,-0.25632903415535857,-0.6873647771527478,-0.3126126775798659,-0.5371024734982333,1.6470588235294117,-0.3297443905646421,0.0,0.0,0.0,0.0,0.0
22,-0.007934261284649913,0.0025031449704340236,-0.616132312477569,0.5981559094719195,-0.7174768746309781,-37.44,-29.000000000000004,-29.000000000000004,2.106707317073171,-0.14839758190615726,-0.13465449450897093,-1.4034602076124567,0.18348720100713378,0.7175572519083968,0.09777777777777774,0.38859595340282027,0.0,0.0,0.0,0.0,0.0
21,-0.022645787694278052,-0.019755522402425507,-0.4624853915075964,-0.3054652260568551,-0.5332636711947056,-0.7371020856201975,-0.7321428571428572,-0.7321428571428572,-0.5401810053429288,0.22331135785334255,0.16857292074683383,-1.383076043453402,-0.05939189788139354,0.9155555555555555,-0.004048582995951344,0.08062522077004597,0.0,0.0,0.0,0.0,0.0
20,-0.00256044897368668,-0.0012070160484560777,-0.37817074938396866,-0.6832804712279112,-0.6611940298507463,0.10229645093945727,0.06666666666666665,0.06666666666666665,0.6134692909651411,-0.5751885030845959,-0.45589434754918945,7.879104477611941,-0.5606446140797285,-0.023201856148491795,-0.06910569105691056,0.032769469641251936,0.0,0.0,0.0,0.0,0.0
19,0.0032171251652650668,0.002755803397743506,0.2088578088578088,1.1111111111111112,0.5279001468428781,0.3352272727272727,0.375,0.375,-0.9569370958259847,0.7207956600361665,0.039426670499815186,-2.9379727685325268,2.472972972972973,-0.15201900237529697,-0.6375545851528384,-0.010840322835891647,0.0,0.0,0.0,0.0,0.0
18,0.011834402616206496,0.013188374205646891,-0.4888160431932125,-0.7729839620510504,-0.8909178279673234,-0.11489361702127665,-0.13636363636363635,-0.13636363636363635,-9.290102389078498,-0.6305008568564685,-0.4924927891263977,-1.456500997484604,-0.3250571305046013,-0.44817927170868344,-0.5180722891566265,0.03119750419966394,0.0,0.0,0.0,0.0,0.0
17,0.0031168740385054683,0.0031751701590621018,-0.03960769520935492,0.4925373134328359,1.3083700440528636,-0.6442307692307692,-0.631578947368421,-0.631578947368421,0.4438040345821326,1.214482607744476,0.8539452684028184,-0.9010070302109063,-0.04767569546120054,0.36040609137055846,-0.44999999999999996,0.0012411760142734263,0.0,0.0,0.0,0.0,-1.0
16,-0.0021218454777943707,-0.00374950553011022,1.243912018853103,3.34,6.956106870229007,-2.153153153153153,-2.142857142857143,-2.142857142857143,-1.0667236954662105,0.3179285544930057,0.5093226388947214,8.493282149712092,-0.4752570385317575,-0.06343283582089565,0.6363636363636362,-0.03780894088479114,0.0,0.0,0.0,0.0,inf
15,0.007540583590334604,0.009835977770556337,-0.7726238403640819,0.0,-1.113936195730391,-2.85546875,-2.875,-2.875,-10.273504273504274,-0.3054285414449125,-0.37925517855403923,-0.9067933683784877,-0.08441677348470977,-0.10358565737051784,-0.36111111111111105,0.054674289395281406,0.0,0.0,0.0,0.0,0.0
