,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Asset turnover
14,0.01218206383109921,0.01135325124639941,1.2632794457274827,0.0,-5.543157894736842,-1.88,-5.6,-5.6,-3.0778801843317973,-0.6697388301316641,-0.5693731651016338,-2.2906724511930587,0.119,-0.057777777777777706,0.4347826086956521,-0.01923957856161229,0.0,0.0,0.0,0.0,0.0
13,-0.00853452833513757,-0.0075689195253919594,-0.6598639455782314,0.0,-1.1640407784986098,-1.8468899521531101,-1.1594202898550725,-1.1594202898550725,-1.906187624750499,2.787334161165937,1.7739266198282593,-0.05378151260504205,0.1006255585344058,-0.3584905660377359,-0.1515151515151515,-1.0119881675229643,0.0,-0.8235714285714286,0.0,-0.957983193277311,0.0
12,0.008804529988319487,0.008233321477567168,1.133,-0.751305683563748,-3.805084745762712,-1.1694915254237288,-1.1818181818181819,-1.1818181818181819,-3.013950073421439,-0.6285591026747196,-0.47895911896587307,2.520426287744227,0.3218577460214356,0.25735294117647056,-0.5714285714285714,1.1298701298701297,11.333333333333336,0.35627530364372473,0.0,1.2000000000000002,0.0
11,0.014510905707052268,0.0138325579145131,0.6455696202531647,1.7319332921556518,1.3454179254783485,-0.6833333333333333,-0.5,-0.5,-0.8894154818325435,0.19586527293844358,0.11086706034855243,-3.119071644803229,-0.5159705159705159,-0.01754385964912286,1.166666666666667,0.6463414634146343,-0.5405405405405406,0.11343283582089558,0.0,0.5454545454545452,0.0
10,0.004026275491722631,0.0032553714374337073,0.44586894586894577,0.0,1.081150708458566,18.57894736842105,57.99999999999999,57.99999999999999,-1.213186813186813,1.4867720756769356,0.7953713007682084,-3.006904761904762,2.139340101522843,0.892857142857143,0.5,0.18148148148148135,0.1568627450980391,0.39678284182305634,0.0,0.17647058823529416,0.0
9,0.004414404440894915,0.0055358442571251665,-0.44157635467980294,-0.05742708568844679,-0.5438415514751392,-1.0618279569892473,-1.0169491525423728,-1.0169491525423728,-1.2783505154639174,-0.4414953446228832,-0.32306053548538516,-1.2004982797484873,-0.13663190233648637,0.03144654088050314,0.33333333333333326,-0.3166144200626959,-0.13559322033898302,0.23416506717850294,0.0,-0.30000000000000004,0.0
8,-0.004699582937231939,-0.004583946382165971,-0.08750882145377559,-0.26001439194051335,-0.24739936680235186,13.0,9.0,9.0,22.25925925925926,0.18505776062208046,0.27046272836378193,1.3745562130177515,-0.3757842494615601,-0.23170731707317072,0.05769230769230771,-0.08715596330275233,0.13725490196078427,-0.35769828926905134,0.0,-0.07142857142857151,0.0
7,0.0039050662041955064,0.0025913647904063364,1.0301624129930396,1.905348460291734,1.8070913461538463,-1.065217391304348,-1.1,-1.1,2.624203821656051,0.0016994358817004063,-0.0453858426400201,-1.378021430351358,0.22757275727572757,0.011904761904761862,0.19999999999999996,1.0301507537688441,0.10344827586206917,0.2590799031476998,0.0,1.0,0.0
6,0.009415676510447835,0.012186198717689223,-1.0594285714285714,-0.462679906281379,-1.625347891243845,-140.04761904761904,-449.00000000000006,-449.00000000000006,-1.0878734622144113,-0.2722024552887674,-0.3002155077626776,-1.8800263678312459,-0.16314310155199807,0.1254901960784316,-0.5757575757575757,-1.2363861386138613,-0.4375,0.12692307692307692,0.0,0.0,0.0
5,-0.013315113456299654,-0.0145140111058647,-7.891025641025641,0.006436877076412051,-2.00171174255392,-2.0020547945205482,-1.2008928571428572,-1.2008928571428572,-12.6075,0.6842037102988312,0.8181446797812835,-0.10561797752808988,0.25832359813084116,-0.34843205574912894,0.1071428571428572,-2.7329842931937174,0.0,0.0,0.0,-0.5769230769230769,0.0
4,0.009517508923437168,0.008322390417817349,1.1325581395348836,-0.127707860532288,-0.144565960355434,-0.6862611073137389,-0.6888888888888889,-0.6888888888888889,-1.2474693086366573,-0.6479238754325259,-0.6710683236254904,0.5619765494137354,-0.21643263316699546,-0.2139037433155081,0.12903225806451624,1.129909365558912,0.22222222222222232,0.0,0.0,1.0,0.0
3,0.01064047583130412,0.01018630467020798,0.21243184296619422,-0.03453169347209084,0.08110267678785466,-0.8398692810457516,-0.8214285714285714,-0.8214285714285714,-0.47867711053089645,-0.23603603603603607,-0.3112815931900583,-1.1533512064343163,0.042357819905213256,0.12925170068027203,-0.25714285714285723,0.2127659574468086,-0.4545454545454546,0.0,0.0,0.2272727272727273,0.0
2,-0.00019239557693717657,0.0003328639223130203,-0.194639323619356,-0.410093091621754,-0.5934959349593496,-3.578231292517007,-3.1999999999999997,-3.1999999999999997,2.707846410684474,1.52437106918239,1.5074387731746395,-0.17832167832167833,0.033390167661267345,-0.2650602409638554,0.7307692307692306,-0.36140350877192984,-0.41666666666666663,0.0,0.0,-0.37037037037037046,0.0
1,0.014467344624005118,0.01440748320568086,0.04199240562876927,0.21179401993355484,0.27909090909090906,-0.3192612137203166,-0.2727272727272727,-0.2727272727272727,-2.9243583971184153,-1.0671838283174315,-0.9106952685227445,-5.4,-0.14216966863742608,0.6885245901639345,-0.1777777777777777,0.315018315018315,1.714285714285714,-0.6860068259385665,0.0,0.2941176470588236,0.0
0,0.015095271791818687,0.015051895326307907,0.03451232583065389,0.11343385880740242,0.07036247334754808,0.24031007751937983,0.25,0.25,-0.6874122601778194,-4.719342604298356,3.420442930153322,1.7195357833655707,-0.45071325532937967,0.30097087378640786,-0.1351351351351351,0.03342618384401108,-0.02631578947368418,9.402173913043478,0.0,0.045454545454545414,0.0
