,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
63,0.06283072636647269,0.06419294678066256,0.040316590845789646,0.07470854151796336,0.30499999999999994,0.30857966834895456,0.30434782608695676,0.2898550724637683,-1.017306245297216,0.6625656167979002,-2.1961236249345206,-0.6117568913982065,0.052588960367087934,0.24494010739363903,0.37525773195876266,0.3571428571428572,0.0386286817962338,0.24786324786324787,-0.016639477977161476,0.037117903930131035,-0.019748653500897606,0.3313343328335834,0.0
62,-0.012338603269611448,-0.013247873398945842,0.003034291961357294,-0.14235111799867173,-0.1089217296113848,-0.11019283746556474,-0.11111111111111105,-0.1235955056179775,-62.79503105590062,-1.1429699062654168,-3.2922834369799423,-5.1171941830624466,-0.2057013419950423,0.17219641672196406,0.5487256371814095,0.5,0.001394700139469851,0.12328767123287676,-0.15660252156602517,0.03578947368421059,0.0146520146520146,0.5225225225225223,0.0
61,-0.027485807997981615,-0.030739171078833283,0.026625442089107443,0.04130098089829626,0.144963144963145,0.1461300309597524,0.1625000000000001,0.1282051282051282,-2.1850939792944013,17.771566597653553,-0.9254136257689809,-1.349677955537087,0.09055690072639222,0.011038777243136177,0.47531461761858673,0.5087719298245614,0.01810584958217265,0.012195121951219523,-0.3493312352478364,0.03455284552845517,0.05776173285198549,0.48298816568047354,0.0
60,0.039130276866879754,0.038935755107222025,0.04218485938380212,0.11266732771442745,0.03540772532188852,0.03565640194489461,0.010752688172043001,0.045454545454545414,-0.645519698061999,-2.5424264705882353,-26.299180327868854,-1.5044563279857397,-0.04188869153345176,0.12178051511758126,0.04986876640419946,0.06976744186046502,0.03100775193798455,0.10240963855421703,-0.25211608222490933,0.03339882121807469,0.0034129692832765013,0.06134663341645874,0.0
59,0.02082818402203035,0.02502732487180892,-0.044905511319930924,-0.04210760833240501,-1.283937823834197,-1.2926447574334898,-1.2872340425531914,-1.2934782608695652,-0.46165809307333416,-0.2863135815416885,-0.21628462659970837,-5.836277974087161,0.2114424017714609,-0.03693536311454948,-0.334375,-0.3369565217391304,-0.05130473241928346,-0.06557377049180335,-0.101050929668553,0.032319391634980876,-0.06632653061224492,-0.3214285714285714,0.0
58,0.392174749896975,0.3378939703714068,1.3041074421540673,0.31829282474706355,-3.5875912408759123,-3.5044563279857397,-2.4814814814814814,-2.4444444444444446,5.296444444444444,-2.780308596620132,-1.4568379712167014,0.7754505601558694,0.30988310308182787,-0.018398548846851548,-0.2845070422535211,-0.1311475409836066,0.372027972027972,0.03508771929824572,0.474820143884892,0.03130755064456725,0.6775956284153006,-0.1364265927977839,0.0
57,0.0164949594587116,0.018379533146881233,-0.0018894126760696794,0.2513232180663374,0.17489421720733422,0.17651245551601424,0.17499999999999982,0.15384615384615374,-1.6842662525587633,-1.0841556297602521,-0.38860924155873533,-0.402880658436214,0.14126237222132088,0.013463569165786726,-0.23359580052493445,-0.13207547169811318,0.007135575942915473,-0.2655367231638418,0.21890243902439033,0.03035714285714275,-0.011943539630836053,-0.17882919005613473,0.0
56,0.018195754064815883,0.020321511608556442,-0.002962528276527876,-0.037927388086006375,0.3589435774309724,0.366606170598911,0.36170212765957466,0.3999999999999999,-1.6044460491025376,0.4850646455639769,-2.9358926919518966,-0.4429129336090053,0.06895473157415832,-0.036207345662933044,-0.09589041095890416,-0.021739130434782705,0.006747638326585648,-0.03846153846153855,0.24212106053026505,0.029462738301559988,-0.020879120879120916,-0.02734375000000011,0.0
55,-0.005959407793398097,-0.006586421737894477,0.0004271881526485277,-0.06624166483476224,-0.5609540636042403,-0.5613103142983621,-0.5625,-0.5555555555555556,0.7607304377506614,-2.070399279495647,-0.4696325321355187,-2.031340206185567,-0.0665283430425877,-0.0562162162162162,0.13636363636363624,0.22222222222222232,0.004021447721179738,-0.06400000000000006,0.17196939186467985,0.028619528619528545,0.008978675645342271,0.21987951807228923,0.0
54,0.027107027080560453,0.029083458267113782,0.007116762347582739,0.1351330142038767,1.5422535211267605,1.546922300706357,1.5714285714285712,1.5357142857142851,-0.9681593486478628,-2.6373580143037443,-0.06270835210379311,-0.17792882846861258,-0.05858885216003651,-0.008304696449026316,0.17499999999999982,0.1454545454545455,0.01101468624833113,-0.008547008547008517,-0.3199312714776633,0.02782324058919805,-0.020022246941045596,0.11028806584362139,0.25
53,-0.003400571721640211,-0.004710556496593132,0.010138031752013887,-0.05440718976840653,0.06766917293233088,0.06814580031695727,0.09722222222222232,0.07042253521126773,-5.222222222222222,-0.8512332990750258,-0.746227049889455,-2.767509727626459,0.11000121080033898,0.060929829627490495,0.13475177304964547,0.12698412698412698,0.014196104324859737,0.0431034482758621,-0.10308236483072253,0.027070063694267565,0.013620885357548351,0.1512231282431431,0.0
52,0.06200466744846711,0.06706230747317798,0.010502653645614757,0.1139055417458692,0.14195700518902887,0.14132047477744814,0.12658227848101267,0.13157894736842102,-7.900144196106705,18.862406447898675,19.386742424242424,-0.9358833241607044,0.006353967821107087,0.0,0.08874999999999988,0.08450704225352101,0.01497395833333326,-0.008264462809917328,-0.13014084507042256,0.02635658914728678,-0.0470324748040315,0.06567933032839668,0.0
51,0.04297476913990783,0.04495662885372265,0.02166388214552728,-0.019427671304804384,0.14897760467380716,0.1504712382190445,0.146067415730337,0.15116279069767447,0.8075858105637115,0.1495318976261557,0.40500919715352746,5.381974248927039,0.04029482697883635,0.1720195971692977,0.25832376578645233,0.23376623376623362,0.022450288646568284,0.1499999999999999,0.06865284974093266,0.025679758308157163,-0.021151586368977626,0.22658610271903323,0.0
50,0.00755119913313318,0.0058743942621355405,0.025992916772071828,0.0307898259705488,-0.06864406779661014,-0.06864406779661014,-0.06862745098039225,-0.07070707070707061,-1.369461545131362,-2.787720625315179,-2.150649968923154,-3.5904505716207127,-0.13946340192758533,0.02066883418485843,0.04653284671532831,0.03157894736842115,0.026976160602258492,0.0,-0.19757575757575752,0.025036818851251752,0.019207683073229287,0.04827586206896539,0.0
