,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/E ratio,Net margin,Asset turnover,Current ratio
15,0.20706065981523647,0.13529656615200536,0.04209264239406729,0.12569507640669864,-0.4214214057307668,-0.012994561237857027,0.3100022365834423,0.3100022365834423,0.318840579710145,0.3283582089552237,4.573972656711714,-1.2233227778186906,-1.5328541054976208,10.332912372183973,0.3461719853412393,0.0762514551804423,-0.017511520737327202,-0.42307692307692313,0.06452889944576401,0.04769475357710662,-0.05813953488372081,0.008538147222052928
14,-0.026630399213037226,-0.04293107751473213,0.011471019744820454,0.0460644039436342,0.38962516717115614,0.06805383890300809,-0.06034901065722553,-0.06034901065722553,-0.05494505494505497,-0.0561797752808989,-0.2708325970326494,-5.543116240725474,-52.486604598137944,-1.376193882576234,-0.09673933540641377,-0.07855597620335297,-0.0009380863039399889,0.43333333333333357,-0.13499442171811082,0.02427921092564489,-0.024691358024691357,-0.08508193747354409
13,0.014421406733436726,0.010435802876054279,-0.017155572845311662,-0.010060369745874986,-0.22935679002936815,-0.0207954104867486,0.02006311561633356,0.02006311561633356,0.03488372093023262,0.04761904761904767,-0.45658822674066357,0.5777019670465269,-0.9815849491095087,-1.7267923518676005,0.07783955601539572,-0.09801907556859879,0.0009389671361501595,-0.2325581395348838,-0.14187446259673264,0.026666666666666616,-0.025316455696202556,0.020687376074024932
12,-0.005056818595514545,-0.00022895538898615175,0.0006252267909321318,0.014035527944957993,0.05399139854189183,0.04200297298476263,-0.18664454194322566,-0.18664454194322566,-0.1797752808988764,-0.19318181818181823,-0.6377080471662772,-0.6300147221199852,18.549098196392787,-2.282233996397628,-0.09260054006220975,0.07906295754026349,-0.03470919324577859,0.06611570247933884,0.013026052104208263,-0.01443001443001446,-0.019480519480519543,-0.014051673897558792
11,0.0418906035583948,0.08476326419048208,0.004587857470561341,0.012285288648043347,-0.3160777331186202,-0.03574480911305855,0.14301686280385906,0.14301686280385906,0.1369863013698629,0.15492957746478875,5.406396179033925,0.3860979855757274,-1.25009738595592,-3.604308506275121,0.26577090335299114,0.10266847580280425,-0.03498542274052485,-0.6718346253229974,0.08951533135509404,-0.040995607613469986,0.0066225165562914245,0.07158807303296988
10,4.1365989456505785,0.2625173468445767,1.9325088363558898,0.6698066851528568,-28.54345440159269,0.5616558674248067,-2.7908578458559803,-2.7908578458559803,-1.891566265060241,-1.9024390243902438,0.7180139500028822,-82.3156006100296,-91.4150920195106,-1.0453792033638722,-0.009652990013036544,0.03609515996718615,-0.8610271903323263,-29.834645669291337,0.05855651384475702,-0.7450381679389313,-0.45394736842105265,-0.24393233635695022
9,-0.0011788004526593898,-0.06592747977225055,0.08381924198250723,-0.04029574861367835,-0.12301633267693735,-0.0068727655171852975,-1.4166807437188194,-1.4166807437188194,-1.4324324324324325,-1.4189189189189189,-0.8747352103665561,-1.1323882284800177,-0.9202124163080381,28.151483602290472,-0.28046744574290483,0.04143573502243347,-0.5289855072463768,-0.06034953577280178,1.0265866209262433,-0.35928143712574856,-0.2650602409638554,-0.02666990920881962
8,0.02827739224850112,0.04555662495989732,0.04670103863109909,0.024653312788905923,-0.0042266543389248845,0.02282515073212754,0.013513513513513598,0.013513513513513598,0.09375,0.09677419354838723,3.375,-0.16666666666666663,-0.8068181818181819,-1.119047619047619,0.04640371229698381,0.07627977698935617,-0.36923076923076914,0.011915140947399205,0.6339399068980109,-0.22429906542056066,-0.180327868852459,0.020404763887732047
7,0.03043797631071521,0.0714943234120895,0.06639063392347233,0.0725563909774436,-0.03647698633771057,0.0378947368421052,0.1200000000000001,0.1200000000000001,0.11428571428571432,0.11764705882352944,0.7795918367346939,0.6699999999999999,-3.735294117647059,4.025,0.22283813747228387,0.10313162232163897,-0.36585365853658547,-0.01263641585295805,0.6622636622636624,-0.3012048192771085,-0.12,-0.0009794319294810228
6,0.013232345734016437,-0.012027491408934665,-0.037086624715490735,0.017875920084122088,0.11632709251101314,0.04543610547667343,11.80952380952381,11.80952380952381,12.179487179487179,12.236842105263158,-0.4655963302752294,0.2455089820359282,-0.5161290322580645,-1.716417910447761,-0.13055303717135092,0.09359658484525069,21.846153846153847,0.13263525305410107,1.7527267061389837,22.17241379310345,0.0,-0.02941176470588236
5,0.021677952686659063,0.07942028985507243,0.027669632925472643,0.10158402203856753,0.01072881982981877,-0.005432673651532771,-0.9358736059479554,-0.9358736059479554,-0.9357976653696498,-0.9363817097415507,-0.2188841201716738,-0.7115384615384616,-1.911111111111111,-1.0069444444444444,0.0010427528675704956,-0.016882990143456622,-0.026936026936027035,0.01335387776065744,-0.9529631516386483,-0.02752976190476175,0.0,-0.0201178451178452
4,-0.02621045836023239,-0.03678839957035451,0.015559464213232399,-0.01031572366364486,-0.10151293313811616,0.0015606710885680553,-0.1159420289855072,-0.1159420289855072,-0.09090909090909094,-0.09375000000000011,0.7087912087912087,1.75,0.2682926829268293,-82.0,-0.08437499999999998,-0.01449275362318836,-0.01903114186851207,-0.07881398884946778,-0.01564380264741283,-0.029839326702371993,0.022727272727272707,-0.026715917876470985
3,-0.005657208521170354,0.030387510454418676,0.0017319477751132073,0.06759317751105498,-0.020233568712656136,0.01051811453058038,-0.016393442622950838,-0.016393442622950838,0.0,0.0,0.1061093247588425,-0.4484848484848485,2.8653846153846154,-0.3580246913580247,-0.059158134243458504,0.1577356970185333,-0.01940035273368612,-0.018982118294360473,0.1668704156479217,-0.030757097791798138,0.0,-0.0348631950573699
2,0.002266868166059144,0.04816017316017307,0.03703949993350175,0.04556213017751487,-0.06943866943866939,0.03623747108712405,0.1499999999999999,0.1499999999999999,0.13333333333333353,0.1724137931034484,0.21220930232558133,-0.02197802197802201,-0.2139303482587065,-2.230769230769231,0.07738814993954057,0.04567600487210721,-0.7949640287769784,-0.047111609646662944,0.06181246726034573,-0.7973962571196094,0.022222222222222143,0.0024691358024693244
1,0.024834804204177496,0.032266391326793986,0.04161590253286307,-0.009054895302773036,-0.014745308310991967,-0.0014880952380952328,-0.1594202898550725,-0.1594202898550725,-0.1470588235294119,-0.1470588235294119,-0.7290167865707434,0.7696629213483146,-2.443037974683544,-0.296875,0.05050505050505061,0.0522506032115817,-0.04385964912280704,-0.012948793407886905,4.0315737543167245,-0.056224899598393496,0.0,0.0416894727239554
0,-0.0017742005279328676,-0.005251312828207011,0.0026471312484610543,-0.001998857795545428,-0.013907785336356726,0.02086438152011927,0.034482758620689724,0.034482758620689724,0.06896551724137945,0.034482758620689724,2.4601769911504423,-0.38095238095238093,-1.8771929824561404,-0.9555555555555556,0.002136752136752129,0.1531588519016367,-0.00917431192660545,-0.007155635062611854,0.1817825276987941,-0.017021276595744705,0.021739130434782483,-0.0032402136789559943
