,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/E ratio,Net margin,Asset turnover,Current ratio
25,0.09126037157380074,0.16280895340525192,-0.08080688183515605,0.013698170522132846,-0.3966096158920569,0.054391902613926346,-0.20269514997205484,-0.20269514997205484,-0.26190476190476186,-0.2682926829268293,-2.2509087519806132,-0.13784052605404207,-5.114873818428104,-2.15862828932869,0.28930447970802975,0.020000000000000018,0.0250671441360788,-0.4579684763572679,-0.1365870786516854,0.1640926640926641,-0.016853932584269704,0.1471137521222412
24,0.09126037157380074,0.16280895340525192,-0.08080688183515605,0.013698170522132846,-0.3966096158920569,0.054391902613926346,-0.20269514997205484,-0.20269514997205484,-0.26190476190476186,-0.2682926829268293,-2.2509087519806132,-0.13784052605404207,-5.114873818428104,-2.15862828932869,0.28930447970802975,0.020000000000000018,0.0250671441360788,-0.4579684763572679,-0.1365870786516854,0.1640926640926641,-0.016853932584269704,0.1471137521222412
23,0.07320308726753266,0.025883885151685382,0.03132219305843931,0.07722121177628316,-0.10787561806284751,-0.07705683502099281,0.7334943012176443,0.7334943012176443,0.6774193548387097,0.6666666666666667,5.576484613665151,4.146354750841211,-1.010848951959753,-0.8174832038591179,0.04095458254940065,0.020000000000000018,0.0250671441360788,-0.1082390953150244,-0.1365870786516854,0.1640926640926641,-0.016853932584269704,-0.04765781099681787
22,0.07909019672972151,0.13306770495450104,0.050728574873389,0.11081076422586311,-0.06257874311590284,0.1533199703304542,0.09326184307088625,0.09326184307088625,0.09615384615384603,0.10000000000000009,0.22055674518201296,-0.9241307163495068,20.968997361477573,6.021552442888111,0.27625100457594587,-0.032531194295900234,0.0250671441360788,-0.0688405797101449,-0.1365870786516854,0.1640926640926641,-0.016853932584269704,0.02004817779159218
21,-0.0015993885477258996,0.0010957563597040476,-0.03022401629014626,-0.07135855225208754,-0.1617274461240641,-0.05172547555259088,0.23545125760315644,0.23545125760315644,0.21052631578947367,0.23636363636363633,-1.1319827346143136,0.14732435981615244,-1.0902867437321724,-1.2182588922598303,-0.047243244493621384,0.1545370796867802,0.0250671441360788,-0.16342412451361865,-0.1365870786516854,0.1640926640926641,-0.016853932584269704,0.07800716081359038
20,-0.027190704309622893,-0.042669753878695205,-0.005845778047653738,-0.01701155704857915,0.11095243031847768,0.025373017924128716,-0.056141401372764244,-0.056141401372764244,-0.04347826086956508,-0.05882352941176472,-3.3607975524844393,0.3612561699692396,-53.242434319920186,1.8538436428921168,-0.14151023562783505,-0.004388589666866283,0.0250671441360788,0.1348837209302325,-0.1365870786516854,0.1640926640926641,-0.016853932584269704,-0.026146562080418323
19,0.042998861559834234,0.03962874596384314,0.011860297362930927,0.05448391054350887,-0.1372216832462123,0.04399901568197584,0.08851033834586475,0.08851033834586475,0.10606060606060597,0.109375,1.0421842881401377,4.9340480319512325,-1.061804154227114,-1.081648604081477,0.013458649924269483,0.12121819274694468,0.0250671441360788,-0.1393442622950819,-0.03985359902399355,0.041459369817578695,0.017142857142857126,-0.01407735287714973
18,0.06409245778901518,0.10702552301837964,0.10071433924237705,0.031623656064705186,0.31291223084367825,0.007895522537309851,-0.04563213676689615,-0.04563213676689615,-0.04109589041095896,-0.028169014084507116,0.8669365426695843,-0.7592344955233398,0.4453599752806674,24.95423768386645,0.34467020343113686,-0.00035739814152968563,0.0250671441360788,0.3476190476190475,-0.08174502329521394,0.039808917197452276,-0.016853932584269704,0.0730845661293884
17,-0.020926955755767418,-0.022021515477267162,-0.04012275789282571,-0.10272640804402478,-0.13020746781883952,-0.04499719365482524,-0.022934431049691284,-0.022934431049691284,-0.014285714285714346,-0.014492753623188248,-1.2513390921131284,-0.32658991429727446,0.8771467255754293,-1.3971231176121337,-0.10179187832475167,0.13013943510904546,-0.024454148471615866,-0.13427561837455826,0.0719557195571956,-0.018376722817764035,-0.005714285714285672,0.08998628257887509
16,0.03248203158140939,0.05766041252644927,0.05053419652799529,0.025070852739121907,0.1459354950382683,0.07118914983975122,-0.016748072872057262,-0.016748072872057262,0.0,-0.014705882352941235,-1.789062985761363,0.48339523705483933,-1.374952547262926,-1.278026956620229,0.03150816103344001,0.0869977855109143,-0.02864816472694709,0.16734693877551,0.08691910499139421,-0.018720748829953338,-0.011494252873563204,0.031776994714321605
