,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Asset turnover,Current ratio
77,0.7183249821045097,0.7633136094674555,2.5140939597315435,-0.42434210526315785,0.06539775500244027,0.1839080459770115,-1.0367170626349893,-1.0367170626349893,-1.0173501577287065,-1.0173501577287065,-11.294117647058824,1.9221854304635762,12.16326530612245,-1.0069541029207232,-0.006203473945409432,0.17634357005758172,-0.08482142857142849,0.30107526881720426,0.04061556442972636,0.12975391498881428,0.0,-0.38001090809926374,0.0,2.0631105576311053
76,0.7183249821045097,0.7633136094674555,2.5140939597315435,-0.42434210526315785,0.06539775500244027,0.1839080459770115,-1.0367170626349893,-1.0367170626349893,-1.0173501577287065,-1.0173501577287065,-11.294117647058824,1.9221854304635762,12.16326530612245,-1.0069541029207232,-0.006203473945409432,0.17634357005758172,-0.08482142857142849,0.30107526881720426,0.04061556442972636,0.12975391498881428,0.0,-0.38001090809926374,0.0,2.0631105576311053
75,0.028535721724640695,-0.026329375322663884,0.05500381970970203,0.582857142857143,-0.0032065964269354374,0.029126213592232997,0.4411764705882353,0.4411764705882353,0.4545454545454546,0.4545454545454546,-1.8114285714285714,-0.8368271954674221,-1.001033591731266,28.6,-0.18476903870162298,0.17634357005758172,-0.08482142857142849,0.30107526881720426,-0.0052414825907899365,0.12975391498881428,0.0,-0.03078953155926989,0.0,-0.3848652262491473
74,0.11887403807209407,0.027836691410392467,0.21650977552498185,0.3357400722021662,-0.005055147058823484,-0.09433962264150941,-0.20408163265306123,-0.20408163265306123,11.937499999999998,11.937499999999998,0.3098591549295775,-0.00694444444444442,-244.5,-2.3175675675675675,0.29862174578866774,-0.06647136261657982,-0.08482142857142849,0.30107526881720426,-0.09559653744824992,-0.06138613861386133,0.0,-0.11073292489221687,0.0,-0.23050825053424684
73,0.2861538461538462,0.31699767861748773,0.03988095238095246,0.3405405405405406,0.6683602771362587,0.0625,1.6923076923076925,1.6923076923076925,-0.8405797101449275,-0.8405797101449275,-0.7043010752688172,4.370629370629371,2.082135523613963,-0.8974358974358975,0.01650943396226423,0.6767299594820053,-0.08482142857142849,0.30107526881720426,0.6618809821057012,0.852320675105485,0.0,0.29701454452666476,0.0,-0.01755993281417023
72,0.03433717984801565,-0.1276929103016059,0.0706926159129937,0.32258064516129026,-0.0008305647840531893,0.03921568627450989,-0.5809523809523809,-0.5809523809523809,-0.6060606060606061,-0.6060606060606061,0.8909090909090909,-0.8854166666666666,-0.9966688874083944,-4.35,-0.07772621809744784,0.3603411513859276,-0.08482142857142849,0.30107526881720426,-0.0029422812069612725,-0.18109339407744862,0.0,-0.03403501868975012,0.0,-0.3404569474665837
71,0.2020408163265306,0.1383026493039965,0.417802726543705,0.43140243902439024,-0.021612635078969267,0.26415094339622636,2.340909090909091,2.340909090909091,2.3076923076923075,2.3076923076923075,1.3942307692307692,0.8068181818181819,151.0,-11.313432835820896,0.869182389937107,-0.2660658307210032,0.2646341463414634,0.30107526881720426,-0.02498901236893336,-0.2642559109874827,0.0,-0.1859470468431772,-0.14285714285714302,-0.20475433015199718
70,0.007809847198641862,-0.2236686390532544,0.03676470588235303,0.19808306709265167,-0.035683942225998355,0.29104477611940305,0.2993197278911566,0.2993197278911566,0.3255813953488371,0.3255813953488371,-0.8795180722891567,1.4968553459119498,-0.3460526315789474,-1.3863965267727931,-0.17967698519515474,0.2079610844159696,0.32690453230472527,0.30107526881720426,-0.03767145340974942,0.24007561436672953,0.0,-0.043282461846384734,0.0,-0.35202059488091275
69,0.6132075471698113,1.060721544715447,0.5990180032733223,0.2373333333333334,0.6361233480176212,0.023121387283236983,0.418848167539267,0.418848167539267,0.35087719298245634,0.35087719298245634,4.033333333333333,4.285894206549118,9.798792756539235,-5.917602996254682,1.073010664479081,0.5027550509266989,0.17805232558139528,0.09421487603305789,0.5290417558886509,0.5609756097560976,0.0,0.01412133891213374,0.0,0.6654471660902621
68,0.02276524644945699,-0.15645419800271232,0.06607528716024103,0.3189655172413792,-0.045593250762879234,0.3220338983050848,0.03690036900368998,0.03690036900368998,0.0,0.0,1.0927152317880795,-0.6862044317369549,-0.9744736351779393,-1.6664127951256664,-0.3462603878116344,-0.19117647058823528,0.23195558297347318,0.14954682779456197,-0.04787746170678331,-0.470703125,0.0,-0.06678700361010825,0.0,-0.3604489522730784
