,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1993-12-31,0.005239178064364579,-0.011236774956923434,0.005552678380801313,-0.09183069613401762,-0.003761940992476065,0.12922998475585468,-4.68555396633293,-4.68555396633293,-4.777777777777779,-4.518518518518519,-1.5467571311784374,1.450339164584077,-1.2613834655779803,-1.6492594100054858,-0.32321701280650683,0.06545454545454543,0.2980251346499103,-0.03037383177570085,-0.006622516556291425,0.012886597938144506,-0.248181083265966,inf,-0.008542141230068356,0.3508771929824561,-0.014285714285714348,0.08873475245156648
1,1994-03-31,0.005239178064364579,-0.011236774956923434,0.005552678380801313,-0.09183069613401762,-0.003761940992476065,0.12922998475585468,-4.68555396633293,-4.68555396633293,-4.777777777777779,-4.518518518518519,-1.5467571311784374,1.450339164584077,-1.2613834655779803,-1.6492594100054858,-0.32321701280650683,0.06545454545454543,0.2980251346499103,-0.03037383177570085,-0.006622516556291425,0.012886597938144506,-0.248181083265966,inf,-0.008542141230068356,0.3508771929824561,-0.014285714285714348,0.08873475245156648
2,1994-06-30,0.06102586603876858,0.05940221639401511,0.052940226378605404,0.14285807167501785,0.09506006144661616,0.12922998475585468,-4.68555396633293,-4.68555396633293,-4.777777777777779,-4.518518518518519,-1.5467571311784374,1.450339164584077,-1.2613834655779803,-1.6492594100054858,0.3100723437341537,0.0068259385665530034,0.2980251346499103,-0.03037383177570085,0.0,0.012886597938144506,-0.248181083265966,1.0,0.03159103963239529,0.3508771929824561,-0.014285714285714348,-0.07304481546572937
3,1994-09-30,0.0067832682930624175,-0.01603582292580363,-0.04234054170740687,-0.07689575025015816,0.2250701406916293,-0.0068767962219954395,-0.4581766075586602,-0.4581766075586602,-0.4901960784313726,-0.4526315789473684,-1.1496987223679616,0.11070315004225306,-1.3968006046101524,-2.0011720134100144,-0.236960771032107,0.05423728813559303,0.2980251346499103,-0.03037383177570085,0.2266666666666668,0.05597964376590325,-0.248181083265966,0.5,0.21714922048997765,0.3508771929824561,-0.014285714285714348,0.0658845834814552
4,1994-12-31,0.15995119769002408,0.21949706265896166,0.20395339808296956,0.3603875783202657,0.0059328797629081284,0.2603072886324993,1.0697520661157025,1.0697520661157025,1.0384615384615383,0.8461538461538459,-27.826136363636362,1.2629866722636165,-17.145260618373438,-3.993847326581727,0.9297351222935212,0.032154340836012985,0.2980251346499103,-0.03037383177570085,0.016304347826086918,-0.15903614457831328,-0.248181083265966,0.25,-0.13266239707227812,0.3508771929824561,-0.014285714285714348,-0.1035019455252918
5,1995-03-31,0.038344382098896235,0.0283269920439968,0.030453053433264987,-0.06444090077628484,0.059953541877041376,-0.13587688723118407,-0.35734440717670235,-0.35734440717670235,-0.3584905660377359,-0.29166666666666663,-1.6893049117902141,-0.6273302726766834,-2.091512520447968,-1.5443302718923344,-0.2622551489369159,0.04049844236760114,0.2980251346499103,-0.03037383177570085,0.053475935828877,0.022922636103151817,-0.248181083265966,0.26666666666666683,0.02056962025316467,0.3508771929824561,-0.014285714285714348,0.09908234126984117
6,1995-06-30,0.0588951130650297,0.08940620270707499,0.06355319185320729,0.07115221446437969,0.03837771911243569,0.1438564675286269,0.7457957087233866,0.7457957087233866,0.7205882352941175,0.6764705882352939,-1.2903459518203224,0.8610670399751128,-0.9560949073406922,-1.659639158035416,0.2344899668034515,0.08233532934131738,0.0013831258644536606,-0.03037383177570085,0.04060913705583746,0.02801120448179284,-0.248181083265966,0.21052631578947367,-0.019121447028423774,0.02110389610389607,-0.014492753623188246,0.01703712061378759
7,1995-09-30,0.0678831451100641,0.08246103712652397,0.10498983815002873,0.0572966739097458,-0.07396229966023317,0.02210292392769353,-0.43820437990841576,-0.43820437990841576,-0.452991452991453,-0.4385964912280701,-0.9760939310221906,-0.797221850762236,0.4586854845326989,-0.7003748163906194,0.12207699745522582,0.0774550484094052,0.03913443830570906,-0.03037383177570085,-0.10731707317073158,0.03542234332425065,0.015053763440860068,0.21739130434782614,-0.13277133825079035,-0.014308426073131875,-0.014705882352941237,0.02385178611049477
8,1995-12-31,0.05339229048100669,0.08414492707367582,0.060577542550300574,0.1888456466134838,0.0007421547528752015,0.3650649287847847,1.1111580369963678,1.1111580369963678,0.0,-0.03125,205.82712022367195,2.4356607039815352,-19.204365190977107,5.824866875158483,0.3461676970169858,0.09756097560975617,0.09215773150199368,0.03855421686746974,0.010928961748633892,0.22894736842105254,0.05932203389830515,0.1428571428571428,-0.05042527339003644,0.0,0.04477611940298498,-0.08809188427782001
9,1996-03-31,0.0103252083453218,0.012130852526192505,0.015089972511924453,-0.06901892709687008,-0.01241688682101949,-0.22749673342425705,-0.3904136992878291,-0.3904136992878291,-0.359375,-0.3387096774193549,-1.8988196489362419,0.08824799654493988,-2.0003491760372536,-2.488104526596074,-0.3826668237796935,0.17894736842105252,0.05841784989858013,0.0,-0.016216216216216273,0.16702355460385454,0.08949999999999991,0.125,-0.022392834293026298,-0.001612903225806539,0.0,0.08709600760456282
