Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2000-12-31,0.0032638714536781244,0.007925072046109483,0.06272032902467695,0.1600158040300277,0.1465486725663716,0.1387347391786904,0.15625,0.15625,0.16666666666666674,0.13333333333333353,-0.1406685236768802,1.6896551724137931,-1.1352272727272728,-4.253731343283582,-0.1687657430730478,0.05900621118012417,-0.004804679339878937,0.17045454545454541,0.6452575064625172,0.05089921954530041,inf,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,-0.13110867979576957
2001-03-31,0.0032638714536781244,0.007925072046109483,0.06272032902467695,0.1600158040300277,0.1465486725663716,0.1387347391786904,0.15625,0.15625,0.16666666666666674,0.13333333333333353,-0.1406685236768802,1.6896551724137931,-1.1352272727272728,-4.253731343283582,-0.1687657430730478,0.05900621118012417,-0.004804679339878937,0.17045454545454541,0.6452575064625172,0.05089921954530041,inf,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,-0.13110867979576957
2001-06-30,0.1561561561561562,0.20764832022873492,-0.006910850034554272,-0.02043596730245234,-0.20808891633220128,0.1387347391786904,0.15625,0.15625,0.16666666666666674,0.13333333333333353,-0.1406685236768802,1.6896551724137931,-1.1352272727272728,-4.253731343283582,0.6606060606060606,0.1187683284457477,-0.004804679339878937,-0.21359223300970875,0.6452575064625172,0.05089921954530041,1.0,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,0.23284365162644294
2001-09-30,0.024891774891774965,0.0245634803196213,0.0704244954766875,0.178720445062587,0.15243664717348926,-0.0721247563352827,-0.10090090090090087,-0.10090090090090087,-0.08571428571428563,-0.08823529411764708,0.6985413290113451,-0.2948717948717948,-8.554621848739496,-0.8425076452599388,0.06265206812652058,0.10747051114023587,-0.004804679339878937,0.17283950617283939,0.6452575064625172,0.05089921954530041,0.7500000000000002,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,-0.13081964422504033
2001-12-31,0.06737064413938754,0.07221259387637202,0.052528929918086,0.05988200589970494,0.028755074424898552,0.1601890756302522,0.17835671342685377,0.17835671342685377,0.1875,0.19354838709677424,-0.35114503816793896,1.5090909090909093,-0.2547274749721913,-2.116504854368932,-0.06582713222667425,0.07337278106508882,-0.004804679339878937,0.03157894736842115,0.6452575064625172,0.05089921954530041,0.2857142857142856,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,0.01165295730513094
2002-03-31,0.048872180451127845,0.06869612068965525,-0.03471278567016678,-0.09657667687169491,-0.17362709634988494,0.04843820733363513,0.23469387755102034,0.23469387755102034,0.23684210526315774,0.2432432432432432,-0.44852941176470584,-0.782608695652174,-0.7104477611940299,-2.269565217391304,0.0894607843137254,0.07221609702315313,-0.004804679339878937,-0.173469387755102,0.6452575064625172,0.05089921954530041,0.22222222222222232,-0.3425238600212088,0.04844160720991364,-0.005780346820809301,0.1829445358629369
2002-06-30,0.2518392756083758,-0.21451978825308793,0.03186588175070382,0.0671595810227974,-0.4321528054118583,0.17227979274611394,0.08402203856749302,0.08402203856749302,0.08510638297872353,0.06521739130434767,1.1626666666666665,68.9,-2.3917525773195876,-7.801369863013699,-0.5584926884139483,0.1784061696658099,-0.004804679339878937,-0.4320987654320988,0.6452575064625172,0.05089921954530041,0.18181818181818188,-0.3425238600212088,0.018266475644699076,-0.023255813953488413,-0.26397185173062765
2002-09-30,-0.044002411091018656,-0.09563543003851094,0.010666005208979312,-0.0640877598152425,0.2648913805185704,-0.08545119705340698,-0.13850063532401524,-0.13850063532401524,-0.13725490196078427,-0.12244897959183676,0.5363748458692972,-0.9709108249880782,-5.707407407407407,-0.9133937562940584,-0.10955414012738851,0.018760907504362878,-0.004804679339878937,0.3043478260869563,0.6452575064625172,-0.07491120439134646,0.15384615384615374,-0.3425238600212088,0.005276116778051287,-0.005952380952380931,-0.03368538076709282
2002-12-31,-0.005674653215636871,-0.03371185237757279,0.17535893974720818,0.42504626773596543,0.8116343490304709,0.09504631494160298,0.029498525073746285,0.029498525073746285,0.045454545454545414,0.04651162790697683,-0.2648475120385233,-0.21311475409836067,-0.07867820613690013,2.488372093023256,-0.4291845493562232,-0.03340471092077091,-0.013434089000839644,0.8500000000000003,0.6452575064625172,-0.09982547993019197,0.13333333333333353,-0.3425238600212088,-0.012246326102169358,-0.005988023952095856,-0.3219052001840772
2003-03-31,0.08576410906785026,0.21593830334190223,-0.0010440593025683453,-0.021212121212121238,-0.1685015290519878,0.02317028319235015,0.316618911174785,0.316618911174785,0.34782608695652173,0.3555555555555554,-0.15829694323144106,-0.35416666666666663,-0.5029888983774551,-1.5966666666666667,0.4486215538847118,-0.011962782454585708,0.0036170212765958,-0.1711711711711712,0.6452575064625172,-0.05506010081426904,0.17647058823529416,-0.3425238600212088,0.020545518951470054,-0.012048192771084376,0.24228028503562937
