Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
1997-12-31,0.22697433204227657,0.22982058473241374,0.35194804476381725,0.0,0.13663663663663672,0.23758283577193096,0.3256387270282384,0.3256387270282384,0.3600000000000001,0.19999999999999996,0.8114945079329856,-0.9813280877810392,-1.1281230082855322,0.049718017215790944,0.29596767108846533,0.19599109131403125,0.014268727705113005,0.08560311284046684,0.1370143149284253,0.0,-0.07272727272727264,-0.07371569317382132,0.024276377217553824,0.04761904761904767,0.0
1998-03-31,0.22697433204227657,0.22982058473241374,0.35194804476381725,0.0,0.13663663663663672,0.23758283577193096,0.3256387270282384,0.3256387270282384,0.3600000000000001,0.19999999999999996,0.8114945079329856,-0.9813280877810392,-1.1281230082855322,0.049718017215790944,0.29596767108846533,0.19599109131403125,0.014268727705113005,0.08560311284046684,0.1370143149284253,0.0,-0.07272727272727264,-0.07371569317382132,0.024276377217553824,0.04761904761904767,0.0
1998-06-30,0.009955146553953353,0.14758989097497732,0.0024141444313052762,0.20403933032155197,0.020025065203400638,0.23758283577193096,0.3256387270282384,0.3256387270282384,0.3600000000000001,0.19999999999999996,0.8114945079329856,-0.9813280877810392,-1.1281230082855322,0.049718017215790944,0.23973020607375273,0.13687150837988837,0.014268727705113005,0.08560311284046684,0.021582733812949728,0.0,-0.07272727272727264,0.010066476733143537,0.024276377217553824,0.04761904761904767,0.172184473037444
1998-09-30,-0.015039811265113556,-0.06367138054470467,-0.05669781168489241,-0.10042376622230065,0.014215884864947403,-0.012264517725232404,-0.008622147083685583,-0.008622147083685583,-0.02941176470588236,0.0,-0.3685306547436761,0.283127572016461,0.9223977117273972,-1.9472642443093453,-0.18317521940016945,-0.30180180180180183,0.014268727705113005,0.08560311284046684,0.022007042253521236,-0.31818181818181823,-0.07272727272727264,0.029710417450169002,0.024276377217553824,0.04761904761904767,0.04085471139615193
1998-12-31,0.08525583563412087,0.392743447734508,0.15767677947839176,2.170764021787134,0.026952783516630996,0.43657410720675593,0.5876534788540246,0.5876534788540246,0.606060606060606,0.6000000000000001,-0.051988360814743007,2.0917254650416934,-0.2820545995600984,-0.08328358208955222,-0.2055761957358503,-0.13079178885630505,0.014268727705113005,0.08560311284046684,-0.22652885443583115,-0.1466666666666666,-0.07272727272727264,-0.053688823959094245,0.024276377217553824,0.04761904761904767,-0.5607429570163226
1999-03-31,0.08262215570247178,-0.11648975587354271,-0.21457326440674163,-0.4112540043641766,0.34789816836970555,-0.1515200577883502,-0.1896885069817401,-0.1896885069817401,-0.24528301886792447,-0.25,2.7789032126048703,12.845435684647303,-5.232113894395386,-3.784597850862911,0.7205814198441121,0.2834008097165992,0.014268727705113005,0.08560311284046684,0.3485523385300666,0.65625,-0.07272727272727264,0.24488614434581235,0.024276377217553824,0.04761904761904767,0.500606959805773
1999-06-30,0.05347693134029563,-0.05004134672179561,0.1129560359022681,0.12943248429408838,0.02240435219679493,0.15338999222041183,0.2612672322375398,0.2612672322375398,0.02499999999999991,0.13888888888888884,-0.4631108704480845,-0.3336330261481981,-0.6593212399931869,-1.508039525229492,-0.21276752044664282,0.003680336487907443,0.02579132473622492,0.08560311284046684,0.022295623451692892,-0.2547169811320755,-0.07272727272727264,-0.029452798015811577,0.03828623518687335,0.022727272727272707,-0.15891420610309648
1999-09-30,0.0009313522423428644,0.10990623523267096,-0.024771124727936633,0.1841645914306329,0.023676277683824187,0.08676839278669335,0.09889647924330003,0.09889647924330003,0.09756097560975618,0.09756097560975618,-0.07115481593545137,-1.0379131999100517,-2.0516217736391473,-1.3889975831511105,0.10513546300040444,-0.01728653745416442,0.044571428571428484,0.08560311284046684,0.03231017770597733,-0.03797468354430378,-0.08748114630467585,0.022680083053825184,0.03511852502194901,0.04444444444444429,-0.0626769970611809
1999-12-31,0.3155200083352989,2.3608994756420025,0.632368416437203,2.347071540880503,0.08024073350042138,2.3564845716962353,3.2724751338944147,3.2724751338944147,3.2666666666666666,3.2666666666666666,-0.2434442695043162,-3.0284697508896796,-1.469067569976823,4.428994082840236,0.5164794956232936,0.12686567164179108,0.7789934354485777,0.7562724014336917,0.11189358372456981,0.08552631578947367,0.02754820936639124,-0.17882242698734963,0.1806615776081424,0.4893617021276595,0.004104435070117596
2000-03-31,-0.09541147960614826,-0.5879246717138885,-0.1228581942620155,-0.5954468317488653,-0.015868665609452992,-0.5994864405656131,-0.690752803706937,-0.690752803706937,-0.6822916666666667,-0.6875,2.705489773950484,28.596491228070175,3.004687697960218,-1.9808719346049046,-0.33406336420497784,0.3084200567644275,0.058425584255842544,0.02857142857142847,-0.0049261083743842304,0.18181818181818188,-0.2916890080428953,0.08786610878661083,-0.002873563218390718,0.04285714285714293,0.01862155103894625
