Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
1996-03-31,0.18211964355322685,0.11386733875898436,0.20831957121091427,0.14815074071481504,0.11366282544865602,0.288172748984322,1.1944769482798971,1.1944769482798971,1.0909090909090908,1.1290322580645165,-2.0555836600480584,1.5296115707007067,-0.9835373251224718,-8.228878648233486,0.17297019149483583,0.07627458851866709,-0.000572737686139857,0.012698412698412653,0.011045029736618694,-0.13157894736842102,0.006329113924050667,1.0,-0.05780346820809257,-0.024809160305343525,0.09615384615384603,-0.029897285399853257
1996-06-30,0.18211964355322685,0.11386733875898436,0.20831957121091427,0.14815074071481504,0.11366282544865602,0.288172748984322,1.1944769482798971,1.1944769482798971,1.0909090909090908,1.1290322580645165,-2.0555836600480584,1.5296115707007067,-0.9835373251224718,-8.228878648233486,0.17297019149483583,0.07627458851866709,-0.000572737686139857,0.012698412698412653,0.011045029736618694,-0.13157894736842102,0.006329113924050667,1.0,-0.05780346820809257,-0.024809160305343525,0.09615384615384603,-0.029897285399853257
1996-09-30,-0.005779872516119555,-0.02967306748148213,-0.026410435955289246,0.0017361077509372436,0.05270664906053235,0.007145776927931724,-0.16553801855604133,-0.16553801855604133,-0.21739130434782594,-0.18181818181818177,-0.1783182571536972,5.705823749810495,246.24440298507463,-1.7611559711007225,-0.112242659731144,-0.12122342409548681,-0.000572737686139857,0.012698412698412653,0.05126050420168071,-0.13157894736842102,0.006329113924050667,0.5,0.05866564417177922,-0.024809160305343525,0.09615384615384603,-0.03132287136824863
1996-12-31,-0.18373376650923934,-0.07826612746090156,-0.28511288033448545,-0.3083177154780996,0.08207037197413092,0.17186287379491527,0.277612703281255,0.277612703281255,0.29629629629629606,0.40740740740740744,2.9581520814600597,-1.087249861123671,-1.6398662873614391,-6.921552205471803,0.4721329991881684,0.12733446519524616,-0.000572737686139857,0.012698412698412653,-0.008792965627497984,0.07070707070707072,0.006329113924050667,0.3333333333333335,0.3256066642520825,-0.024809160305343525,0.09615384615384603,0.33259596616785947
1997-03-31,0.2271117219639116,0.1794550421354253,0.25625360505445394,0.007718006447035464,0.17663247984612696,0.020674953844727062,-0.35663198959687903,-0.35663198959687903,-0.37142857142857133,-0.42105263157894735,-2.0405589596866287,-11.787710531186377,-3.642593487977169,-1.7580029230116447,-0.38549883712566235,0.08019578313253017,-0.000572737686139857,0.012698412698412653,0.17661290322580636,0.08962264150943389,0.006329113924050667,0.25,-0.040983606557376984,-0.024809160305343525,0.09615384615384603,0.170393516258178
1997-06-30,0.03214860504693484,0.043170026352517876,0.032807268568282755,0.11501509326222359,0.030930470347648287,0.23796123686515824,0.8947798033194698,0.8947798033194698,0.75,0.75,-1.316839745102667,-0.9559825687128984,-1.0548812052623124,-1.9622465480781193,0.6036521128409225,0.0641338445451376,-0.000572737686139857,0.012698412698412653,0.030157642220699055,-0.09523809523809534,0.006329113924050667,0.19999999999999996,-0.0014245014245015675,-0.024809160305343525,0.09615384615384603,-0.06440847655598214
1997-09-30,0.0018618153277649707,-0.004084145931871452,-0.024677948889966106,-0.05384344790981721,0.05103390589865375,-0.12894010083355123,-0.09364678852031916,-0.09364678852031916,-0.09090909090909094,-0.09090909090909094,-0.4024544675779359,-0.9413002806361085,0.22389819482842732,-0.860254670027794,0.05260340632603411,0.07795610874549608,0.006303724928366838,0.012698412698412653,0.044577511643379975,0.04784688995215314,0.030660377358490365,0.16666666666666674,0.049072753209700615,0.02544031311154593,0.05263157894736836,0.0525682182985554
1997-12-31,-0.024130694773966455,-0.045703076088317585,-0.04049496396776797,0.0910662627334855,0.004004475292235465,0.1700173139084009,0.1326784663437599,0.1326784663437599,0.25714285714285734,0.11428571428571432,4.724904166796522,73.75298804780877,3.613128259641896,-6.575855689176688,-0.2788128149415191,-0.11607414159829832,0.003416856492027165,0.012698412698412653,0.002547770700636942,-0.1552511415525114,-0.16857360793287557,0.1428571428571428,0.02882784878977418,-0.001908396946564972,0.016666666666666607,-0.12534417757444827
1998-03-31,0.06207791216757608,0.094763237695358,0.09543975940587979,-0.09151113786875376,0.007260992335619276,-0.210586135574376,-0.34657501398769086,-0.34657501398769086,-0.3977272727272727,-0.33333333333333337,-2.3413538746291405,-0.9200554282364227,-2.6310335640063656,1.0572376607216922,-0.7948717948717949,-0.011687865245788909,0.018161180476730987,0.021943573667711602,0.007623888182973326,-0.010810810810810811,-0.019266055045871644,0.125,-0.05154639175257736,0.042065009560229516,-0.016393442622950838,0.20500774893452167
1998-06-30,0.028524213249029984,0.037127789911042486,0.0751344688480502,0.08164347249834325,-0.05476571886263515,0.16336421952957947,-0.012232415902140636,-0.012232415902140636,0.0,0.0,-1.2402597402597402,4.111111111111111,-1.0675496688741721,-1.8508064516129032,3.296875,-0.13252173913043475,-0.09476031215161662,-0.10889570552147232,0.0,-0.14207650273224048,-0.15809167446211414,0.11111111111111116,-0.08082497212932005,-0.07706422018348624,-0.033333333333333326,-0.041155902093967356
