Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
1995-12-31,0.03274135788935184,,0.07730696334949672,,-0.032149559182806375,0.017310022503029154,-56.421052631578945,-56.421052631578945,-52.0,-52.0,-0.5824407374890255,-2.0380339844370337,-3.2259744925453564,-3.2965465465465464,-0.3344212904845594,0.08813928182807396,0.13677811550151997,0.32345013477088935,-0.0318518518518518,0.08108108108108114,-0.25379770285290837,inf,-0.0626614987080103,0.3658675799086759,-0.0625,
1996-03-31,0.03274135788935184,,0.07730696334949672,,-0.032149559182806375,0.017310022503029154,-56.421052631578945,-56.421052631578945,-52.0,-52.0,-0.5824407374890255,-2.0380339844370337,-3.2259744925453564,-3.2965465465465464,-0.3344212904845594,0.08813928182807396,0.13677811550151997,0.32345013477088935,-0.0318518518518518,0.08108108108108114,-0.25379770285290837,inf,-0.0626614987080103,0.3658675799086759,-0.0625,
1996-06-30,-0.032308399971693436,,-0.05562885914857396,,0.005999634168648349,0.017310022503029154,-56.421052631578945,-56.421052631578945,-52.0,-52.0,-0.5824407374890255,-2.0380339844370337,-3.2259744925453564,-3.2965465465465464,1.153904187099208,0.04700000000000015,0.13677811550151997,0.32345013477088935,0.006120887528691776,0.08108108108108114,-0.25379770285290837,1.0,0.039283252929014356,0.3658675799086759,-0.0625,
1996-09-30,0.20829356939401578,,-0.07846031016379162,,0.8513642920348619,0.09094776246384217,-0.2934472934472935,-0.2934472934472935,-0.47058823529411764,-0.47058823529411764,2.6883936080740116,-5.541191769295494,-5.125564880568109,-0.8273945733899968,0.09246935201401052,0.10458452722063027,0.13677811550151997,0.32345013477088935,0.31939163498098866,0.09999999999999987,-0.25379770285290837,0.5119047619047621,0.5324933687002653,0.3658675799086759,-0.0625,
1996-12-31,0.26242302280189445,,0.10977946967708063,,0.4588102034937014,0.13561569055603218,0.5891577060931901,0.5891577060931901,0.2222222222222221,0.2222222222222221,-0.624786227340098,-0.5602270621725874,0.2416477583913621,76.0094696969697,6.518275088169285,0.16731517509727634,0.13677811550151997,0.32345013477088935,0.10720461095100853,-0.11363636363636365,-0.25379770285290837,0.3464566929133859,0.15556036347901347,0.3658675799086759,-0.0625,
1997-03-31,0.30168466874733335,,0.4041020545757781,,0.25850624082726315,0.2739321521768987,0.3724274034395263,0.3724274034395263,0.15151515151515138,0.15151515151515138,2.8511090853843815,0.9871686839282978,-0.9177037713853619,-1.8357639999016255,-0.7245996716347897,0.09962962962962973,0.13677811550151997,0.32345013477088935,0.0733992712129099,-0.0064102564102563875,-0.25379770285290837,0.2573099415204678,-0.03313986144916692,0.3658675799086759,-0.0625,
1997-06-30,-0.021497931049722974,,-0.1378099016907175,,0.071325658692458,0.055468707886367374,0.2847165160230074,0.2847165160230074,0.10526315789473673,0.10526315789473673,-0.19685971279785386,-0.25093965035369403,5.813552833078101,-1.2033663890768913,0.5350727779498297,0.010778039744021584,-0.05481283422459904,0.32345013477088935,0.07032007759456826,-0.058064516129032295,-0.25379770285290837,0.20000000000000018,0.09488768396591807,0.07814458838278315,-0.06666666666666654,
1997-09-30,0.12502940595270573,,0.07297651150975115,,0.1643619925167441,0.12231869254341166,0.7535976974736169,0.7535976974736169,0.6904761904761905,0.6904761904761905,-0.21544356027114653,0.017214759919715883,-0.02531325504298476,-0.5444942844740269,-0.052756342361426345,0.09230256581139629,0.25742574257425743,0.32345013477088935,0.04893520616221103,0.020547945205479534,0.16236345580933453,0.17829457364341073,0.034842589317297445,0.3306201550387595,0.0,
1997-12-31,0.23594406062329587,,0.4174991121593197,,0.14047727279224875,0.11321956769055741,-0.3410230692076228,-0.3410230692076228,-0.3943661971830986,-0.14084507042253513,1.010894064613073,2.3587564190129267,1.9463292306805409,-5.605781448538755,-0.772003620680475,0.0726052471018912,-0.007874015748031593,-0.010183299389002087,0.036285097192224613,0.020134228187919545,-0.1836821870995301,0.14802631578947367,-0.0772517518372926,0.009903874162540127,0.0,
1998-03-31,0.14438947802960067,,0.15612643777844148,,-0.0005489891330233698,0.13788169889220447,0.09658226096582267,-0.024491490244914926,-0.023255813953488413,-0.3114754098360656,-0.14795441808331777,-0.2919751459235549,-0.20153203478873383,-1.0891095937650872,0.3017281644091545,-0.030432309442548156,-0.013605442176870874,-0.01851851851851849,-0.0008336807002917723,-0.06578947368421062,-0.15855572998430145,0.1289398280802292,-0.12669012780144484,-0.03201615229304877,0.0,
