Unnamed: 0,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,Equity to assets ratio,Asset turnover,Current ratio
0,1996-04-30,-0.051800819937661946,-0.051393526591259064,0.3517898764785801,0.4633547733107559,-0.08423431156975658,0.0,0.0,0.0,0.0,0.0,1.0171333013555517,-0.9656494885876618,-0.411217323619699,-0.77018675521805,-0.5025155386303236,-0.008928571428571397,-0.22510618216139688,0.011904761904761862,-0.08823529411764708,0.018404907975460242,-0.034140017286084616,0.4999999999999998,-0.35175893289100835
1,1996-07-31,-0.051800819937661946,-0.051393526591259064,0.3517898764785801,0.4633547733107559,-0.08423431156975658,0.0,0.0,0.0,0.0,0.0,1.0171333013555517,-0.9656494885876618,-0.411217323619699,-0.77018675521805,-0.5025155386303236,-0.008928571428571397,-0.22510618216139688,0.011904761904761862,-0.08823529411764708,0.018404907975460242,-0.034140017286084616,0.4999999999999998,-0.35175893289100835
2,1996-10-31,-0.10563968479484187,-0.11395903649519568,-0.29630276779519193,-0.2795756745946429,-0.08302221638863705,0.05582867226212263,0.3007536837001987,0.3007536837001987,0.22222222222222232,0.22222222222222232,1.0171333013555517,-0.9656494885876618,-0.411217323619699,-0.77018675521805,-0.2321373539346956,-0.07207207207207211,-0.22510618216139688,0.011904761904761862,-0.08064516129032262,0.018404907975460242,0.025279642058165568,0.4999999999999998,0.22988677314113914
3,1997-01-31,-0.06503964199210767,-0.07477768058464906,-0.1740299457925336,-0.13966474724242106,-0.0551178007582811,0.7736356852563351,-0.3431811410931725,-0.3431811410931725,-0.3636363636363635,-0.3636363636363635,-0.5173783995226702,-8.490961837357286,-1.4927215471911115,-1.611273899747012,0.1847980317101474,0.2961165048543688,-0.22510618216139688,0.011904761904761862,-0.05263157894736825,0.40963855421686746,0.010582587824569112,0.4999999999999998,0.07541870383855187
4,1997-04-30,-0.0894866022005043,-0.09605615897958476,0.25828689183851217,0.25888286594915266,-0.11716159545108328,-0.5681266272781895,0.8392324291355757,0.8392324291355757,0.857142857142857,0.857142857142857,0.7306251103834087,-0.8391087704164444,-1.244942871785596,-1.885198162457798,-0.1380681548394569,-0.01872659176029956,-0.22510618216139688,0.011904761904761862,-0.12962962962962976,0.03632478632478642,-0.030443700744899105,0.4999999999999998,-0.2819452505320178
5,1997-07-31,0.5578690667655393,0.6267015177595749,0.5218289727078744,0.5222108796140121,0.5619567328890545,0.5149647277815619,0.4334701073553642,0.4334701073553642,0.3076923076923077,0.3076923076923077,-0.05407251789807034,-0.7632846560846561,-1314.392123076923,-8.80076733121733,1.24956231493278,-0.07633587786259544,-0.22510618216139688,0.011904761904761862,0.27659574468085113,0.061855670103093015,0.0026723082062130032,0.4999999999999998,0.06864693137552047
6,1997-10-31,0.6075132805049315,0.6403426336417017,-0.029870832972614506,-0.029870832972614506,0.6779481287534788,3.3851285136379,-0.4225303960268469,-0.4225303960268469,-0.3529411764705883,-0.3529411764705883,-2.0189713498808106,-2.919688625038744,0.2562472408497887,0.5836241055059437,0.8796542287909417,0.30578512396694224,-0.22510618216139688,0.011904761904761862,0.6000000000000001,0.02330097087378636,0.043753470294281005,0.4999999999999998,0.6908418597810788
7,1998-01-31,-0.013606134324793628,-0.015101582545641644,-0.11228079014606017,-0.11228079014606017,-0.007301745368690438,-0.9222249046096179,0.7483668333745348,1.0336084330094255,0.5454545454545456,0.5454545454545456,-3.50209629397345,17.089992858695314,-0.7704746563149323,-1.240798906816272,-0.11269082016505738,-0.01898734177215189,0.05420219244823389,0.011904761904761862,-0.1562499999999999,-0.3870967741935484,0.006490052133205637,-0.3333333333333333,0.10946955106301016
8,1998-04-30,0.17556930797436432,0.15077383340522887,0.11035308388658248,0.11035308388658248,0.17929538123190314,-0.6862672380210362,0.09318148776702252,-0.013397684276212464,-0.11764705882352955,-0.11764705882352955,-0.3876389867410409,-0.988208870071353,1.9964422815677232,-2.9494749035358714,0.2475889247663592,0.09354838709677417,-0.10427498555748127,-0.1029411764705882,0.18518518518518512,0.2972136222910218,0.003171247357294016,-0.2500000000000001,0.036404260323219965
9,1998-07-31,-0.06937798715071597,-0.11435249360562028,0.2540534733599189,-0.10635153176458967,-0.08677667539545664,3.865231600592039,-0.8295698079567321,-0.7428674060692683,-0.8,-0.8,0.5240245421455012,-32.049113511310374,-1.1011658499068706,-1.4814907117989011,-0.09553983073628868,-0.1976401179941003,-0.2712028377942599,-0.3045537340619309,-0.09375,-0.32458233890214805,-0.01875658587987361,-0.2,-0.00895293361213323
10,1998-10-31,-0.0947606035404538,-0.1062103594080338,-0.11882556131260792,-0.12215220552593307,-0.09298290380199026,-0.4793559531052845,6.1221329036702326,3.4969166632878363,4.500000000000001,4.500000000000001,0.03159505331111112,0.6558744160839227,-0.8970780898551161,-0.4286296213184237,-0.060363705607921585,-0.2757352941176471,0.2464601769911505,0.2718700890518597,-0.09195402298850576,-0.20141342756183755,0.0019329896907216426,-0.75,0.018160307923804183
