Unnamed: 0,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1993-12-31,0.009215458474274518,0.07349254821514606,0.02158949410753319,0.05950014811384796,-0.05711201403193489,-0.02448877985687725,-1.5521979580260918,-1.6250993275377446,-1.625,-1.625,-0.2150580439249445,7.399949670762907,-1.2043162306134043,-1.3505661769574966,0.2892409871845503,-0.10042432814710044,-0.004716981132075415,0.03170028818443793,-0.06028169014084505,-0.08391608391608385,-0.06470070422535201,1.0,-0.06562703053931118,0.04580152671755733,-0.00961538461538458,0.013219284603421588
1,1994-03-31,0.009215458474274518,0.07349254821514606,0.02158949410753319,0.05950014811384796,-0.05711201403193489,-0.02448877985687725,-1.5521979580260918,-1.6250993275377446,-1.625,-1.625,-0.2150580439249445,7.399949670762907,-1.2043162306134043,-1.3505661769574966,0.2892409871845503,-0.10042432814710044,-0.004716981132075415,0.03170028818443793,-0.06028169014084505,-0.08391608391608385,-0.06470070422535201,1.0,-0.06562703053931118,0.04580152671755733,-0.00961538461538458,0.013219284603421588
2,1994-06-30,0.016127435500550742,0.16646839478675846,0.0408729342799663,0.16722205442304872,-0.1284054275328823,0.0,0.0,0.0,0.0,0.0,-0.2150580439249445,7.399949670762907,-1.2043162306134043,-1.3505661769574966,-0.07890696960392997,-0.14268867924528314,-0.004716981132075415,0.03170028818443793,-0.13129496402877694,-0.08391608391608385,-0.06470070422535201,0.0,-0.14255910987482612,0.04580152671755733,-0.00961538461538458,-0.0006578226071702886
3,1994-09-30,0.0036987222595830094,-0.008067018305926155,-0.01684903650624581,-0.06419683257918551,0.14042263122017729,0.07272512276705312,-3.388228345445674,-2.5557853395691232,-2.5476190476190474,-2.1523809523809523,-0.4839892722919956,-0.14120231675654082,-7.216393442622953,3.677352618417976,-0.3993855606758833,0.07473635946813406,-0.004716981132075415,0.03170028818443793,0.14078674948240175,0.23664122137404586,-0.06470070422535201,0.5999999999999999,0.13625304136253047,0.04580152671755733,-0.00961538461538458,0.06001097092704333
4,1994-12-31,-0.04656616415410386,-0.13669064748201445,-0.04973899340096522,-0.11000302206104562,-0.037059175134488975,-0.07538802660753885,-1.0967741935483872,-1.2439024390243902,-1.2430769230769232,-1.3264462809917354,-0.9828326180257512,-0.7577519379844961,-0.18987341772151894,-0.3980769230769231,-0.4002557544757033,0.021331058020477744,-0.004716981132075415,0.03170028818443793,-0.03690260133091361,-0.1049382716049384,-0.06470070422535201,0.25,0.009992862241256171,0.04580152671755733,-0.00961538461538458,-0.030014489753674163
5,1995-03-31,0.01001405481377371,0.01847826086956528,0.013577943615256991,0.0903225806451613,-0.009310986964618295,-0.005823912298732471,-0.3888888888888888,-0.17500000000000004,-0.16455696202531644,-0.16455696202531644,85.75,-2.056,-0.05208333333333337,-1.9488817891373797,0.6332622601279319,0.1929824561403508,-0.004716981132075415,0.03170028818443793,-0.012562814070351758,0.2344827586206897,-0.06470070422535201,0.30000000000000004,-0.019081272084805482,0.04580152671755733,-0.00961538461538458,-0.06594110115236884
6,1995-06-30,0.0560967124717342,0.07221629313411593,0.04264239697310557,0.0716287760822174,0.14473684210526305,0.10820124052377668,-23.818181818181817,-7.9393939393939394,-7.712121212121211,-4.424242424242424,0.5273775216138328,-0.8939393939393939,-0.5769230769230769,0.5723905723905724,0.6096605744125327,0.1698179271708682,-0.004716981132075415,0.03170028818443793,0.13613231552162852,0.1899441340782122,-0.06470070422535201,0.15384615384615374,0.08429394812680102,0.04580152671755733,-0.00961538461538458,0.0005711674663011479
7,1995-09-30,0.012023387960141685,0.04213669542136689,-0.006178893683797536,0.03894216797442596,0.10782703886152167,-0.008706467661691586,-0.1992031872509961,-0.2183406113537117,-0.2167042889390518,0.13716814159292046,-0.6245283018867924,-16.0,0.20779220779220786,-1.222698072805139,-0.08434712084347118,0.0981741993415146,-0.004716981132075415,0.03170028818443793,0.10750279955207187,-0.03755868544600938,-0.06470070422535201,0.13333333333333353,0.09435215946843868,0.04580152671755733,-0.00961538461538458,0.0030825436693686648
8,1995-12-31,-0.023679713564976786,-0.12543775867558105,-0.03523142208625285,-0.06769230769230772,0.027173913043478267,-0.07653701380175659,-0.6517412935323383,-0.7318435754189945,-0.7319884726224783,-0.6381322957198443,-0.42713567839195976,0.2142857142857142,0.15053763440860224,1.3846153846153846,-0.21966341895482733,-0.021259198691741643,0.18378093733543954,0.1899441340782122,0.026794742163801732,-0.1121951219512194,-0.06470070422535201,0.17647058823529416,0.0522161505768064,0.25912408759124084,-0.009708737864077666,-0.06191668563623943
9,1996-03-31,0.009418236372728872,0.1401528940662542,0.03713175122749601,0.12091209120912084,-0.11784511784511785,0.006793478260869622,-4.942857142857143,-7.208333333333332,-7.204301075268817,-7.204301075268817,2.0350877192982457,-0.8235294117647058,0.17757009345794386,-1.7056451612903225,0.19863791146424514,0.0398217766638822,-0.6379003558718861,-0.5234741784037559,-0.12161496799606095,0.01098901098901095,-0.3110588235294117,0.09999999999999988,-0.12637045585689555,-0.6289855072463768,-0.009803921568627416,0.017107498180053415
