Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
0,1996-03-31,0.033283154269688316,0.034982557323224084,-0.002501705708437552,-0.0768761439902379,0.4895833333333333,0.4895833333333333,0.4878048780487805,-0.5520361990950227,-1.352189781021898,-1.67203513909224,-2.375,-0.9833333333333332,0.006451612903225712,-0.005191693290734767,44.714285714285715,-0.01818181818181808,-0.0031982942430704986,0.11278195488721796,-0.9824354792472126,1.0,-0.03311258278145701,49.57142857142858,-0.08333333333333326
1,1996-06-30,0.033283154269688316,0.034982557323224084,-0.002501705708437552,-0.0768761439902379,0.4895833333333333,0.4895833333333333,0.4878048780487805,-0.5520361990950227,-1.352189781021898,-1.67203513909224,-2.375,-0.9833333333333332,0.006451612903225712,-0.005191693290734767,44.714285714285715,-0.01818181818181808,-0.0031982942430704986,0.11278195488721796,-0.9824354792472126,1.0,-0.03311258278145701,49.57142857142858,-0.08333333333333326
2,1996-09-30,0.037988704173069536,0.04304587385732761,-0.0725034199726402,-0.0627891606080635,-4.797202797202797,-4.797202797202797,-4.795081967213116,-0.5520361990950227,-2.010362694300518,-1.0849673202614378,-0.4204545454545454,3.0,0.02564102564102555,0.10798875953432363,44.714285714285715,-0.01818181818181808,-0.07379679144385021,0.11278195488721796,-0.9824354792472126,0.4999999999999998,-0.10730593607305927,49.57142857142858,-0.08333333333333326
3,1996-12-31,0.04632718393401336,0.04369053455123906,0.11111111111111116,0.17524682651621992,-1.3775322283609577,-1.3775322283609577,-1.3758099352051836,-0.5520361990950227,1.2769230769230768,18.7948717948718,-2.8562091503267966,-13.0,-0.30000000000000004,0.16521739130434754,44.714285714285715,-0.01818181818181808,0.10739030023094688,0.2567567567567568,-0.9824354792472126,0.3333333333333335,0.0613810741687979,49.57142857142858,-0.08333333333333326
4,1997-03-31,0.0246416758544652,0.027041794478527503,-0.030752212389380525,-0.06450645064506455,-0.004878048780487809,-0.004878048780487809,-0.005747126436781658,-0.5520361990950227,0.2072072072072073,0.016839378238342032,0.0035211267605634866,-1.7083333333333337,0.3035714285714286,0.1377487562189057,44.714285714285715,-0.01818181818181808,-0.031803962460896784,0.026881720430107503,-0.9824354792472126,0.25,-0.053012048192771055,49.57142857142858,-0.08333333333333326
5,1997-06-30,0.08603683578128085,0.07742134196992745,0.22278018717187864,0.007697241821680524,1.8137254901960784,1.8137254901960784,1.8092485549132948,-0.5520361990950227,-0.42910447761194026,-0.21401273885350314,0.05964912280701753,-1.3235294117647058,-0.07534246575342463,0.05821262640065573,44.714285714285715,-0.01818181818181808,0.21970920840064606,0.09424083769633508,-0.9824354792472126,0.2,0.12468193384223912,49.57142857142858,-0.08333333333333326
6,1997-09-30,0.04717752256082952,0.04516788523510873,0.0841889117043122,0.052196053469127916,-0.4790940766550522,-0.4790940766550522,-0.4794238683127573,-0.5520361990950227,0.4607843137254901,-0.520259319286872,-1.3576158940397351,-4.909090909090909,0.3185185185185184,0.08316115702479343,1.6625,-0.01818181818181808,0.0860927152317883,-0.1148325358851674,-0.9824354792472126,0.16666666666666674,0.03619909502262431,1.8079096045197736,0.0
7,1997-12-31,0.03872870197349232,0.03821798590965608,0.047692837465564734,0.13097398669086502,-0.14715719063545152,-0.14715719063545152,-0.14229249011857706,-0.5520361990950227,0.6912751677852349,0.8547297297297298,1.2222222222222223,-1.8837209302325584,-0.2134831460674157,0.031235097758703038,-0.03638497652582162,-0.01818181818181808,0.04959349593495932,-0.04864864864864872,-0.6484340538156154,0.14285714285714302,0.008733624454148492,0.007042253521126751,0.0
8,1998-03-31,0.0733853032039653,0.07502734290800818,0.042070665571076526,-0.002941963091735777,0.03529411764705892,0.03529411764705892,0.032258064516129226,-0.5520361990950227,-0.7671957671957672,-0.15482695810564662,-1.925,0.6842105263157894,-0.4571428571428572,0.14820809248554911,-0.04181892001624032,-0.009259259259259413,0.0422153369481022,0.09090909090909084,0.10414052697616084,0.13124999999999987,-0.03030303030303028,-0.0009990009990008544,0.0
9,1998-06-30,0.025012198485266257,0.025338076177604085,0.01513956789149984,-0.06303648068669533,-0.10606060606060608,-0.10606060606060608,-0.5535714285714286,-0.5520361990950227,-0.2784090909090909,-0.9375,-1.135135135135135,-2.046875,0.8815789473684209,0.10632299637535247,-0.2758474576271186,-0.28037383177570085,0.024526198439241968,0.0625,0.06136363636363629,0.11602209944751385,-0.008928571428571397,-0.2610000000000001,-0.09090909090909084
10,1998-09-30,-0.026795816430719932,-0.02797111630972471,-0.007767593599502853,0.042084168336673285,-0.09322033898305082,-0.09322033898305082,-0.07999999999999996,-0.08080808080808077,2.779527559055118,-4.413793103448277,18.6,-1.1194029850746268,-0.05594405594405594,-0.05060065526028401,-0.10181392627267404,-0.10389610389610393,0.016322089227421174,-0.07352941176470595,0.2558886509635976,0.10396039603960404,0.020270270270270167,-0.10148849797022996,0.0
11,1998-12-31,0.06782736913741272,0.07104590601226435,0.0056364490371065825,0.14313186813186807,0.4065420560747664,0.4065420560747664,0.44565217391304346,0.4285714285714286,-0.7416666666666667,7.131313131313133,0.6054421768707483,0.5,-0.0888888888888889,-0.08032975460122692,0.03387622149837144,0.014492753623188468,0.010706638115631772,-0.09523809523809523,0.0,0.09865470852017943,-0.05960264900662249,0.018072289156626287,0.0
12,1999-03-31,0.0021774921663391122,0.002970558771148601,-0.014479215319944004,-0.20716173996635426,-0.2093023255813954,-0.2093023255813954,-0.21052631578947367,-0.2,-1.9516129032258065,2.0683229813664594,1.5042372881355934,0.25,-0.12195121951219512,0.1165311653116532,-0.025204788909892858,-0.042857142857142816,-0.01518361581920902,0.10526315789473673,0.06052855924978684,0.0897959183673469,-0.016431924882629127,0.002958579881656931,0.0
13,1999-06-30,0.041752782193958726,0.0462090156827657,-0.05260663507109009,0.015156107911488359,-0.09663865546218486,-0.09663865546218486,-0.09523809523809534,-0.10576923076923073,-2.898305084745763,-0.9825910931174088,-0.926818950930626,-7.2,0.8611111111111112,0.1405899925317402,-0.004524886877828149,-0.029850746268656806,-0.04876299749013978,0.15873015873015886,0.15836012861736348,0.08614232209737828,-0.09069212410501193,-0.011799410029498471,0.0
14,1999-09-30,-0.0235910544756236,-0.02311165328542164,-0.03735200933800231,0.02836667661988645,-0.1348837209302326,-0.1348837209302326,-0.12631578947368416,-0.11827956989247325,0.46875,1.5581395348837208,1.919075144508671,-1.7096774193548387,-0.32835820895522383,-0.15845473890980533,-0.0045454545454546285,-0.061538461538461424,-0.01809272521673577,-0.11415525114155255,-0.14642609299097842,0.07931034482758625,-0.013123359580052507,-0.0149253731343284,-0.10000000000000007
15,1999-12-31,0.08790450202861555,0.09371755108689016,-0.053178589987874614,-0.002322880371660841,0.1989247311827957,0.1989247311827957,0.20481927710843384,0.2195121951219512,0.3860182370820669,-4.127272727272727,-0.8772277227722772,-1.7121212121212122,0.3481481481481481,-0.11729235557284567,-0.045662100456620884,-0.09836065573770504,-0.022264875239923262,-0.1030927835051546,-0.09756097560975616,0.07667731629392982,-0.13031914893617025,-0.034848484848484795,0.0
16,2000-03-31,0.03202614770339607,0.03172702226414148,0.03823637028905957,0.01833527357392306,0.06726457399103136,0.06726457399103136,0.10000000000000007,0.10000000000000007,-0.3004385964912281,-3.796511627906977,19.06451612903226,-0.276595744680851,0.1868131868131868,-0.09519612163948876,0.028708133971291794,-0.036363636363636265,0.03690616411464465,-0.07471264367816087,-0.024324324324324298,0.07121661721068251,0.006116207951070375,-0.014128728414442904,-0.11111111111111104
17,2000-06-30,-0.002877013474399837,-0.003921356356266004,0.1080176211453745,0.004286939125464517,-0.10504201680672264,-0.10504201680672264,-0.10909090909090913,-0.11818181818181828,0.8119122257053291,-2.823284823284824,-1.9437299035369773,-1.1176470588235294,-0.01851851851851849,0.31831466147101795,-0.0146179401993356,-0.018867924528301886,0.06134040136312002,0.2732919254658384,0.29824561403508776,0.06648199445983383,0.11246200607902734,-0.014331210191082744,0.0
