Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
0,1993-12-31,0.046833580660299516,0.04869098959426421,0.0193406152921134,-0.011178861788617931,0.04796163069544357,0.050724637681159424,0.039473684210526334,0.039735099337748325,-0.6259414225941422,-0.7478236049664622,-1.1788824383164005,-1.892249527410208,0.06915936723754745,-0.0253682487725041,-0.011349306431273631,0.040404040404040435,0.005428881650379802,0.06976744186046502,0.10188679245283017,inf,-0.026856240126382214,0.007434944237918238,0.0
1,1994-03-31,0.046833580660299516,0.04869098959426421,0.0193406152921134,-0.011178861788617931,0.04796163069544357,0.050724637681159424,0.039473684210526334,0.039735099337748325,-0.6259414225941422,-0.7478236049664622,-1.1788824383164005,-1.892249527410208,0.06915936723754745,-0.0253682487725041,-0.011349306431273631,0.040404040404040435,0.005428881650379802,0.06976744186046502,0.10188679245283017,inf,-0.026856240126382214,0.007434944237918238,0.0
2,1994-06-30,-0.004077033518910089,-0.006287968289014123,0.029591034211561063,-0.011178861788617931,0.04796163069544357,0.050724637681159424,0.039473684210526334,0.039735099337748325,-0.6259414225941422,-0.7478236049664622,-1.1788824383164005,-1.892249527410208,-0.057715822939593986,0.06968933669185562,-0.011349306431273631,0.040404040404040435,0.02267818574514057,0.06976744186046502,0.10188679245283017,0.9166666666666669,0.03409090909090917,0.007434944237918238,0.0
3,1994-09-30,0.03962335308215437,0.040786097125223415,0.02253413539577953,0.004624871531346386,-0.01372997711670476,-0.016091954022988464,-0.01898734177215189,-0.019108280254777062,0.7863534675615214,0.22071307300509346,-1.3022312373225151,-3.51271186440678,0.15390604723592016,0.011773940345368937,-0.011349306431273631,0.040404040404040435,0.02534318901795141,-0.014492753623188246,0.10188679245283017,0.5217391304347825,-0.015698587127158548,0.007434944237918238,0.0
4,1994-12-31,-0.007653061224489831,-0.010049749380473538,0.028200578952283232,-0.00818414322250638,-0.06032482598607891,-0.05841121495327106,-0.05161290322580647,-0.06493506493506496,-1.2016280525986225,-1.8942976356050067,-4.9932885906040285,-0.418212478920742,0.07759784075573539,-0.08688906128782004,-0.011349306431273631,0.040404040404040435,0.025746652935118464,-0.11029411764705888,0.10188679245283017,0.34285714285714297,0.0350877192982455,0.007434944237918238,0.0
5,1995-03-31,0.08401924482913148,0.08774031640740754,0.03042412133321215,0.048478597215059205,0.09382716049382722,0.09429280397022333,0.08843537414965996,0.09722222222222232,3.5574534161490687,-5.1684810782789015,-16.746218487394955,-3.3289855072463768,-0.16771029012732208,0.02293967714528456,-0.011349306431273631,0.040404040404040435,0.049196787148594316,0.0,0.10188679245283017,0.2553191489361701,-0.04930662557781207,0.007434944237918238,0.0
6,1995-06-30,0.001816658870625653,0.0010202425394765235,0.01392561255067859,0.016232169208066916,0.05417607223476306,0.054421768707483054,0.06874999999999988,0.07594936708860756,-1.3901192504258943,-0.744434771794553,-0.8994556516170349,-1.019912881144991,0.0040125391849530345,0.11461794019933567,-0.005739795918367263,0.040404040404040435,0.019138755980861344,0.057851239669421524,0.10188679245283017,0.22033898305084754,0.01296596434359798,0.0023062730627305683,0.0
7,1995-09-30,-0.011129932460312242,-0.014402029139931938,0.03798678720445059,0.048886737657308776,0.13490364025695922,0.13548387096774195,0.14035087719298245,0.1352941176470588,-2.981659388646288,-3.0773722627737228,-3.781316348195329,-20.375,-0.07743224678406391,0.14232488822652756,0.02886465683130202,0.040404040404040435,0.034741784037558565,0.125,0.11872146118721473,0.16666666666666674,0.04960000000000009,0.030372756557754288,0.0
8,1995-12-31,0.028330167235832263,0.02526484015581953,0.07202076877983421,0.042455006922011984,-0.03773584905660377,-0.03787878787878785,-0.02051282051282055,-0.031088082901554293,-0.614808285588365,-1.0831576481611618,-1.8740458015267176,-2.7112903225806453,0.14363070258562338,0.13111545988258322,0.017456359102244526,0.029126213592232997,-0.033575317604355615,0.0902777777777779,0.06428571428571428,0.1785714285714286,0.041158536585365724,0.017418490397498987,0.0
9,1996-03-31,0.03778470672404399,0.03622411846621998,0.059057886102648276,0.08100929614873831,0.00588235294117645,0.0019685039370078705,-0.10994764397905754,-0.1069518716577541,4.183066361556064,-12.887323943661974,-1.293886462882096,-1.9264844486333648,-0.11635890151515148,0.05017301038062283,-0.011029411764706063,0.018867924528301886,0.06291079812206579,0.08917197452229297,-0.0134228187919464,0.15151515151515138,0.020497803806734938,-0.012291483757682187,0.0
10,1996-06-30,-0.010634083601286148,-0.014019621940293605,0.03452091170612959,0.025389025389025432,0.1793372319688109,0.1807465618860511,0.17647058823529416,0.18562874251497008,-2.011699779249448,-0.22582938388625595,10.527488855869242,-1.093591047812818,0.012324179504353605,0.09445359692476664,0.016728624535315983,0.05555555555555558,0.06360424028268552,0.029239766081871288,0.08066083576287664,0.1228070175438598,0.04591104734576778,0.017777777777777892,0.0
11,1996-09-30,-0.024112361420221773,-0.021965077993975846,-0.05140819964349375,-0.009185303514376963,0.03305785123966931,0.03494176372712143,0.06000000000000005,0.05555555555555558,-0.7130700414575606,1.0697887970615243,-0.12761020881670534,13.228260869565215,0.17321688500727794,0.06924234821876563,0.01706276660572814,0.0350877192982455,-0.03903654485049824,0.005681818181818121,0.02877697841726623,0.1171875,-0.027434842249657088,0.010043668122270644,0.0
12,1996-12-31,-0.010001545257391942,-0.013087338773965285,0.030441972339146032,0.027005239822652127,0.0112000000000001,0.009646302250803762,-0.5377358490566038,-0.5454545454545454,-0.6684410646387833,-0.7596864832889678,-0.7053782505910166,-0.9488158899923606,0.007556959169862321,0.12388549976536845,0.03594967046135422,0.05932203389830515,-0.20138288677614524,0.1694915254237288,0.10052447552447563,0.1118881118881121,0.04090267983074747,0.022913964548205712,0.0
13,1997-03-31,0.28614487012497714,0.2685533312026034,0.5069662265664892,0.20211930926216648,0.12183544303797468,0.1226114649681529,-0.010204081632653073,-0.010526315789473715,-10.541284403669724,0.5003076923076923,-2.9042126379137416,29.970149253731346,0.232284786745774,0.17954070981210868,-0.04164256795835752,0.024000000000000014,0.554112554112554,0.4782608695652175,0.17474185861795075,0.10691823899371067,0.17208672086720855,0.01944209636517336,0.0
14,1997-06-30,0.005875509503762144,0.009587767236679978,-0.033351081852945434,0.02938295788442713,0.07475317348378008,0.07659574468085117,0.08247422680412386,0.08510638297872353,-0.6283653846153846,-1.2251845775225594,-0.7074005794047933,-1.4742168674698797,-0.08938953488372092,0.09734513274336276,-0.031382015691007736,0.0,-0.0236768802228412,-0.2941176470588235,0.06828938471940504,0.09090909090909084,-0.03930635838150287,0.0008291873963515162,0.0
15,1997-09-30,0.008632812174969473,0.00784057497549817,0.017376064096144228,0.013637805264827165,0.034120734908136496,0.03557312252964428,0.05714285714285716,0.058823529411764726,-2.77490297542044,7.264116575591986,-0.06210621062106213,-0.2367886178861789,-0.07492019154030327,0.0348387096774192,-0.039252336448598164,-0.007812500000000111,0.01854493580599148,0.060185185185185126,0.02658227848101257,0.08333333333333348,0.008423586040914529,-0.003314001657000798,0.0
16,1997-12-31,0.09126082239922127,0.09501620745542948,0.05020426244032095,0.09136420525657064,0.038071065989847774,0.03816793893129766,-0.12612612612612628,-0.11111111111111116,0.17638483965014573,2.638086841525237,13.002879078694818,-2.7483355525965383,0.1415938746899601,-0.05423940149625928,-0.033722438391699194,-0.015748031496062853,-0.2233893557422969,-0.07423580786026196,-0.06226880394574585,0.09134615384615374,-0.03699284009546544,-0.012053200332502123,0.0
17,1998-03-31,0.18876860622462788,0.18936375783739345,0.1819843464404556,0.2345183486238531,-0.3924205378973105,-0.3933823529411765,-0.4639175257731959,-0.46875,-0.09944237918215616,-0.6781776323761057,-0.8598451099993146,-1.2741812642802741,0.2678065369355753,0.08239947264337523,-0.11744966442953007,-0.136,0.18665464382326413,0.3962264150943395,0.07955292570677197,0.08370044052863435,-0.006195786864931829,-0.15061001262095075,0.0
