Unnamed: 0,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1996-09-30,0.004783913995020317,0.022738725947738958,-0.30414038742480354,0.09021842355175692,1.8041131105398456,0.0,0.0,0.0,0.0,0.1499999999999999,-1.4517669531996182,-0.7315288953913679,-1.6314566972680014,-1.8875536480686688,-0.2125912408759124,0.3118110236220473,0.04318181818181799,-0.01418969380134416,1.833333333333333,-0.5374149659863945,-0.09748427672955984,1.7911262798634815,0.15277777777777768,-0.06122448979591855,-0.061879646164707876
1,1996-12-31,0.004783913995020317,0.022738725947738958,-0.30414038742480354,0.09021842355175692,1.8041131105398456,0.0,0.0,0.0,0.0,0.1499999999999999,-1.4517669531996182,-0.7315288953913679,-1.6314566972680014,-1.8875536480686688,-0.2125912408759124,0.3118110236220473,0.04318181818181799,-0.01418969380134416,1.833333333333333,-0.5374149659863945,-0.09748427672955984,1.7911262798634815,0.15277777777777768,-0.06122448979591855,-0.061879646164707876
2,1997-03-31,0.0032353238885369784,0.008963537426625034,-0.030210004883834518,-0.09475416182733254,0.051576824349101484,0.015302681859837854,0.27018502943650136,0.27018502943650136,-0.05714285714285705,0.1499999999999999,-1.4517669531996182,-0.7315288953913679,-1.6314566972680014,-1.8875536480686688,0.23962920046349945,0.3118110236220473,0.04318181818181799,-0.01418969380134416,0.045751633986928164,-0.5374149659863945,-0.09748427672955984,0.048178038640254384,0.15277777777777768,-0.06122448979591855,0.11456903802735853
3,1997-06-30,0.1611398847559471,0.10570234667617906,0.20665140614780908,0.2015930717416872,0.10047425592384007,0.1232557875495306,0.3813938089720246,0.3813938089720246,0.3636363636363635,0.1499999999999999,-2.6786469344608883,53.93188010899184,1.3471711332983007,-0.6605415860735009,0.06561974200785192,0.3421368547418968,0.04318181818181799,-0.01418969380134416,0.08749999999999991,0.2849264705882353,-0.09748427672955984,-0.05226318245450301,0.15277777777777768,-0.06122448979591855,-0.07979505103864637
4,1997-09-30,0.6030161427357691,0.5098992599079013,0.35125232388602523,0.4650798594118433,0.9709896934984276,0.3390830157783551,0.05739964050329549,0.05739964050329549,-0.2444444444444445,0.1499999999999999,-2.6908760145535964,-0.2905753968253968,2.158731343283581,40.26495726495728,3.864912280701754,0.3989266547406083,0.04318181818181799,-0.01418969380134416,0.4022988505747127,0.2861230329041489,-0.09748427672955984,0.2296898079763663,0.15277777777777768,-0.06122448979591855,0.030602555248618657
5,1997-12-31,0.13934696106419975,0.17922759750417794,0.16253780555310438,0.2842827036251996,0.1161093247588425,0.38358387524107496,2.110607434270172,2.110607434270172,0.02941176470588225,0.1499999999999999,-1.6906397417859802,-0.13536568312124175,-1.0314692749308951,-1.5458436895885117,-0.28510638297872337,0.15601023017902804,0.04318181818181799,-0.01418969380134416,0.10245901639344268,-0.17575083426028926,-0.09748427672955984,-0.02042042042042036,0.15277777777777768,-0.06122448979591855,-0.08179419525065967
6,1998-03-31,0.035276849259309406,0.0379056855292732,-0.01615468751617366,0.006223369793957323,0.08895595056322203,-0.17660184455240555,-0.2299256776450015,-0.2299256776450015,0.17142857142857149,0.1499999999999999,-0.2454164170161773,-0.6909267345948569,2.006756756756757,-1.1806223121679738,0.07203389830508478,-0.19966814159292026,0.04318181818181799,-0.01418969380134416,0.08921933085501865,-0.27395411605937925,-0.09748427672955984,0.05191089311260999,0.15277777777777768,-0.06122448979591855,0.03147235905856593
7,1998-06-30,0.3738066587124764,0.19142882675805484,0.7080286595052974,0.2118509049380337,0.05864942623764002,-0.02321998860368657,0.12650801911340315,0.12650801911340315,0.12195121951219524,0.1499999999999999,1.1302207400349369,40.602040816326536,-40.36054931335831,2.9936974789915967,0.2683512140033879,0.13545266067726325,0.026506899055918742,-0.01418969380134416,0.030716723549488067,0.04275092936802971,-0.09748427672955984,-0.22945405090343896,0.1376936316695354,-0.13043478260869554,-0.016847970283894953
8,1998-09-30,-0.004178880362359583,-0.028847982054175825,-0.07546573202006457,-0.18140498111334324,0.10427489262007028,0.03939045525923968,-0.0937381882323296,-0.0937381882323296,-0.13043478260869568,-0.13043478260869568,-1.4660802147010583,-0.9565542788500846,-0.9414992482824682,-1.9615991583377168,-0.2034501947690596,-0.4388314059646987,0.060488149982313326,0.029545454545454538,0.10596026490066213,-0.4563279857397505,-0.5344947735191637,0.1089258698940998,0.11951588502269272,-0.07999999999999996,0.18634462285791376
9,1998-12-31,0.01768143312668502,0.0018284917816657753,-0.042385209038920624,0.0012933607481595555,0.0941907633816681,-0.12267952763356682,-0.8887807590713194,-0.8887807590713194,-0.875,-0.875,-4.8453294945617404,-4.023595830920671,-7.470722186076772,0.8291393143690737,-0.4671883004983466,-0.2809110629067245,-0.3252168112074717,-0.32744665194996325,0.02694610778443129,-0.3475409836065574,-0.3832335329341317,0.07526148249204168,-0.20540540540540544,-0.15760869565217395,0.0005307855626326409
