Unnamed: 0,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1995-09-30,0.01206740472828316,0.002502449588537292,-0.017548514616272604,-0.003089353577451881,0.034009123883064867,-0.06355174615150971,-0.04465614895510084,-0.04465614895510084,0.0,0.0,-1.7772904910875265,-45.451465274989964,-8.142314231423143,-3.6583526929388954,-0.5224385891794647,-0.1446153846153847,-1.188340807174888,-1.1974921630094044,0.029126213592232997,-0.0185185185185186,0.4677314914742068,0.02176183844011126,0.0,-0.008547008547008517,0.005634583410308425
1,1995-12-31,0.01206740472828316,0.002502449588537292,-0.017548514616272604,-0.003089353577451881,0.034009123883064867,-0.06355174615150971,-0.04465614895510084,-0.04465614895510084,0.0,0.0,-1.7772904910875265,-45.451465274989964,-8.142314231423143,-3.6583526929388954,-0.5224385891794647,-0.1446153846153847,-1.188340807174888,-1.1974921630094044,0.029126213592232997,-0.0185185185185186,0.4677314914742068,0.02176183844011126,0.0,-0.008547008547008517,0.005634583410308425
2,1996-03-31,0.06376830652299548,0.0987179594168317,0.1203680760932162,0.2053477449765156,0.023925782874273605,0.03216610531408515,-0.19252348761562088,-0.19252348761562088,-0.3333333333333333,-0.3333333333333333,-1.8726381383452235,-1.134366369664206,1.3982907658414552,-2.4580173939536065,1.5950295250771291,0.010791366906474977,-1.188340807174888,-1.1974921630094044,0.018867924528301886,-0.0185185185185186,0.4677314914742068,-0.03748509115692622,0.0,-0.008547008547008517,-0.0885000459263342
3,1996-06-30,0.03246965932240942,0.05667006516979401,0.07564396980429589,0.16720244999453548,-0.0007847955501240067,0.4458542381572848,-2.3180008833201597,-2.3180008833201597,-2.0,-2.0,-2.256497938188767,-6.460378271565109,-0.4532811499545568,-1.41267194377923,-0.24712984095089785,0.07117437722419928,-1.188340807174888,-1.1974921630094044,-0.09259259259259267,0.05283018867924527,0.4677314914742068,-0.032218091697645564,0.0,-0.008547008547008517,-0.0946742580742681
4,1996-09-30,0.05054163732099149,-0.00770969798852239,0.10765019236460494,0.06988855327570054,0.00318998834427342,-0.26517542904829283,-1.0747034805418778,-1.0747034805418778,-1.0,0.0,-6.082846393980629,2.645960271095979,0.3598177417058237,-0.3004314006362743,-0.2356902356902357,-0.07641196013289031,-1.188340807174888,-1.1974921630094044,0.010204081632652963,0.017921146953404854,0.4677314914742068,-0.04499725626486184,0.0,-0.008547008547008517,-0.07251780943900255
5,1996-12-31,-0.007342612693142625,-0.011508353779647209,-0.016765747111081475,-0.15138239875389406,0.0012841680425610402,0.039130971485001886,-0.7428571428571429,-0.7428571428571429,-inf,0.0,0.8717660292463443,-0.6306549628629304,-2.094240837696335,-4.328571428571428,1.0264317180616742,-0.2661870503597121,-1.188340807174888,-1.1974921630094044,0.0,-0.27464788732394363,0.4677314914742068,0.008619038498371756,0.0,-0.008547008547008517,0.1647764776477647
6,1997-03-31,0.0691773332475718,0.13988534956562848,0.18532608695652164,0.3590684868647471,-0.03523879320874557,0.053575671180803086,-65.1111111111111,-65.1111111111111,-inf,0.5,0.3125,-0.2321755027422303,-0.5071770334928231,1.2288984263233191,1.128985507246377,0.2352941176470589,13.714285714285715,-1.1974921630094044,-0.040404040404040435,0.2378640776699028,0.0,-0.09760729206228624,0.0,0.0,-0.16124877646695168
7,1997-06-30,0.09180327868852456,-0.07227291580257156,0.1316483264557542,0.09149995779522246,0.047793884914857136,0.14736723418649222,-2.285961871750433,-2.285961871750433,-2.333333333333333,-2.333333333333333,-0.5819597069597069,10.585714285714284,-9.504854368932039,-2.4127086007702183,-0.7491490810074881,-0.0992063492063492,-1.2071197411003236,-1.1974921630094044,0.05263157894736836,-0.06274509803921557,0.0,-0.040404040404040435,-0.4433962264150944,-0.06896551724137923,-0.15005220809532593
8,1997-09-30,0.030773893159214305,0.07544428299988826,0.012813370473537587,0.04075477534606753,0.05219913001449972,0.08667452830188682,0.11185983827493252,0.11185983827493252,0.25,0.25,-1.8061336254107336,-0.9860254829428688,-0.5644977168949772,-0.9813721035892776,-0.05563093622795112,0.11894273127753308,3.71875,3.587301587301587,0.05000000000000005,0.06276150627615062,2.735294117647059,0.02083333333333326,3.389830508474576,0.03703703703703698,0.03331406272582749
9,1997-12-31,0.03477307959587317,0.020214092704219592,-0.07670767076707674,-0.3600832218754644,0.162781350482315,0.1050822933622717,-0.02787878787878784,-0.02787878787878784,0.0,0.0,2.120923913043478,14.191176470588234,5.614678899082569,-42.878048780487795,2.4669540229885056,0.4645669291338583,0.6953642384105961,0.7024221453287198,0.08571428571428563,0.3937007874015748,-0.7559055118110236,0.12373791621911925,0.6332046332046329,0.03571428571428559,0.594307294216379
10,1998-03-31,0.2520470102027639,0.1606478887587226,0.4536395147313692,0.25661867162099394,0.06824354352871452,-0.0138297872340426,0.3067331670822944,0.3067331670822944,0.2,0.2,-0.6094906399651719,6.152952565343659,0.5730136714880127,-1.202096680256261,-0.1438043928719437,0.2930107526881718,0.759765625,0.725609756097561,0.061403508771929786,0.192090395480226,-0.2946774193548387,-0.1468170521888741,0.7754137115839244,-0.02586206896551724,-0.07636969776725011
