,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
0,1993-12-31,0.07481097582620433,0.07823045032347364,0.028045497959538142,0.1254868022501081,0.07268722466960352,0.07077625570776247,0.0625,0.0625,10.123188405797102,-0.7636961808038907,-0.8748909778079271,-0.8643971631205674,-0.2319536750674476,0.011627906976744208,-0.01831501831501836,0.03960396039603964,0.032608695652174065,-0.017857142857142905,0.08394160583941601,inf,-0.03958691910499135,-0.0005534034311012181,0.0
1,1994-03-31,0.07481097582620433,0.07823045032347364,0.028045497959538142,0.1254868022501081,0.07268722466960352,0.07077625570776247,0.0625,0.0625,10.123188405797102,-0.7636961808038907,-0.8748909778079271,-0.8643971631205674,-0.2319536750674476,0.011627906976744208,-0.01831501831501836,0.03960396039603964,0.032608695652174065,-0.017857142857142905,0.08394160583941601,inf,-0.03958691910499135,-0.0005534034311012181,0.0
2,1994-06-30,0.014988633298655296,0.013631198073378759,0.03445945945945938,0.1254868022501081,0.07268722466960352,0.07077625570776247,0.0625,0.0625,10.123188405797102,-0.7636961808038907,-0.8748909778079271,-0.8643971631205674,-0.04095270733379031,0.011627906976744208,-0.01831501831501836,0.03960396039603964,0.027368421052631486,-0.017857142857142905,0.08394160583941601,0.8333333333333335,0.025089605734766932,-0.0005534034311012181,0.0
3,1994-09-30,0.012489560397843658,0.011281121838439434,0.029474199869366387,-0.08650519031141868,-0.014373716632443578,-0.0149253731343284,-0.02352941176470591,-0.02352941176470591,-0.37003257328990224,-0.562046004842615,0.847405112316034,-4.985355648535565,0.1701804538145435,-0.07183908045977018,-0.01831501831501836,0.03960396039603964,0.03278688524590168,-0.09545454545454556,0.08394160583941601,0.5454545454545456,0.020979020979021046,-0.0005534034311012181,0.0
4,1994-12-31,-0.005790130532359883,-0.007346859059785826,0.01570306923625986,0.006734006734006703,-0.1645833333333333,-0.17748917748917747,-0.1686746987951807,-0.18072289156626495,0.2792140641158221,-0.7380787836903939,-1.8519916142557653,-1.6162729658792647,-0.08962516222612417,-0.09081527347781204,-0.01831501831501836,0.03960396039603964,0.015873015873015817,-0.12060301507537685,0.08394160583941601,0.3529411764705881,0.02397260273972601,-0.0005534034311012181,0.0
5,1995-03-31,0.00940112921299896,0.00619759387531893,0.0526274693526978,0.045568561872909814,0.2294264339152119,0.2421052631578948,0.2463768115942029,0.24999999999999975,-0.8714632174616006,-9.527704485488128,0.7263779527559056,-0.9003407155025553,-0.009811320754717023,-0.017026106696935384,-0.01831501831501836,0.03960396039603964,0.02734375,-0.034285714285714364,0.08394160583941601,0.3043478260869563,0.05183946488294322,-0.0005534034311012181,0.0
6,1995-06-30,0.030155688750593827,0.030066712675408388,0.031303315777761354,0.02558976409436231,0.07707910750507098,0.07838983050847448,0.046511627906976834,0.04705882352941182,-1.4528301886792452,-3.4730816831683167,-3.0481755986316985,6.521367521367521,-0.07452574525745259,0.10046189376443417,-0.014303482587064709,0.03960396039603964,0.03802281368821303,0.07100591715976345,0.08394160583941601,0.2,0.004769475357710773,0.02657807308970095,0.0
7,1995-09-30,0.04552072161690268,0.04792080755745132,0.014601165216140409,0.02456140350877201,0.09416195856873832,0.10019646365422408,0.09999999999999988,0.101123595505618,0.8611111111111112,-0.5736269235581133,-0.017258176757132926,-4.9988636363636365,0.3220168374816983,0.13536201469045128,0.020820189274447957,0.03960396039603964,0.023809523809523725,0.09392265193370153,0.1212121212121211,0.1944444444444444,-0.02689873417721533,0.027508090614886797,0.0
8,1995-12-31,-0.012200379589389354,-0.015355025014518575,0.029774564015312643,0.013318112633181169,0.024096385542168752,0.024999999999999908,0.010101010101010166,-0.0714285714285714,-11.932835820895527,-1.6830985915492958,-1.7295000708114998,-1.38590508667235,-0.0939987540665882,0.15249537892791132,0.06242274412855385,0.07619047619047614,0.0071556350626118545,0.1262626262626263,0.10135135135135133,0.16279069767441867,0.04552845528455274,0.07191601049868758,0.0
9,1996-03-31,0.018471417463064688,0.01905751343278728,0.011014732204323252,0.055576417574164434,0.03361344537815136,0.048780487804878085,0.05000000000000005,0.1428571428571428,-0.21296928327645048,-3.831615120274914,-1.7002523781789942,0.3490427098674522,-0.13996485598594244,0.05773857257417792,0.02617801047120416,0.03539823008849563,0.056838365896980436,0.049327354260089606,-0.009543285616905315,0.15999999999999992,0.03265940902021791,0.030852105778648387,0.0
10,1996-06-30,0.07139796174704571,0.07563279545056313,0.017091107176903098,0.03415154749199578,0.030894308943089525,0.033222591362126234,0.02857142857142869,0.03846153846153855,-2.2211621856027755,0.6739987864077671,2.746881064596617,-1.5851528384279476,0.09522963489384373,0.03032600454890066,0.0192743764172334,0.008547008547008517,0.02521008403361336,-0.02564102564102566,-0.02064693737095657,0.13793103448275867,-0.04819277108433728,0.017577197149643675,0.0
11,1996-09-30,-0.01798061716135202,-0.020446748117980973,0.015464952801767406,0.008255933952528327,0.04889589905362768,0.049839228295819986,0.055555555555555365,0.055555555555555365,-2.6519886363636367,-1.0876302673312188,-1.3652238253792084,-2.532649253731343,-0.1332630383648309,0.14716703458425304,0.009454949944382784,0.016949152542372836,0.024590163934426368,0.1228070175438598,0.0927617709065356,0.1212121212121211,0.034810126582278444,0.011671335200746924,0.0
12,1996-12-31,0.011619795787472851,0.011132220951152185,0.01799841772151889,0.02797679972705569,0.013533834586466176,0.013782542113323082,-0.5175438596491228,-0.5263157894736841,-0.3942390369733448,-0.3940020682523268,-1.0494327390599676,-2.362751065124772,0.20952648324911105,0.11866581141757535,0.009366391184572942,0.01666666666666661,0.022399999999999972,0.08984375,0.07588424437299035,0.12162162162162148,0.0076452599388379125,0.0046146746654360795,0.0
13,1997-03-31,0.07513316642216195,0.07846811734332793,0.031798458649051176,0.044805841354132125,0.06379821958456966,0.06495468277945626,0.1272727272727272,0.14814814814814814,-0.9872249822569198,-32.45051194539249,60.364754098360656,-2.535953550692273,-0.266073500967118,0.13589449541284382,0.01801310043668125,0.0,0.034428794992175334,0.11111111111111116,0.0914524805738195,0.10843373493975904,-0.03793626707132025,0.011483693155718957,0.0
14,1997-06-30,0.12135090694651307,0.12771158947436526,0.03496108460959069,0.05590851334180425,0.051603905160390484,0.052482269503546064,0.04838709677419351,0.04838709677419351,50.0,0.07102550189907753,0.8200093501636279,-3.4512939808083747,0.8886780518659076,0.1075214538112066,0.0171581769436997,0.0,0.0363086232980332,0.07096774193548372,0.05859802847754648,0.09782608695652173,-0.07413249211356465,0.010445049954586729,0.0
15,1997-09-30,0.03332693562627154,0.03358727322648458,0.029474194917824107,0.09596871239470528,0.07427055702917773,0.07412398921832875,0.07692307692307687,0.06153846153846133,-0.4891067538126361,-0.8492831450428087,-0.7238266485633555,-0.4045077105575327,0.28019647242688106,0.21649954421148587,0.020558777016341567,-0.00819672131147553,0.03211678832116793,0.17469879518072284,0.16037247801345078,0.08910891089108919,-0.0017035775127768329,-0.004943820224719064,0.0
16,1997-12-31,-0.0595782935599869,-0.0652335092400591,0.0244477172312223,-0.00850947021685422,0.003703703703703765,0.003764115432873361,0.02857142857142869,-0.0724637681159419,0.2921108742004264,-4.7445378151260496,-3.2977677385065114,-2.1049800796812748,-0.24184687826996865,0.1817159985013113,0.014462809917355381,0.00826446280991755,0.026874115983026803,0.14358974358974352,0.12483281319661164,0.09090909090909084,0.0921501706484642,0.001806684733513864,0.0
17,1998-03-31,-0.042013951981797686,-0.04772145026382313,0.0353651523864289,0.024916943521594792,0.04428044280442811,0.04499999999999993,0.04166666666666674,0.140625,0.0264026402640265,-0.5979353680430879,-0.3494477534262418,0.10852713178294572,-0.353614353901892,0.09797083069118596,0.009674134419551894,0.03278688524590168,0.037190082644628086,0.06950672645739897,0.055885850178359016,0.0916666666666668,0.08281249999999996,0.002254283137962165,0.2
18,1998-06-30,0.2278263881443852,0.24428874942653644,0.022549291863371183,0.03970826580226894,0.027090694935217874,0.028708133971291794,0.040000000000000036,0.027397260273972712,1.319935691318328,-12.892833221701274,-5.842577777777778,-1.4316148967311757,0.23612099644128115,0.05977476176725394,0.00655572365103385,0.0,0.026560424966799445,0.02096436058700224,0.016516516516516422,0.07633587786259532,-0.16594516594516595,0.00044984255510560617,0.0
19,1998-09-30,-0.0570305940826813,-0.06213510214455231,0.020422573461517542,-0.005715770329955849,0.03440366972477072,0.03488372093023262,0.03846153846153855,0.040000000000000036,-1.045738045738046,-1.3032026732747617,-1.3474182712604856,-2.0708364732479283,-0.2045487260688067,-0.05286103542234344,0.0010020040080160886,0.015873015873015817,0.02457956015523921,-0.07597535934291587,-0.08641063515509606,0.07801418439716312,0.0830449826989621,0.015737410071942515,0.0
20,1998-12-31,-0.007436215222872744,-0.010320571295529437,0.03278863043593972,0.07394826234648555,0.0155210643015522,0.015730337078651683,0.0,0.0,-36.0,-0.08860132499535632,-0.7663655095894754,-5.436312456016888,1.140788997466522,0.06933256616800931,0.0010010010010010897,0.0078125,0.031565656565656575,0.04222222222222238,0.03597413096200497,0.06578947368421062,0.04313099041533541,-0.0026560424966799445,0.0
21,1999-03-31,-0.011316828130606416,-0.01566157726468109,0.04674534865742408,0.0017031630170316616,0.03820960698689957,0.039823008849557466,0.04938271604938271,0.0512820512820511,-1.5450216450216452,-1.4966032608695652,-0.28991406603346903,-1.928696065989848,-0.4948858833474218,0.17944578961528124,-0.0030000000000001137,0.0,0.047735618115055216,0.14498933901918964,0.1252438548575887,0.06790123456790109,0.06278713629402778,0.0031069684864624136,0.0
22,1999-06-30,0.09567186604051604,0.10150605713927496,0.02235352043328409,0.041777993684721786,0.04837013669821233,0.048936170212765966,0.04705882352941182,0.048780487804878085,-2.1675933280381257,2.457045143638851,-8.832165605095541,-1.0676402767102229,0.06627060497029548,0.059990875912408585,0.002006018054162561,0.023255813953488413,0.025700934579439227,0.011173184357541777,0.02947295423023588,0.06936416184971095,-0.06628242074927959,0.0070796460176991705,0.0
23,1999-09-30,0.1157339321912636,0.1226239933984008,0.02244268926989013,0.013522965726276535,0.04513540621865597,0.043610547667342736,0.04494382022471921,0.046511627906976834,-0.5884353741496599,-0.06659807684697873,0.1382100597731062,5.32449494949495,0.393078552931021,-0.032063697008822944,0.004504504504504458,-0.007575757575757569,0.02505694760820054,-0.057090239410681365,-0.06466823846412939,0.06486486486486487,-0.08179012345679015,0.005272407732864748,0.0
24,1999-12-31,-0.14774275714043986,-0.15931867219654072,0.024352331606217525,0.10121923165401436,0.017274472168905985,0.017492711370262315,-0.4838709677419355,-0.5555555555555556,6.089256198347107,-2.9007970154315754,-2.68255215775936,-0.5953284088640447,0.11418431726002698,0.06602934637616742,0.006477329347284622,0.03053435114503822,0.008888888888888946,0.041015625,0.027727763773856662,0.07614213197969555,0.20336134453781507,-0.002622377622377714,0.0
25,2000-03-31,0.1571397719118579,0.16712080954265374,0.03536119924587289,0.0482556925005222,0.06886792452830193,0.06972301814708692,0.0625,0.22499999999999987,-1.0419678246677546,-2.072307966812383,-1.9428425835491956,-2.900345337937839,-0.19475200970726525,0.2930135557872784,0.016831683168316847,0.0,0.05616740088105732,0.2814258911819887,0.28556412053258584,0.06132075471698116,-0.1033519553072626,-0.006134969325153339,0.0
26,2000-06-30,0.1092343630529149,0.11545540852110905,0.02367205542725181,0.06357114388202477,0.08561341571050307,0.08571428571428563,0.07843137254901977,0.08163265306122458,-9.916666666666666,-0.3349972960605683,-0.23960726028014234,-1.8823987538940812,0.2134111885477492,0.05387096774193556,0.025803310613437214,0.0,0.02711157455683,-0.0029282576866764827,0.0062687380757699964,0.0577777777777777,-0.07632398753894076,-0.0017636684303351524,0.0
27,2000-09-30,-0.055753213869914615,-0.06108293383357655,0.024122521584450496,0.001873711823121571,0.002439024390243905,0.00164473684210531,0.0,0.0,-0.6971962616822429,-1.4989991242337046,-1.6559260794882429,-2.6793174463077376,-0.2953534099141053,0.19191919191919185,0.014238253440911341,0.029629629629629676,0.025380710659898442,0.16152716593245242,0.12811484290357522,0.058823529411764726,0.08600337268128166,-0.007950530035335635,0.0
28,2000-12-31,0.03531099020799733,0.03474526102882236,0.043084092353314896,0.0013091453151299335,0.017842660178426506,0.01806239737274229,-0.018181818181818188,-0.07547169811320764,2.703703703703704,-1.0670051397768583,-1.3850912046234425,-2.622284512964261,0.6799823762667059,0.045711350796096666,0.008423022929340274,-0.007194244604316501,0.02475247524752477,0.01896333754740831,0.0026410564225689552,0.06349206349206349,0.009316770186335477,0.013802315227070537,0.0
