,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1993-10-31,-0.10100982433074036,-0.13634698795180722,-0.05394601730966697,0.2708316689302548,-11.457964601769909,0.06757759636792238,-0.2524271844660194,-0.2524271844660194,-0.2352941176470589,-0.2352941176470589,-0.7045925925925927,0.0982556855818062,-0.8620051794302627,-1.7598777046095957,-0.4204489271235044,0.4687499999999998,-0.1806751636238374,-0.0357142857142857,-13.0,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.03030303030303028,-0.3204487875497648
1,1994-01-31,-0.10100982433074036,-0.13634698795180722,-0.05394601730966697,0.2708316689302548,-11.457964601769909,0.06757759636792238,-0.2524271844660194,-0.2524271844660194,-0.2352941176470589,-0.2352941176470589,-0.7045925925925927,0.0982556855818062,-0.8620051794302627,-1.7598777046095957,-0.4204489271235044,0.4687499999999998,-0.1806751636238374,-0.0357142857142857,-13.0,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.03030303030303028,-0.3204487875497648
2,1994-04-30,-0.02590873543839689,-0.03665014954689527,0.013674070628367565,0.04079964795373114,0.8381637402157818,0.06757759636792238,-0.2524271844660194,-0.2524271844660194,-0.2352941176470589,-0.2352941176470589,-0.7045925925925927,0.0982556855818062,-0.8620051794302627,-1.7598777046095957,0.5512711141443439,0.3723404255319149,-0.1806751636238374,-0.0357142857142857,0.7916666666666667,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.03030303030303028,-0.07435023434171273
3,1994-07-31,0.007121259514127899,0.035588507877664544,-0.025994512375835388,-0.0744946444390755,-0.39152952008286335,-0.022653854017583352,-1.793246753246753,-1.7792207792207793,-1.6923076923076923,-1.6923076923076923,-2.0431293881644934,-1.009449135504624,-0.5107238605898123,-0.8056329309811204,0.06907171139463264,0.6744186046511629,-0.1806751636238374,-0.0357142857142857,-0.3953488372093023,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.03030303030303028,0.1188722669735327
4,1994-10-31,-0.015891420703363583,-0.02664667979237512,-0.031095406360424068,-0.08075182735816222,-0.3088708152071118,0.020124680975691426,-0.5910281597904388,-0.5953333333333333,-0.4444444444444444,-0.4444444444444444,0.2817307692307693,6.914893617021277,-0.010958904109588996,-0.04458598726114649,0.06172839506172845,0.7777777777777777,-0.1806751636238374,-0.0357142857142857,-0.3846153846153846,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.03030303030303028,0.058932428262881816
5,1995-01-31,-0.06329819689031957,-0.11840018388690955,-0.06926209579382447,-0.08315978795910639,-0.22441160372194854,-0.04806824706750879,-0.7798238590872698,-0.7734761120263591,-0.8,-0.8,-4.756939234808702,-0.3924731182795699,0.1523545706371192,-10.416666666666666,-0.5474806201550387,-0.04947916666666663,-0.1806751636238374,-0.0357142857142857,-0.25,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.03030303030303028,-0.03846153846153855
6,1995-04-30,0.0021450792331623174,0.019189654273348292,-0.0052897959183673135,-0.0068659336121005285,-0.2388849682427664,0.025161568289530308,1.2000000000000002,1.2000000000000002,1.0,1.0,-0.8103035143769968,1.0176991150442478,-3.9759615384615374,-0.9702654867256636,-0.035974304068522533,-0.049315068493150586,-0.1806751636238374,-0.0357142857142857,-0.25,0.0,-0.8728278723956082,inf,0.0,6.9850746268656705,0.009803921568627416,0.02626262626262621
7,1995-07-31,0.04592522861753623,0.0904067536454336,0.013973235290899444,0.05138268011227787,-1.3078349559573479,0.061149869715054324,3.6611570247933884,3.6611570247933884,3.0,3.0,-5.533684210526316,1.6315789473684212,-0.049273021001615465,-26.5,0.9515770768547313,0.08069164265129669,-0.1806751636238374,-0.0357142857142857,-1.3333333333333333,0.0,-0.8728278723956082,inf,0.7317073170731707,-0.04859813084112141,0.01941747572815533,0.03710629921259856
8,1995-10-31,-0.014336226293796163,-0.032751501501501516,0.011600802883473982,-0.02076483820730235,-3.634036144578314,-0.01631747791991767,-2.2712765957446805,-2.2712765957446805,-5.0,-5.0,0.16600882284652885,-0.6,-2.8020390824129144,-0.434873949579832,0.2755520145686319,0.1439999999999999,-0.1806751636238374,-0.975925925925926,-3.666666666666667,2.042553191489361,0.21481985044187635,inf,0.0,-0.9764243614931236,0.01904761904761898,-0.012242573787605735
9,1996-01-31,-0.07227802417601525,-0.14371301057533714,-0.07850353633948859,-0.17034811804205685,-0.4059462550028588,-0.10419937995732176,-1.18186889818689,-1.18186889818689,-1.1875,-1.1875,-2.5599362803663883,-0.5541666666666667,-1.2456388495992456,-4.1090458488228006,-0.6716338003033818,-0.20512820512820507,-0.1806751636238374,3.2307692307692313,-0.5,0.0,37.16452154448797,inf,0.0,3.2500000000000013,0.0,0.03209069946195253
10,1996-04-30,0.09547355963582248,0.028524488003852436,0.06117015118890513,0.046949642476799,-2.756496631376323,0.20342487302800127,3.3082822085889574,3.3082822085889574,3.0,3.0,-1.0607607863160582,16.88317757009346,2.0038387715930903,-0.7627208715291617,-0.4853260869565217,0.2844574780058651,-0.1806751636238374,4.381818181818183,-3.0,0.0,-0.6788856304985338,inf,1.7464788732394363,4.333333333333333,0.01869158878504673,-0.01759448892198856
11,1996-07-31,0.015702046186264033,0.033957587441476145,-0.03509480068945958,-0.01328179493141135,2.5671232876712327,0.07828197945844995,0.6621573513705945,0.6621573513705945,0.6666666666666667,0.6666666666666667,10.058823529411764,-0.6341782074732166,-2.6709265175718846,-1.6993281075027995,0.6594508975712776,0.2968036529680365,-0.1806751636238374,0.6790540540540541,2.5000000000000004,-0.5034965034965035,-0.7642009132420091,inf,2.517948717948717,0.6250000000000002,0.027522935779816567,0.04785369089358471
12,1996-10-31,0.0837203424635895,-0.5839703806302107,-0.00983617677983928,-0.7941739565844894,1.3548387096774197,0.08191610959093909,0.8147354893981579,0.8147354893981579,0.7499999999999998,0.0,0.05452127659574457,-0.2392857142857143,-0.697131931166348,1.9575660528422743,1.1753102131721285,0.1390845070422535,-0.1806751636238374,2.54728370221328,1.3571428571428572,-0.6745070422535211,-0.34062742060418283,inf,1.1720116618075802,2.4411764705882355,0.03571428571428559,1.0212515825646595
13,1997-01-31,-0.0009814496302558153,1.5940201037198285,-0.03934733212299757,4.933886662850601,0.21819960861056756,-0.09156101933666284,-0.6093473386049806,-0.6093473386049806,-0.5999999999999999,-0.29999999999999993,-1.40569266798775,2.1305164319248826,-2.7487373737373737,-2.1372495939361125,-0.6144507825069475,0.2658423493044821,-0.1806751636238374,0.10890527509926252,0.21212121212121213,-0.4630030289917785,-0.6563876651982379,inf,0.2187919463087249,0.09861932938856,0.008620689655172377,-0.5628383517515996
14,1997-04-30,0.2565364563069021,0.13234277816171391,0.08377212271047041,-0.001977523754401189,1.034859437751004,0.18631942486608397,0.623262839879154,0.623262839879154,0.5714285714285714,0.5714285714285714,-2.1309946714031973,2.322735452909418,4.366787003610108,-0.7386336586527018,-0.4165402124430956,0.1941391941391941,-0.1806751636238374,0.03887468030690533,0.9125,-0.015310233682514053,0.031623931623931734,inf,0.6200440528634361,0.0694195092758827,-0.02564102564102566,0.13458192610787026
15,1997-07-31,0.34428171107429817,0.9424560791664852,-0.14499731303670715,0.6014401701140537,1.5182758348464516,0.15702700294091446,0.3374278801414481,0.3374278801414481,0.25,0.25,0.02983902630545732,-0.8379671420834085,4.505852280371316,-39.0264116575592,27.147594278283485,0.2269938650306749,-0.1806751636238374,-0.05711472181191535,1.1176470588235294,-0.3584288052373159,0.09279204639602323,inf,0.8732154996600952,0.030218242865137187,-0.08771929824561397,0.2129713151722894
16,1997-10-31,0.009449662265269998,-0.2305646573005969,-0.1820805541303232,-0.4927573407369406,0.16548063157674742,0.039436185781406514,1.1587809629835792,1.1587809629835792,0.8545454545454545,0.8545454545454545,2.359893252001525,-0.305849582172702,-1.7967990226023214,-1.5997652863267309,-0.5784574160911045,0.4408333333333332,-0.1806751636238374,0.12845953002610955,0.16358024691358009,-0.31887755102040816,0.3305534495830176,inf,0.1544184358555616,0.20478001086366104,-0.0673076923076924,0.5168439057038743
17,1998-01-31,0.4338611963627652,0.20851988507926333,1.0791186387516665,0.2842014456971176,0.06495835313315346,0.058120291465975076,-0.6136788499967769,-0.6136788499967769,-0.607843137254902,-0.6176470588235294,-1.7982525814138204,19.736757624398074,-1.7212426017357167,-0.6209567925884514,-0.520138089758343,0.22440717177559288,-0.2131595543409712,-0.1355853771402128,0.05835543766578244,0.05243445692883908,0.05356125356125352,inf,-0.2571518390443256,-0.014878268710549982,-0.11340206185567014,-0.058930234838456615
18,1998-04-30,0.06241421427235805,0.0027513968165855385,0.05117103526305855,0.05431887146464054,0.07496337705635714,0.20836640366030168,0.4154847321875521,0.4154847321875521,0.4249999999999998,0.4102564102564104,-1.4635394456289978,-0.3628376809350569,-0.7451847442493303,-0.2298777918246945,-0.8337330135891287,0.01180916391119502,-0.12423189954581892,-0.08244111349036397,0.07518796992481191,-0.04448398576512458,-0.034613304488912755,inf,0.01163774862462974,-0.022425629290617755,-0.06976744186046502,-0.0489189893201355
19,1998-07-31,0.054575889095682006,0.14340213009206335,0.033237896368372384,-0.07258985851129274,0.07786532165849525,0.04667336372768727,0.19933985618295424,0.19933985618295424,0.19298245614035106,0.2,0.9270162526832261,-0.6274069124703882,0.4028032704822293,-2.178112175102599,5.908653846153847,-0.1713352007469655,-0.01128737034777294,-0.03908984830805129,0.07459207459207473,-0.22905027932960895,-0.20784313725490197,inf,0.022171093913407214,-0.0065543071161049404,-0.025000000000000026,0.2329097283085013
20,1998-10-31,0.05122596452603734,0.22172169538264,0.047204339160086484,0.10634416753529807,0.055433645294425286,-0.24974160206718346,0.4936111657165323,0.4936111657165323,0.5294117647058822,0.5454545454545454,0.40961171228516857,0.7696446038474078,-1.0704175092185084,-1.3165350673478866,-0.27100109354806645,-0.3549295774647888,-0.07096575131132378,-0.11718275652701893,0.0563991323210411,-0.4009661835748792,-0.38189533239038187,inf,0.004092490280335648,-0.008953817153628751,-0.11538461538461553,0.10427403589834737
21,1999-01-31,-0.021662539986015417,-0.04957915866192264,-0.05617157864021005,-0.09749255904584486,0.014161497525008173,-0.13997884326797705,-0.7434193208739142,-0.7434193208739142,-0.7403846153846154,-0.7352941176470589,-1.387220591555656,-1.4483648088438508,3.97972972972973,-0.4280997798972854,-0.21260057275330704,0.2724890829694324,-0.1009631351710395,-0.08459422283356266,0.0841889117043122,0.20564516129032276,0.2723112128146452,inf,0.03647850010189524,-0.01141226818830232,-0.0724637681159419,0.053108026554013366
22,1999-04-30,-0.05117253856671311,-0.20611482750494006,-0.11349934653381866,0.0956866280725064,0.0090421559975562,0.1940558940473125,0.8299563990766863,0.8299563990766863,0.8888888888888888,0.8888888888888888,-3.688921282798834,3.4191493733305935,9.60515603799186,-0.7864015394483643,-0.05767232421198476,0.046671242278654816,-0.07055781307720721,-0.042073628850488265,0.011363636363636244,-0.03344481605351168,0.09712230215827344,inf,0.06350766810853314,0.02068302068302064,-0.0625,-0.2754536771728749
